Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Administración Estratégica,C,2020-04-01,Clase miércoles,1:34:39,https://ca.bbcollab.com/recording/951b2a84b7ea4629b2712e5288aff0b0
Administración Estratégica,C,2020-04-03,Clase viernes,2:51:59,https://ca.bbcollab.com/recording/7bd9241e6e864c759051057e33e30f65
Administración Estratégica,C,2020-04-08,clase virtual,1:35:12,https://ca.bbcollab.com/recording/b9fb61c51c4946bdaecc83cce85f93e3
Administración Estratégica,C,2020-04-15,clase virtual,1:32:03,https://ca.bbcollab.com/recording/276271ba1e24434ab167bd9bbe13ff18
Administración Estratégica,C,2020-04-17,clase virtual viernes,1:55:16,https://ca.bbcollab.com/recording/c4c507f1058140deb7dc0e27be31a90c
Administración Estratégica,C,2020-04-22,clase del miércoles,1:46:36,https://ca.bbcollab.com/recording/de418ab9333e4233a7ac2596356cc243
Administración Estratégica,C,2020-04-24,Clase viernes,1:20:26,https://ca.bbcollab.com/recording/7fcec1356c534177a6ed8ac157b9978b
Administración Estratégica,C,2020-04-29,clase miércoles,2:43:30,https://ca.bbcollab.com/recording/980b9837ace74148bc3794c4f7b0132e
Administración Estratégica,C,2020-05-06,clase miércoles,1:26:53,https://ca.bbcollab.com/recording/11a0f93aa2b24047b04c54c181b40012
Administración Estratégica,C,2020-05-08,clase viernes,1:29:03,https://ca.bbcollab.com/recording/d21a400e0cac470da4f2a818bb297981
Administración Estratégica,C,2020-05-13,clase miércoles,1:41:55,https://ca.bbcollab.com/recording/57dc3f3927c94247a6e7281aa8eedd4d
Administración Estratégica,C,2020-05-15,clase viernes,1:47:09,https://ca.bbcollab.com/recording/99610189c5f344f7a4e8b83b44a2d2f1
Administración Estratégica,C,2020-05-27,Clase el miércoles,1:39:20,https://ca.bbcollab.com/recording/43275c0c7b93412bb488678ea4f956dc
Administración Estratégica,C,2020-05-29,Clase viernes,1:35:27,https://ca.bbcollab.com/recording/eba601d930084729a1e622ba15414f23
Administración Estratégica,C,2020-06-03,Miércoles,1:47:23,https://ca.bbcollab.com/recording/0b0f779b14e7478ab93cb4035008a063
Administración Estratégica,C,2020-06-05,Viernes,1:19:19,https://ca.bbcollab.com/recording/32cbe33d62e241b791b60d7e7fcdd4bd
Administración Estratégica,C,2020-06-10,Miércoles,0:52:20,https://ca.bbcollab.com/recording/c33f14c0389a4f238e1db4dc6ec1e4fb
Administración Estratégica,C,2020-06-12,viernes,1:44:31,https://ca.bbcollab.com/recording/2ab15e12aff34e8e8c8f4f69aa8aba71
Administración Estratégica,C,2020-06-17,miércoles,1:46:09,https://ca.bbcollab.com/recording/06f5051414084b3490db2d3320f471ab
Administración Estratégica,C,2020-06-19,viernes,1:04:40,https://ca.bbcollab.com/recording/424756b6e3a04287979428bf77628f01
Administración Estratégica,C,2020-06-24,miércoles,1:35:05,https://ca.bbcollab.com/recording/1ca23105d2494132a11d73bfdc794e15
Administración Estratégica,C,2020-06-26,Viernes,0:03:05,https://ca.bbcollab.com/recording/2d751c9a518f4da6a7517005d9c292c3
Administración Estratégica,C,2020-06-26,Viernes,0:39:27,https://ca.bbcollab.com/recording/515ec16cdabc4eba9c78edcdb90ffc93
Administración Estratégica,C,2020-07-01,Miércoles,1:29:27,https://ca.bbcollab.com/recording/b1300d04a1ea4229bc1c59df2b446700
Administración Estratégica,C,2020-07-03,viernes,1:17:56,https://ca.bbcollab.com/recording/9f409f7b5b124f08a8c214eb775ddd83
Administración Estratégica,C,2020-07-10,Exposición,1:42:07,https://ca.bbcollab.com/recording/7c10015b32984dc59bfbcdc6aa7f2577
