Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Administración de Operaciones,A,2020-03-31,Sesion Martes 31 Marzo 2020,2:35:30,https://ca.bbcollab.com/recording/b33c16176f314fd28614b4caf4402433
Administración de Operaciones,A,2020-04-02,Sesión Jueves 02 Abril 2020,1:44:06,https://ca.bbcollab.com/recording/50a74f22db544b69842a0db581be3746
Administración de Operaciones,A,2020-04-07,Sesión Martes 07 Abril 2020,2:37:31,https://ca.bbcollab.com/recording/a6bef19370594d80acecfd245e5c3492
Administración de Operaciones,A,2020-04-14,Sesión Martes 14 Abril 2020,2:36:44,https://ca.bbcollab.com/recording/1804faad042847f9b3c0e2da343db155
Administración de Operaciones,A,2020-04-16,Sesión Jueves 16 Abril 2020,0:36:32,https://ca.bbcollab.com/recording/07c999536e1d458d893612015f25ddcd
Administración de Operaciones,A,2020-04-21,Sesión Martes 21 Abril 2020,1:47:18,https://ca.bbcollab.com/recording/9a98245cfbbc45d182ba6fc5010125bc
Administración de Operaciones,A,2020-04-23,Sesión Jueves 23 Abril 2020,1:37:31,https://ca.bbcollab.com/recording/71d6e79bb50f4d639fe6b8ee88a8d561
Administración de Operaciones,A,2020-04-28,Sesión Martes 28 Abril,3:17:05,https://ca.bbcollab.com/recording/3d1b087095fa41bd87291ae687aedccb
Administración de Operaciones,A,2020-04-30,Sesión Jueves 30 Abril 2020,1:27:23,https://ca.bbcollab.com/recording/1d53a227cbef4808ba32f9584d87098f
Administración de Operaciones,A,2020-05-05,Sesión Martes 05 Mayo 2020,2:54:35,https://ca.bbcollab.com/recording/83adb698e8aa4553ae7f5380950cb7b9
Administración de Operaciones,A,2020-05-07,Sesión Jueves 07 Mayo 2020,1:24:39,https://ca.bbcollab.com/recording/8e830e7eadb74379b6058b85c217b2fc
Administración de Operaciones,A,2020-05-12,Sesión Martes 12 Mayo 2020,2:30:09,https://ca.bbcollab.com/recording/7f370414b7774bedae35d5e162a425ac
Administración de Operaciones,A,2020-05-14,Sesión Jueves 14 Mayo 2020,1:44:48,https://ca.bbcollab.com/recording/9a8ecb2a94d4414db7a0f5b9866cd0d0
Administración de Operaciones,A,2020-05-26,Sesión Martes 26 Mayo 2020,0:47:38,https://ca.bbcollab.com/recording/201d932cbd014bfc972dc272d488c1f2
Administración de Operaciones,A,2020-05-28,Sesión Jueves 28 Mayo 2020,1:53:40,https://ca.bbcollab.com/recording/512667faaeef47829514f5d19a306bf1
Administración de Operaciones,A,2020-06-02,Sesión Martes 02 Junio 2020,2:32:59,https://ca.bbcollab.com/recording/7b47f5a48e974de49f19426ec00c6049
Administración de Operaciones,A,2020-06-04,Sesión Jueves 04 Junio 2020,1:57:54,https://ca.bbcollab.com/recording/1531765e877f44279072f32160339bf6
Administración de Operaciones,A,2020-06-09,Sesión Martes 09 Junio 2020,3:32:00,https://ca.bbcollab.com/recording/abdb14bc544e4105bb79c412816bdac3
Administración de Operaciones,A,2020-06-11,Jueves 11 Junio 2020,1:39:39,https://ca.bbcollab.com/recording/56f6a2ff740d4eab83210520788c4511
Administración de Operaciones,A,2020-06-16,Sesión Martes 16 Junio 2020,2:43:21,https://ca.bbcollab.com/recording/31e09669eebf46a28b038afd7cfdf1ce
Administración de Operaciones,A,2020-06-18,Sesión Jueves 18 Junio 2020,1:39:58,https://ca.bbcollab.com/recording/8554921aaed5489ebd85a66eae7717a5
Administración de Operaciones,A,2020-06-23,Martes 23 Junio 2020,2:25:36,https://ca.bbcollab.com/recording/394d81dc80fa420b9c77463d49d11b74
Administración de Operaciones,A,2020-06-25,Sesión Jueves 25 Junio 2020,1:52:08,https://ca.bbcollab.com/recording/71b95d6e113e48de8f598ab652f76136
Administración de Operaciones,A,2020-06-30,Sesión Martes 30 Junio 2020,2:57:19,https://ca.bbcollab.com/recording/a398bcdbd43a409692bd7b50e9292f54
Administración de Operaciones,A,2020-07-02,Sesión Jueves 02 Julio 2020,0:56:12,https://ca.bbcollab.com/recording/e4b7ee5796bc46d88350d5d1b62543f8
