Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Administración de Operaciones,D,2020-03-30,SESION 1,1:52:06,https://ca.bbcollab.com/recording/20962fe83a1b4d9b88861012f70f2bc3
Administración de Operaciones,D,2020-04-01,SESION 2,2:45:54,https://ca.bbcollab.com/recording/145281aafebc400ba0b4a6a7c27daf3b
Administración de Operaciones,D,2020-04-06,SESION  lunes 1130,1:41:15,https://ca.bbcollab.com/recording/07730078092640bfb0d43b8e93ad2273
Administración de Operaciones,D,2020-04-08,SESION MIERCOLES,2:46:32,https://ca.bbcollab.com/recording/2603d59a34e840429e784ecc71d90b0f
Administración de Operaciones,D,2020-04-13,SESION  lunes 1130,1:33:33,https://ca.bbcollab.com/recording/9081a0ed9e0e466cbd5e896562619136
Administración de Operaciones,D,2020-04-15,SESION MIERCOLES,2:36:42,https://ca.bbcollab.com/recording/462a75abf12d447cbca5e039e0c98e70
Administración de Operaciones,D,2020-04-20,SESION  lunes 1130,1:23:39,https://ca.bbcollab.com/recording/1a3ff1f4cce14f5682819ed9597e61de
Administración de Operaciones,D,2020-04-22,SESION MIERCOLES,2:34:46,https://ca.bbcollab.com/recording/c873127937034ad4aa9921791ad04367
Administración de Operaciones,D,2020-04-27,SESION  lunes 1130,1:34:08,https://ca.bbcollab.com/recording/20292aadf363438a9218e183024d242e
Administración de Operaciones,D,2020-04-29,SESION MIERCOLES,2:20:13,https://ca.bbcollab.com/recording/c1d04cdb8acb4f3399dc509e4e9f5cd6
Administración de Operaciones,D,2020-05-04,SESION  lunes 1130,1:33:44,https://ca.bbcollab.com/recording/f12f929878b8466f905a0d75b86f9c37
Administración de Operaciones,D,2020-05-06,SESION MIERCOLES,2:18:38,https://ca.bbcollab.com/recording/da61ba26c2334184bfc18583dbadb6f3
Administración de Operaciones,D,2020-05-11,SESION  lunes 1130,1:33:08,https://ca.bbcollab.com/recording/3fa016e83eaf49d28d3e6f89a98d7e2e
Administración de Operaciones,D,2020-05-13,SESION MIERCOLES,2:34:37,https://ca.bbcollab.com/recording/0228da9449684ddab54a172e217e0a1a
Administración de Operaciones,D,2020-05-18,SESION  lunes 1130,2:13:16,https://ca.bbcollab.com/recording/79f519695f194c129ecc6082a5d14d4e
Administración de Operaciones,D,2020-05-25,SESION  lunes 1130,1:47:41,https://ca.bbcollab.com/recording/65cfee71230d471fa248d78a29125e42
Administración de Operaciones,D,2020-05-27,SESION MIERCOLES,3:24:47,https://ca.bbcollab.com/recording/bc2bf7f293f140729a68469796e0c473
Administración de Operaciones,D,2020-06-01,SESION  lunes 1130,1:49:22,https://ca.bbcollab.com/recording/6a633d438b054d809764d77aeadef23a
Administración de Operaciones,D,2020-06-03,SESION MIERCOLES,2:50:52,https://ca.bbcollab.com/recording/a6411236dd614ff6b467a2b699f9fb28
Administración de Operaciones,D,2020-06-08,SESION  lunes 1130,1:37:34,https://ca.bbcollab.com/recording/4cd1ed4bc4154bf0be07ea72bfd3f071
Administración de Operaciones,D,2020-06-10,SESION MIERCOLES,2:02:48,https://ca.bbcollab.com/recording/12879ede521244d28ccdad57ddf471fd
Administración de Operaciones,D,2020-06-10,SESION MIERCOLES,0:40:53,https://ca.bbcollab.com/recording/17151901681c4fedac569d38a11c1f5b
Administración de Operaciones,D,2020-06-15,SESION  lunes 1130,1:57:54,https://ca.bbcollab.com/recording/e817412d6d434dc9a4996887492e180e
Administración de Operaciones,D,2020-06-17,SESION MIERCOLES,2:28:28,https://ca.bbcollab.com/recording/fe71609ca725422692c728635fee2e2c
Administración de Operaciones,D,2020-06-22,SESION  lunes 1130,1:52:22,https://ca.bbcollab.com/recording/b1c98b4c13c24016a26d81666f41967c
Administración de Operaciones,D,2020-06-24,SESION MIERCOLES,3:06:50,https://ca.bbcollab.com/recording/532b030d232741c19e2ca8976dfeade2
Administración de Operaciones,D,2020-07-01,SESION MIERCOLES,2:46:34,https://ca.bbcollab.com/recording/23c048d775ae4303bd6bd341c4b93a1e
Administración de Operaciones,D,2020-07-06,SESION  lunes 1130,1:19:43,https://ca.bbcollab.com/recording/23106d49c29c471f9461acc321f63b97
Administración de Operaciones,D,2020-07-08,SESION MIERCOLES,1:55:26,https://ca.bbcollab.com/recording/9ecda8f2244942429f4d3b1d927a7761
Administración de Operaciones,D,2020-07-08,SESION MIERCOLES,1:55:26,https://ca.bbcollab.com/recording/9ecda8f2244942429f4d3b1d927a7761
Administración de Operaciones,D,2020-07-13,EXAMEN FINAL,0:47:03,https://ca.bbcollab.com/recording/412a21a15bd5402782a1087bc20ba6f8
Administración de Operaciones,D,2020-07-13,EXAMEN FINAL,0:20:37,https://ca.bbcollab.com/recording/9d4ad6836c824e0287c81aab23e2c722
