Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Analítica de Negocios I,A,2020-03-31,Introducción,1:56:34,https://ca.bbcollab.com/recording/67f21d23e8ae4caba6d39ec69431352b
Analítica de Negocios I,A,2020-03-31,Introducción,0:00:39,https://ca.bbcollab.com/recording/b61f82768ae94451be5df756406c4603
Analítica de Negocios I,A,2020-04-02,Algebra Lineal,1:58:17,https://ca.bbcollab.com/recording/8a929fa00c4b45699c225135ad1668d0
Analítica de Negocios I,A,2020-04-07,Algebra Lineal,1:39:46,https://ca.bbcollab.com/recording/30a2e16984ad43148f702b365e3859a8
Analítica de Negocios I,A,2020-04-14,Algebra Lineal,1:09:47,https://ca.bbcollab.com/recording/1a32b987c75d452c9db7e0f32cbd7482
Analítica de Negocios I,A,2020-04-16,Algebra Lineal,1:47:01,https://ca.bbcollab.com/recording/5bb7a25b7e8c4ecd8a3cfc4d89030874
Analítica de Negocios I,A,2020-04-21,Algebra Lineal,0:37:09,https://ca.bbcollab.com/recording/5e0bc2bc0eaa4ed4b2006d2dbec84fe0
Analítica de Negocios I,A,2020-04-28,Algebra Lineal,0:07:26,https://ca.bbcollab.com/recording/9d047ae2abb546d786857da8aa1c544d
Analítica de Negocios I,A,2020-04-28,Algebra Lineal,0:56:19,https://ca.bbcollab.com/recording/b82af0a484784e34a83224244718e553
Analítica de Negocios I,A,2020-04-30,Algebra Lineal,0:24:54,https://ca.bbcollab.com/recording/3e59cfbac612456f8af00df93a3c3afd
Analítica de Negocios I,A,2020-04-30,Algebra Lineal,1:11:59,https://ca.bbcollab.com/recording/9ce587718f6849b58fb2fd360d24c12c
Analítica de Negocios I,A,2020-05-05,Algebra Lineal,0:26:35,https://ca.bbcollab.com/recording/1e76647c3000471593cae472398439bb
Analítica de Negocios I,A,2020-05-05,Algebra Lineal,1:05:38,https://ca.bbcollab.com/recording/ac9852a6f145413d9a5c52ea01ec9e43
Analítica de Negocios I,A,2020-05-07,ANALITICA,1:21:14,https://ca.bbcollab.com/recording/d05063e8a6014f7fb942efe05c798eef
Analítica de Negocios I,A,2020-05-12,ANALITICA,1:47:19,https://ca.bbcollab.com/recording/bd424f3c131d457ba9120e97158966ba
Analítica de Negocios I,A,2020-05-14,CLASES ANALITICA,1:01:55,https://ca.bbcollab.com/recording/13d7d14c003d4e0b905ff243eae3f746
Analítica de Negocios I,A,2020-05-14,CLASES ANALITICA,0:36:28,https://ca.bbcollab.com/recording/28e4efe8ead940df8f8119374f294da9
Analítica de Negocios I,A,2020-05-28,CLASES ANALITICA,1:20:42,https://ca.bbcollab.com/recording/202e66a6c74a423092f4c8cee090fe9c
Analítica de Negocios I,A,2020-06-02,CLASES ANALITICA,0:51:21,https://ca.bbcollab.com/recording/85d883c941dc452ca5a5e3c1dafcdf14
Analítica de Negocios I,A,2020-06-02,CLASES ANALITICA,0:17:01,https://ca.bbcollab.com/recording/7cdcce785a994345a46867ba6920bbac
Analítica de Negocios I,A,2020-06-04,CLASES ANALITICA,0:00:04,https://ca.bbcollab.com/recording/30054cba0c004af598bc6afd05f11a9f
Analítica de Negocios I,A,2020-06-04,CLASES ANALITICA,0:56:26,https://ca.bbcollab.com/recording/397ce0e86fa14d12afc6a17aee1ed868
Analítica de Negocios I,A,2020-06-04,CLASES ANALITICA,0:30:31,https://ca.bbcollab.com/recording/4dce749e00ac4ff49e055c58d099b33a
Analítica de Negocios I,A,2020-06-09,CLASES ANALITICA,1:42:37,https://ca.bbcollab.com/recording/f456b2578ffe4b9a86dce1738daef491
