Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis Cuantitativo para Negocios,A,2020-03-30,Semana 1: Lunes 30.03,1:11:57,https://ca.bbcollab.com/recording/124caa67a81f4c2b971700dec3646cc6
Análisis Cuantitativo para Negocios,A,2020-04-01,Semana 1: Miércoles 01.04,1:42:40,https://ca.bbcollab.com/recording/08a5e422915a41469a5a508eaaa38e94
Análisis Cuantitativo para Negocios,A,2020-04-06,Semana 2: Lunes,2:26:06,https://ca.bbcollab.com/recording/f69fe3cdd3c6496d913db95ddd2b718f
Análisis Cuantitativo para Negocios,A,2020-04-08,Semana 2: Miércoles,3:09:53,https://ca.bbcollab.com/recording/a4019b7b4eb746d5a538947febe28c29
Análisis Cuantitativo para Negocios,A,2020-04-13,Semana 3: Lunes,2:10:40,https://ca.bbcollab.com/recording/e0c41e88621d4e22844f715361993238
Análisis Cuantitativo para Negocios,A,2020-04-15,Semana 3: Miércoles,1:50:30,https://ca.bbcollab.com/recording/f13f012915b44c5f8206b6dd1b1a1a78
Análisis Cuantitativo para Negocios,A,2020-04-20,Semana 4: Lunes,2:29:46,https://ca.bbcollab.com/recording/94eb793cf4c9489eba4ce275f212c2e1
Análisis Cuantitativo para Negocios,A,2020-04-22,Semana 4: Miércoles,1:46:02,https://ca.bbcollab.com/recording/76ac25f628cb43d793ca7a015fcc5dcf
Análisis Cuantitativo para Negocios,A,2020-04-27,Semana 5: Lunes,2:07:09,https://ca.bbcollab.com/recording/e1495caaf95340c3950ca97aa5ea34c9
Análisis Cuantitativo para Negocios,A,2020-04-29,Semana 5: Miércoles,1:49:13,https://ca.bbcollab.com/recording/b70eca2d820b45ddb5287f213b1f80b4
Análisis Cuantitativo para Negocios,A,2020-05-04,Semana 6: Lunes,2:18:18,https://ca.bbcollab.com/recording/135791ea84dc4c8aa5341d8dd076df9c
Análisis Cuantitativo para Negocios,A,2020-05-06,Semana 6: Miércoles,1:42:30,https://ca.bbcollab.com/recording/554a67de03834adb88cac7c5c16a3896
Análisis Cuantitativo para Negocios,A,2020-05-11,Semana 7: Lunes,2:25:47,https://ca.bbcollab.com/recording/26c9b6b78f4b46e7b101dd3115e10256
Análisis Cuantitativo para Negocios,A,2020-05-13,Semana 7: Miércoles,1:51:10,https://ca.bbcollab.com/recording/c2a06da4152e4d9c95ca3d090276f336
Análisis Cuantitativo para Negocios,A,2020-05-25,Lunes,0:55:44,https://ca.bbcollab.com/recording/1d10bc546e084996a71bd2d143efc81c
Análisis Cuantitativo para Negocios,A,2020-06-01,Lunes,2:27:26,https://ca.bbcollab.com/recording/787774ffef4f43048f46776127ba69b9
Análisis Cuantitativo para Negocios,A,2020-06-08,Lunes,2:22:34,https://ca.bbcollab.com/recording/498676e85d364529ba862c7e7cce0d68
Análisis Cuantitativo para Negocios,A,2020-06-10,Miércoles,1:36:21,https://ca.bbcollab.com/recording/8404f1498ad0435aba5b146d32b6149d
Análisis Cuantitativo para Negocios,A,2020-06-15,Lunes,2:26:54,https://ca.bbcollab.com/recording/6bb4bd62874b4654a3073d29a724aefb
Análisis Cuantitativo para Negocios,A,2020-06-17,Miércoles,1:43:38,https://ca.bbcollab.com/recording/cc254e36c89b4fb0bec9a12c51be0cd1
Análisis Cuantitativo para Negocios,A,2020-06-22,Lunes,3:06:55,https://ca.bbcollab.com/recording/15ff456ab1724e609f4d79ab05c764a1
Análisis Cuantitativo para Negocios,A,2020-06-24,Miércoles,1:37:41,https://ca.bbcollab.com/recording/2b5152f9c08249bba6e42435e587fa6e
Análisis Cuantitativo para Negocios,A,2020-06-29,Lunes,2:41:42,https://ca.bbcollab.com/recording/575734f335e0483b96634e216eefdfa3
Análisis Cuantitativo para Negocios,A,2020-07-01,Miércoles,1:48:08,https://ca.bbcollab.com/recording/f9f7c4f4f7194f4db0ddcbcb50b6dab2
Análisis Cuantitativo para Negocios,A,2020-07-06,Lunes,2:19:29,https://ca.bbcollab.com/recording/16253cd3b27d4f568ca439677c3a423a
Análisis Cuantitativo para Negocios,A,2020-07-08,Miércoles,1:43:45,https://ca.bbcollab.com/recording/4264c30f22674560b9a355c07794c55b
Análisis Cuantitativo para Negocios,A,2020-07-08,Miércoles,1:43:45,https://ca.bbcollab.com/recording/4264c30f22674560b9a355c07794c55b
