Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis Cuantitativo para Negocios,C,2020-03-31,Sesión 01: Introducción - 31.03.2020,1:54:09,https://ca.bbcollab.com/recording/6ee63326810b45e9a5b1cf5c96be2ae8
Análisis Cuantitativo para Negocios,C,2020-04-02,Sesión 02: Modelos en Excel,2:53:32,https://ca.bbcollab.com/recording/b52996bc4b2e471fbc3d0e2c00a3a8b7
Análisis Cuantitativo para Negocios,C,2020-04-07,Sesión 03: Revisión de Estadística,1:43:28,https://ca.bbcollab.com/recording/f36fad4cd32349d1aeae3d17bfe77834
Análisis Cuantitativo para Negocios,C,2020-04-14,Sesión 04: Estimación de Demanda,1:46:06,https://ca.bbcollab.com/recording/9fa5a765eaf74f2ebddc6025f7f2e4a8
Análisis Cuantitativo para Negocios,C,2020-04-16,Sesión 05: Estimación de Demanda,2:47:09,https://ca.bbcollab.com/recording/e88367635c3a4913bd9b635b6dde1bf4
Análisis Cuantitativo para Negocios,C,2020-04-21,Sesión 06: Técnicas de Pronóstico,1:40:12,https://ca.bbcollab.com/recording/1ced106a63af45f88b2eb68104550050
Análisis Cuantitativo para Negocios,C,2020-04-23,Sesión 07: Técnicas de Pronóstico,0:00:01,https://ca.bbcollab.com/recording/24f1270afbdb46a3ab0f272089dcee1d
Análisis Cuantitativo para Negocios,C,2020-04-23,Sesión 07: Técnicas de Pronóstico,3:01:26,https://ca.bbcollab.com/recording/e1fd2afc6ab3457faa28877f4053f63a
Análisis Cuantitativo para Negocios,C,2020-04-28,Sesión 08: Técnicas de Pronósticos,1:55:38,https://ca.bbcollab.com/recording/10b0146a63f54439aedab44ff0212421
Análisis Cuantitativo para Negocios,C,2020-04-30,Sesión 09: Simulación,2:54:06,https://ca.bbcollab.com/recording/c6f018b72a7f4daa8904e570c37cfc59
Análisis Cuantitativo para Negocios,C,2020-05-05,Sesión 10: Simulación,1:45:53,https://ca.bbcollab.com/recording/44489fd42ee64836b7b3d703bb602b3a
Análisis Cuantitativo para Negocios,C,2020-05-07,Sesión 11: Simulación,2:40:27,https://ca.bbcollab.com/recording/72d8842cdc434dc2b0ceb62ba9fa3f29
Análisis Cuantitativo para Negocios,C,2020-05-12,Sesión 12: Simulación,1:40:27,https://ca.bbcollab.com/recording/bd95cf3d6a884c088b9040430aa16e7c
Análisis Cuantitativo para Negocios,C,2020-05-14,Sesión 13: Simulación,2:46:25,https://ca.bbcollab.com/recording/21c309ac4bdd4e969ccc88a79a0f665a
Análisis Cuantitativo para Negocios,C,2020-05-21,Examen Parcial 2020-1,2:27:32,https://ca.bbcollab.com/recording/b31bdbff3a474e02b0fe7499d079a2d1
Análisis Cuantitativo para Negocios,C,2020-05-26,Sesión 14: Revisión del Examen Parcial,1:37:19,https://ca.bbcollab.com/recording/9723011f08f243f88ca06deb860b2547
Análisis Cuantitativo para Negocios,C,2020-05-28,Sesión 15: Programación Lineal,2:43:30,https://ca.bbcollab.com/recording/b715c443e18147b0ac9f49783dc57216
Análisis Cuantitativo para Negocios,C,2020-06-02,Sesión 16: Programación Lineal,1:31:31,https://ca.bbcollab.com/recording/e61eb788b7db4fbda7937ab2f3ca4d07
Análisis Cuantitativo para Negocios,C,2020-06-04,Sesión 17: Programación Lineal,2:38:25,https://ca.bbcollab.com/recording/27436d9aa44a4602aca88f5f7d8e28aa
Análisis Cuantitativo para Negocios,C,2020-06-09,Sesión 18: Programación Lineal,1:43:12,https://ca.bbcollab.com/recording/8f992a92e7fb47a1b8419b7eb1c93587
Análisis Cuantitativo para Negocios,C,2020-06-11,Sesión 19: Programación Lineal,2:27:41,https://ca.bbcollab.com/recording/45844843f6844423a644cf8b64461f28
Análisis Cuantitativo para Negocios,C,2020-06-16,Sesión 20: Programación Lineal,1:43:52,https://ca.bbcollab.com/recording/da7debef24954da3a1941212ba72dc0e
Análisis Cuantitativo para Negocios,C,2020-06-18,Sesión 21: Programación Lineal,2:46:26,https://ca.bbcollab.com/recording/4eb21d9cd7814ebfa74df41e3630bbbb
Análisis Cuantitativo para Negocios,C,2020-06-23,Sesión 22: Programación Lineal,1:46:37,https://ca.bbcollab.com/recording/30abe67db33d4842bfa6eca8bde8c760
Análisis Cuantitativo para Negocios,C,2020-06-25,Sesión 23: Modelos de Control de Inventarios,2:42:40,https://ca.bbcollab.com/recording/61a40a7bfdf44175b196efbd526f2336
Análisis Cuantitativo para Negocios,C,2020-06-30,Sesión 24: Modelos de Control de Inventarios,1:46:16,https://ca.bbcollab.com/recording/528a0f8ba7e34f4597f0aae03af6c14a
Análisis Cuantitativo para Negocios,C,2020-07-02,Sesión 25: Modelos de Control de Inventarios,2:40:20,https://ca.bbcollab.com/recording/1a023013b65145569816e4d603075d82
Análisis Cuantitativo para Negocios,C,2020-07-07,Sesión 26: Teoría de Colas,1:37:38,https://ca.bbcollab.com/recording/7bd02e036d9f4b8dab47cc69cf48055e
Análisis Cuantitativo para Negocios,C,2020-07-09,Sesión 27: Presentaciones de Trabajos Finales,2:59:57,https://ca.bbcollab.com/recording/a25a0c33fa6042d8a6cd04a8e3b3bc57
Análisis Cuantitativo para Negocios,C,2020-07-09,Sesión 27: Presentaciones de Trabajos Finales,2:59:57,https://ca.bbcollab.com/recording/a25a0c33fa6042d8a6cd04a8e3b3bc57
Análisis Cuantitativo para Negocios,C,2020-07-16,Examen Final 2020-1,1:02:15,https://ca.bbcollab.com/recording/23aada7caa35460cb4e8748d7930b087
