Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis Multivariado para los Negocios,B,2020-04-15,Análisis Multivariado B: Sesiones virtuales,2:47:25,https://ca.bbcollab.com/recording/548b0c5096104e899d9f76dd9f1f80f8
Análisis Multivariado para los Negocios,B,2020-04-22,Análisis Multivariado B: Sesiones virtuales,2:28:40,https://ca.bbcollab.com/recording/c6324242277c45a5b94c169c49325d5a
Análisis Multivariado para los Negocios,B,2020-04-24,Análisis Multivariado B: Sesiones virtuales,1:44:28,https://ca.bbcollab.com/recording/2f3abf701aa645c2980fae29ddead4f8
Análisis Multivariado para los Negocios,B,2020-04-29,Análisis Multivariado B: Sesiones virtuales,2:38:41,https://ca.bbcollab.com/recording/f593d631010344949dd58ba7bfbca3be
Análisis Multivariado para los Negocios,B,2020-05-06,Análisis Multivariado B: Sesiones virtuales,2:42:33,https://ca.bbcollab.com/recording/6eb31cc3c2ee438d8b688deb09eff334
Análisis Multivariado para los Negocios,B,2020-05-08,Análisis Multivariado B: Sesiones virtuales,1:04:18,https://ca.bbcollab.com/recording/015763d72ea34171b4953add3b0961f4
Análisis Multivariado para los Negocios,B,2020-05-15,Análisis Multivariado B: Sesiones virtuales,1:33:45,https://ca.bbcollab.com/recording/c58054eb939641d08e7a2aff09d43b87
Análisis Multivariado para los Negocios,B,2020-05-15,Analisis multivariado,0:45:24,https://ca.bbcollab.com/recording/ffb7c9501f324d42876c5283d4975ce6
Análisis Multivariado para los Negocios,B,2020-05-19,Análisis Multivariado. Examen parcial,0:58:19,https://ca.bbcollab.com/recording/4ed6900902bd4a84a833313e8b821c4e
Análisis Multivariado para los Negocios,B,2020-05-19,Analisis Multivariado: Examen parcial,2:19:22,https://ca.bbcollab.com/recording/2504014ceafd48f1bef0ad380323b7aa
Análisis Multivariado para los Negocios,B,2020-05-27,Análisis Multivariado B,2:33:36,https://ca.bbcollab.com/recording/4d565a093cd34e548370a2de7ab343d2
Análisis Multivariado para los Negocios,B,2020-05-29,Análisis Multivariado B,1:14:09,https://ca.bbcollab.com/recording/4729ffe54e5d445abf2d74a31d8b1bbb
Análisis Multivariado para los Negocios,B,2020-06-03,Análisis Multivariado B,2:47:20,https://ca.bbcollab.com/recording/1a02483bf0e8444fa95b5adf43dbbb44
Análisis Multivariado para los Negocios,B,2020-06-05,Análisis Multivariado B,1:24:38,https://ca.bbcollab.com/recording/c428140123b544e8af21b3b958f9cd46
Análisis Multivariado para los Negocios,B,2020-06-10,Análisis Multivariado B,1:48:17,https://ca.bbcollab.com/recording/9e91d70e3c1946eb8281fd097fb6058a
Análisis Multivariado para los Negocios,B,2020-06-17,Análisis Multivariado B,2:25:50,https://ca.bbcollab.com/recording/ff3f31b13cc84c939f7a8072786bc2c1
Análisis Multivariado para los Negocios,B,2020-06-19,Análisis Multivariado B,1:36:51,https://ca.bbcollab.com/recording/116d8ce7736b4945928e6bf7506cc6e9
Análisis Multivariado para los Negocios,B,2020-06-24,Análisis Multivariado B,1:32:44,https://ca.bbcollab.com/recording/eafa3c372f174a58854d9243f0c9f706
Análisis Multivariado para los Negocios,B,2020-06-26,Análisis Multivariado B,1:21:55,https://ca.bbcollab.com/recording/9a32ca5fbdec4579a7bd5a40a549f00d
Análisis Multivariado para los Negocios,B,2020-07-01,Análisis Multivariado B,3:25:58,https://ca.bbcollab.com/recording/f955bfcf02444666991ef970bcc7c063
Análisis Multivariado para los Negocios,B,2020-07-08,Análisis Multivariado B,3:32:31,https://ca.bbcollab.com/recording/828a88f02fe04cd39f2fd7739a989242
Análisis Multivariado para los Negocios,B,2020-07-08,Análisis Multivariado B,3:32:31,https://ca.bbcollab.com/recording/828a88f02fe04cd39f2fd7739a989242
Análisis Multivariado para los Negocios,B,2020-07-14,Examen final seccion B,2:03:39,https://ca.bbcollab.com/recording/df65c06facf54756a2824dfa9c0f16d7
