Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis Político Relevante para la Pers,A,2020-03-31,Primera sesión inaugural del seminario,1:41:01,https://ca.bbcollab.com/recording/4550b05b7b4d4609b5dc3e058191a08b
Análisis Político Relevante para la Pers,A,2020-04-07,Clase de seminario,1:38:24,https://ca.bbcollab.com/recording/9f82b751098f4fb09ffda6ed0ac9fa78
Análisis Político Relevante para la Pers,A,2020-04-14,Tercera clase,0:54:19,https://ca.bbcollab.com/recording/d9ece11f77874dbb9a9681c58ac29d4d
Análisis Político Relevante para la Pers,A,2020-04-21,Clase de seminario,1:15:27,https://ca.bbcollab.com/recording/4126f368b7b441cebfe54594daf21237
Análisis Político Relevante para la Pers,A,2020-04-28,Clase de seminario,1:26:04,https://ca.bbcollab.com/recording/1299007ffe1b4f6fbc3598780ffe5924
Análisis Político Relevante para la Pers,A,2020-05-05,Clase de seminario,1:37:47,https://ca.bbcollab.com/recording/703344c1a68844d5b1205c31015f037d
Análisis Político Relevante para la Pers,A,2020-05-12,Clase de seminario,1:29:20,https://ca.bbcollab.com/recording/dc56688179b64c199144857a568e540f
Análisis Político Relevante para la Pers,A,2020-05-26,Clase de seminario,0:31:10,https://ca.bbcollab.com/recording/c2fbce12dbba45f7a9badd1001009560
Análisis Político Relevante para la Pers,A,2020-06-02,Clase de seminario,1:15:57,https://ca.bbcollab.com/recording/70d761d221fc45d5961559c1523599ca
Análisis Político Relevante para la Pers,A,2020-06-09,Clase de seminario,1:26:54,https://ca.bbcollab.com/recording/6bfc3d3e4ca0484faea6ba39d04709f7
