Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis del Consumidor,A,2020-03-30,Semana 1,1:46:48,https://ca.bbcollab.com/recording/e39bda2596d446a6a5b4e9196190ab70
Análisis del Consumidor,A,2020-04-06,Semana 2 y 3,1:24:26,https://ca.bbcollab.com/recording/6b6e063c4cbc4953914d853061acbd2a
Análisis del Consumidor,A,2020-04-06,Semana 2 y 3,0:08:42,https://ca.bbcollab.com/recording/852ef9fdd95249df8d8e45c980479c1f
Análisis del Consumidor,A,2020-04-13,Semana 2 y 3,1:29:21,https://ca.bbcollab.com/recording/94e004fb724f4875859df9b141a72358
Análisis del Consumidor,A,2020-04-20,Semana 2 y 3,1:31:59,https://ca.bbcollab.com/recording/8fc74daa110a47f190a64b3711b73f09
Análisis del Consumidor,A,2020-04-27,Semana 5,1:36:10,https://ca.bbcollab.com/recording/36a131424b484053bb5504a8066afd6f
Análisis del Consumidor,A,2020-05-04,Semana 6,1:10:44,https://ca.bbcollab.com/recording/0645953853024522a96a8d4e425370a8
Análisis del Consumidor,A,2020-05-04,Semana 6,0:04:46,https://ca.bbcollab.com/recording/ddaf362c93e341a8abbe214e7578b6ba
Análisis del Consumidor,A,2020-05-11,Semanda 7,1:36:55,https://ca.bbcollab.com/recording/5a3f48abd6c345ca8fc86780b75485f5
Análisis del Consumidor,A,2020-05-25,Semana 9,1:04:24,https://ca.bbcollab.com/recording/d151712ced1d48d0af39c0431001add5
Análisis del Consumidor,A,2020-06-01,Semanas 9 y 10,1:37:33,https://ca.bbcollab.com/recording/16981a5339a44a578271d143b641e7a7
Análisis del Consumidor,A,2020-06-08,Sesión 11,1:39:41,https://ca.bbcollab.com/recording/f384a05a446649058cd03e91ee0cf115
Análisis del Consumidor,A,2020-06-15,Sesión 12,1:36:33,https://ca.bbcollab.com/recording/e43a570ff9424d2c8ed50c656e133909
Análisis del Consumidor,A,2020-06-22,Sesión 12 y 13,1:41:04,https://ca.bbcollab.com/recording/33a2de801b3c42fdb868054c0115a5cd
Análisis del Consumidor,A,2020-07-06,Sesión 12 y 13 - expos finales,1:43:18,https://ca.bbcollab.com/recording/91e94907e5fa4a14a9d2bf65229a8b86
