Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Análisis y Simulación de Negocios Intern,A,2020-04-06,Sesion 2,2:03:18,https://ca.bbcollab.com/recording/fcac54b1bac4433fb80cf6ef4b8cfdb1
Análisis y Simulación de Negocios Intern,A,2020-04-13,Sesion3,2:32:40,https://ca.bbcollab.com/recording/c69556e7938b48c7843452e06e22406f
Análisis y Simulación de Negocios Intern,A,2020-04-20,Sesion4,2:08:11,https://ca.bbcollab.com/recording/5ca86ae669194ddd8635efe17e4c5f4d
Análisis y Simulación de Negocios Intern,A,2020-04-27,Sesion5,2:39:53,https://ca.bbcollab.com/recording/a09298a7c6234e8d81bea7cf25a45b9f
Análisis y Simulación de Negocios Intern,A,2020-05-04,Sesion 6,0:26:27,https://ca.bbcollab.com/recording/986d326e05d04d3f83a0a7bec4004f39
Análisis y Simulación de Negocios Intern,A,2020-05-11,Sesion 7,3:45:49,https://ca.bbcollab.com/recording/27ecf4af624d4848b115d2f706d0506d
Análisis y Simulación de Negocios Intern,A,2020-05-25,Sesión 8,3:18:15,https://ca.bbcollab.com/recording/70af905b9e5f46f8a2341f5e0d8fca20
Análisis y Simulación de Negocios Intern,A,2020-06-01,Sesion 01junio,2:12:22,https://ca.bbcollab.com/recording/abc01679fb114692ad9d5201c6d2f1fb
Análisis y Simulación de Negocios Intern,A,2020-06-08,Sesion 08 de junio,0:00:05,https://ca.bbcollab.com/recording/a97694beefd14ddeab589e10965161f8
Análisis y Simulación de Negocios Intern,A,2020-06-08,Sesion 08 de junio,1:30:55,https://ca.bbcollab.com/recording/c24b2e8c0e7643579f7dbc669ab8503d
Análisis y Simulación de Negocios Intern,A,2020-06-15,Sesion 15 de junio,3:01:14,https://ca.bbcollab.com/recording/f5f3beada63548aca20a13b4b980d15c
Análisis y Simulación de Negocios Intern,A,2020-06-22,Sesión 22/06/2020,3:40:27,https://ca.bbcollab.com/recording/1fe855a30aca40c1a8dcca9bb433af53
Análisis y Simulación de Negocios Intern,A,2020-06-29,Sesion 29/06/2020 (Resultados Finales Simulador CESIM),1:24:40,https://ca.bbcollab.com/recording/6e04aa44845d4e768822358fe5768c5a
Análisis y Simulación de Negocios Intern,A,2020-07-06,Sesion 6 de julio,3:04:19,https://ca.bbcollab.com/recording/eceb0c1d9f804f96bc17e0cee84f046b
Análisis y Simulación de Negocios Intern,A,2020-07-06,Sesion 6 de julio,3:04:19,https://ca.bbcollab.com/recording/eceb0c1d9f804f96bc17e0cee84f046b
