Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Arquitectura de Procesos de Distribución,B,2020-03-30,Sesion 01 Lunes 30 Marzo,1:44:13,https://ca.bbcollab.com/recording/62c3beb9348043b0998465c76bd2178f
Arquitectura de Procesos de Distribución,B,2020-04-01,Sesion 02 Miercoles 01 Abril,1:44:23,https://ca.bbcollab.com/recording/49e56164a8b8410091b08256bafb0644
Arquitectura de Procesos de Distribución,B,2020-04-06,Sesión 03 Lunes 06 Abril,1:47:15,https://ca.bbcollab.com/recording/6bc242a1cd59446e89a63b357de27c5d
Arquitectura de Procesos de Distribución,B,2020-04-08,Sesión 04 Miercoles 08 Abril,1:42:46,https://ca.bbcollab.com/recording/52bbf220187546478bd4b0ce383b8058
Arquitectura de Procesos de Distribución,B,2020-04-13,Sesión 05 Lunes 13 Abril,1:48:59,https://ca.bbcollab.com/recording/e4cf636addab47fc95f08c12b3e413ce
Arquitectura de Procesos de Distribución,B,2020-04-15,Sesión 06 Miercoles 15 Abril,1:53:01,https://ca.bbcollab.com/recording/e545175e0c654c32a94fc4cde891d9e9
Arquitectura de Procesos de Distribución,B,2020-04-18,Laboratorio 1,1:50:06,https://ca.bbcollab.com/recording/70c55e29fc9b43e2bbca0c78131d881b
Arquitectura de Procesos de Distribución,B,2020-04-20,Sesión 07 20 Abril,1:51:17,https://ca.bbcollab.com/recording/aae743e1842b428791a9c46b6f0beab1
Arquitectura de Procesos de Distribución,B,2020-04-22,Sesión 08 22 Abril,1:34:31,https://ca.bbcollab.com/recording/0680ba605123427aa27f3c4dd2f706b7
Arquitectura de Procesos de Distribución,B,2020-04-25,Laboratorio 2,1:15:41,https://ca.bbcollab.com/recording/40e2c5705ae446779e476219e9dcc3bc
Arquitectura de Procesos de Distribución,B,2020-04-27,Sesión 09 Lunes 27 Abril,1:45:22,https://ca.bbcollab.com/recording/9f2ec52a539247ee95df4da9f9d646c1
Arquitectura de Procesos de Distribución,B,2020-04-29,Sesión 10 Miercoles 29 Abril,1:45:01,https://ca.bbcollab.com/recording/9e18d36697784c8e8b49667b75c04302
Arquitectura de Procesos de Distribución,B,2020-05-04,Sesión 11 Lunes 04 Mayo,1:40:53,https://ca.bbcollab.com/recording/08bb9ffe48c5452da2993adf903c1b0c
Arquitectura de Procesos de Distribución,B,2020-05-06,Sesión 12 Miercoles 06 Mayo,1:52:23,https://ca.bbcollab.com/recording/ba0b0187cbdf4f05a138e104046a2dcf
Arquitectura de Procesos de Distribución,B,2020-05-09,Lab3,0:50:28,https://ca.bbcollab.com/recording/259f9019878240bda474c0e14b12b742
Arquitectura de Procesos de Distribución,B,2020-05-11,Sesión 13 Lunes 11 Mayo,0:42:11,https://ca.bbcollab.com/recording/356f13f3b6de4ee7a9b781783855d86c
Arquitectura de Procesos de Distribución,B,2020-05-11,Sesión 13 Lunes 11 Mayo,0:32:59,https://ca.bbcollab.com/recording/a96a16ad594e4856bee7c552e8919bc7
