Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Arquitectura de Procesos de Producción y,A,2020-03-31,SEMANA 01 MARTES,1:19:34,https://ca.bbcollab.com/recording/04c737d1001644e38dfe6f6d832d2a9e
Arquitectura de Procesos de Producción y,A,2020-04-02,SEMANA 01 JUEVES,1:25:14,https://ca.bbcollab.com/recording/08cf162a75a040ca80321f19b6b723e2
Arquitectura de Procesos de Producción y,A,2020-04-07,semana 02 / 01,0:22:07,https://ca.bbcollab.com/recording/4def5608b2924058a9a107077974afd6
Arquitectura de Procesos de Producción y,A,2020-04-14,SEMANA 03 SESION 01,1:49:06,https://ca.bbcollab.com/recording/b862256783c544d49eebcb7707e7b83f
Arquitectura de Procesos de Producción y,A,2020-04-16,SEMANA 03 SESION 02,1:35:16,https://ca.bbcollab.com/recording/8a832015ad7b43c79affd78b5ae43cb5
Arquitectura de Procesos de Producción y,A,2020-04-18,Laboratorio I,1:54:28,https://ca.bbcollab.com/recording/7bd4ff27a825444eb3f995f37b28b375
Arquitectura de Procesos de Producción y,A,2020-04-21,SEMANA 04 SESION 01,1:49:03,https://ca.bbcollab.com/recording/57e5185e47d24e43992a4d66cd5619b2
Arquitectura de Procesos de Producción y,A,2020-04-23,SEMANA 04 SESION 02,1:26:26,https://ca.bbcollab.com/recording/312bc84ccdf142b294cb5cc9cffd2104
Arquitectura de Procesos de Producción y,A,2020-04-28,SEMANA 6 SESIÓN 01,1:26:35,https://ca.bbcollab.com/recording/3d37a652ca1a476a879d9c8ecbe7af83
Arquitectura de Procesos de Producción y,A,2020-04-28,SEMANA 6 SESIÓN 01,0:19:45,https://ca.bbcollab.com/recording/e22f87fd51f24c83813f7b002df9a142
Arquitectura de Procesos de Producción y,A,2020-04-30,SEMANA 06 SESIÓN 02,1:41:36,https://ca.bbcollab.com/recording/c236597d34b64c32b1a33ceca05c9002
Arquitectura de Procesos de Producción y,A,2020-05-02,"Laboratorio 2 Sección ""A""",1:58:13,https://ca.bbcollab.com/recording/f8f1cb5606cb449d8e0df774379d5ec0
Arquitectura de Procesos de Producción y,A,2020-05-05,SESION 01,1:28:06,https://ca.bbcollab.com/recording/a474be857cdd431ea5eed5c80542a13b
Arquitectura de Procesos de Producción y,A,2020-05-07,SESIÓN 02,1:09:04,https://ca.bbcollab.com/recording/fdfeab34b2c24820b46b55743f22d5e1
Arquitectura de Procesos de Producción y,A,2020-05-12,sesion 01,1:29:37,https://ca.bbcollab.com/recording/49ccb7253b8142c1adcb7be8e29c5cb1
Arquitectura de Procesos de Producción y,A,2020-05-14,sesión 02,2:24:05,https://ca.bbcollab.com/recording/03433f9dd17e4a84853d86d72e412dd6
Arquitectura de Procesos de Producción y,A,2020-05-16,Laboratorio 3,1:53:28,https://ca.bbcollab.com/recording/68253cc506c84fa6a8cbb8703f6ab0fa
Arquitectura de Procesos de Producción y,A,2020-05-26,primera sesión semana,2:22:57,https://ca.bbcollab.com/recording/a01bcd5ebf27490bb897107561a7af48
Arquitectura de Procesos de Producción y,A,2020-06-02,martes 02,1:38:57,https://ca.bbcollab.com/recording/2b616817ed24419692213f261e9a3ddc
Arquitectura de Procesos de Producción y,A,2020-06-04,SESION 02,1:35:20,https://ca.bbcollab.com/recording/003dcab87c134a279a5d4c17d397e203
Arquitectura de Procesos de Producción y,A,2020-06-06,Laboratorio N°4,4:16:04,https://ca.bbcollab.com/recording/846e5331b2a34ac8b63a933481eb4b6a
Arquitectura de Procesos de Producción y,A,2020-06-09,martes 09/06,1:27:19,https://ca.bbcollab.com/recording/c59070041de94a30a719626a987cf7f3
Arquitectura de Procesos de Producción y,A,2020-06-11,PC2,2:02:18,https://ca.bbcollab.com/recording/01279d70d87047cebf64f12d86b9afa7
Arquitectura de Procesos de Producción y,A,2020-06-16,martes 16 de Junio,1:19:54,https://ca.bbcollab.com/recording/b2431e7b77334c888db4fd14b5387196
Arquitectura de Procesos de Producción y,A,2020-06-18,jueves 18,1:24:28,https://ca.bbcollab.com/recording/6ef5ab07335542ab994afbbb09d0868c
Arquitectura de Procesos de Producción y,A,2020-06-20,Laboratorio N° 5,2:46:39,https://ca.bbcollab.com/recording/19c4976822bd493cb173819c651356ec
