Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Arquitectura de Procesos de Producción y,B,2020-04-01,Sesión 01/04/20,1:51:04,https://ca.bbcollab.com/recording/362c26e194c7468e910a5c57b8a98ab8
Arquitectura de Procesos de Producción y,B,2020-04-03,Sesión 03-04-2020,1:49:28,https://ca.bbcollab.com/recording/a597d6ec6b3d4271b4af01c2e70da9e3
Arquitectura de Procesos de Producción y,B,2020-04-08,Sesión 08/04/2020,1:59:20,https://ca.bbcollab.com/recording/f093aad3a4cc43d1aac0e24fbbbc677a
Arquitectura de Procesos de Producción y,B,2020-04-10,Sesión 10-04-2020,2:04:26,https://ca.bbcollab.com/recording/42de517a9ca04ab0b9b2e8529ef0f409
Arquitectura de Procesos de Producción y,B,2020-04-15,Sesión 15/04/2020,1:54:30,https://ca.bbcollab.com/recording/02a80e9f9c7c4352b3478c31e7e655b9
Arquitectura de Procesos de Producción y,B,2020-04-17,Sesión 17/04/2020,2:11:27,https://ca.bbcollab.com/recording/5c4f225f6e0946d485beb863489bc5f7
Arquitectura de Procesos de Producción y,B,2020-04-18,Laboratorio I,1:58:17,https://ca.bbcollab.com/recording/e2a633df62d94e72b4bfd8aab592bc2c
Arquitectura de Procesos de Producción y,B,2020-04-22,Sesión 22/04/2020,1:59:48,https://ca.bbcollab.com/recording/d745363e42834a4399f9700f00615ce4
Arquitectura de Procesos de Producción y,B,2020-04-24,Sesión 24/04/2020,0:59:29,https://ca.bbcollab.com/recording/a7143ffdd1514e638a737e736ad68c04
Arquitectura de Procesos de Producción y,B,2020-04-29,Sesión 29/04/2020,2:01:05,https://ca.bbcollab.com/recording/6ddf37cc687948dd986dc6c80b7d7c15
Arquitectura de Procesos de Producción y,B,2020-05-01,Sesión 01/05/2020,1:51:23,https://ca.bbcollab.com/recording/4565d33f03e34d2ca8e4a5eb326145f7
Arquitectura de Procesos de Producción y,B,2020-05-02,Laboratorio II Sección B,1:49:19,https://ca.bbcollab.com/recording/f7df2e143e834572b8e6b3f8cad591dd
Arquitectura de Procesos de Producción y,B,2020-05-06,Sesión 06/05/2020,1:57:25,https://ca.bbcollab.com/recording/2d78966ec1f54ee8bb18e392d4ba3d76
Arquitectura de Procesos de Producción y,B,2020-05-08,Sesión 08/05/2020,1:29:43,https://ca.bbcollab.com/recording/769d769aaa50479dbd92da44d33f8e67
Arquitectura de Procesos de Producción y,B,2020-05-13,Sesión 13/05/2020,1:48:47,https://ca.bbcollab.com/recording/c38a51e0692f4e38a47ad98f9329bea8
Arquitectura de Procesos de Producción y,B,2020-05-15,Sesión 15/05/2020,2:17:42,https://ca.bbcollab.com/recording/471f59be12234ee782bfe70c4db09acd
Arquitectura de Procesos de Producción y,B,2020-05-16,Laboratorio 3 - Sección B,2:07:52,https://ca.bbcollab.com/recording/c9c5e47d77cc40c581c9f3ed5c2f30f7
Arquitectura de Procesos de Producción y,B,2020-05-27,Sesión 26/05/2020,1:49:14,https://ca.bbcollab.com/recording/f9a97fd8f54a428db4cd2b03d3068002
Arquitectura de Procesos de Producción y,B,2020-05-29,Sesión 29/05/2020,2:01:27,https://ca.bbcollab.com/recording/eac7f37d0e2649a9a4fe6247dba758c1
Arquitectura de Procesos de Producción y,B,2020-06-03,Sesión 03/06/2020,1:50:30,https://ca.bbcollab.com/recording/5227f82e0c7449acb4b2cc520878326d
Arquitectura de Procesos de Producción y,B,2020-06-05,Sesión 05/06/2020,1:48:03,https://ca.bbcollab.com/recording/afca6a03bd324dea9ba66ffe24fc70a2
Arquitectura de Procesos de Producción y,B,2020-06-06,Laboratorio N° 4,1:52:21,https://ca.bbcollab.com/recording/0cb534aac4b64a1cb50d72a872fc8a56
Arquitectura de Procesos de Producción y,B,2020-06-10,Sesión 08/05/2020,1:54:40,https://ca.bbcollab.com/recording/a32ed038900243bfa1d3df388b451178
Arquitectura de Procesos de Producción y,B,2020-06-12,Sesión 12/06/2020,1:56:50,https://ca.bbcollab.com/recording/9b2fa0b18dea49b884d4968d2950f7f8
Arquitectura de Procesos de Producción y,B,2020-06-17,Sesión 17/06/2020,1:56:08,https://ca.bbcollab.com/recording/13d3e8661e0848fd969f6db290e92e0b
Arquitectura de Procesos de Producción y,B,2020-06-19,Sesión 19/06/2020,2:01:57,https://ca.bbcollab.com/recording/8403cc54f148417bae71a91ef20c3550
Arquitectura de Procesos de Producción y,B,2020-06-20,Laboratorio N° 5,1:30:58,https://ca.bbcollab.com/recording/c782312354a3438d9bc4b4c25bef116c
Arquitectura de Procesos de Producción y,B,2020-06-24,Sesión 24/06/2020,2:02:11,https://ca.bbcollab.com/recording/7122fe5c86d141119049e29355f07c5a
Arquitectura de Procesos de Producción y,B,2020-06-26,Sesión 26/06/2020,1:44:41,https://ca.bbcollab.com/recording/932c103b300d4d78986fedabd46ed964
Arquitectura de Procesos de Producción y,B,2020-07-01,Sesión 01/07/2020,1:50:54,https://ca.bbcollab.com/recording/ee06cb0538484a9ead2353c03f307af9
Arquitectura de Procesos de Producción y,B,2020-07-03,Sesión 03/07/2020,1:56:16,https://ca.bbcollab.com/recording/654ea6546c524587894a5be41cce794e
Arquitectura de Procesos de Producción y,B,2020-07-04,Última Sesión - Laboratorio # 6,1:23:18,https://ca.bbcollab.com/recording/6cfdc19794a6483ba18cbed105e47c92
Arquitectura de Procesos de Producción y,B,2020-07-08,Sesión 08/07/2020,1:58:40,https://ca.bbcollab.com/recording/51cd6b54d9374183a79de50a4b1d38cf
Arquitectura de Procesos de Producción y,B,2020-07-08,Sesión 08/07/2020,1:58:40,https://ca.bbcollab.com/recording/51cd6b54d9374183a79de50a4b1d38cf
Arquitectura de Procesos de Producción y,B,2020-07-10,Sesión 10/07/2020,1:32:43,https://ca.bbcollab.com/recording/59fc44ea59b14201af050aee2ee7874a
Arquitectura de Procesos de Producción y,B,2020-07-10,Sesión 10/07/2020,1:32:43,https://ca.bbcollab.com/recording/59fc44ea59b14201af050aee2ee7874a
