Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Arquitectura del Negocio,C,2020-04-02,Clase 02 de abril,1:37:52,https://ca.bbcollab.com/recording/6bdf3f9d06634868a4022e091f4e7fb2
Arquitectura del Negocio,C,2020-04-07,Clase 07 abril,2:21:57,https://ca.bbcollab.com/recording/60bb3b9d6f2a40f2a8978ddf0add25af
Arquitectura del Negocio,C,2020-04-14,cLASE 14 DE ABRIL,1:53:36,https://ca.bbcollab.com/recording/5a12493fb7724ff3a5cc5e795db3cc8f
Arquitectura del Negocio,C,2020-04-15,Lab S1 - Introducción Design Thinking,1:48:26,https://ca.bbcollab.com/recording/5a0d7c21bf48498b8cc8ef6ace3694e4
Arquitectura del Negocio,C,2020-04-16,cLASE 16 DE ABRIL,1:38:28,https://ca.bbcollab.com/recording/cab6582705ae4cf9937cdf599cb15eea
Arquitectura del Negocio,C,2020-04-16,cLASE 16 DE ABRIL,1:44:25,https://ca.bbcollab.com/recording/d92fec62475e4c04bd73d24f4d7aebdc
Arquitectura del Negocio,C,2020-04-21,CLASE 21 ABRIL,1:16:23,https://ca.bbcollab.com/recording/ce509dc3a203447e968cd8b882b0f898
Arquitectura del Negocio,C,2020-04-23,CLASES23 DE ABRIL,1:32:42,https://ca.bbcollab.com/recording/93560b98369e4b8394d40e91360456d6
Arquitectura del Negocio,C,2020-04-28,clase 28 abril,0:01:42,https://ca.bbcollab.com/recording/4fd6d5f4a97346abab1588f431768d71
Arquitectura del Negocio,C,2020-04-28,clase 28 abril,1:15:45,https://ca.bbcollab.com/recording/9b356821a11746a58ecc05e75cab6c49
Arquitectura del Negocio,C,2020-04-29,Lab S2 - Empatía,1:40:16,https://ca.bbcollab.com/recording/d15b0a6515a34f2aaa5e993693993cb6
Arquitectura del Negocio,C,2020-04-30,CLASE 30 ABRIL,0:35:03,https://ca.bbcollab.com/recording/6625a93b91404e02850a066b86b81375
Arquitectura del Negocio,C,2020-05-05,CLASE 5 DE MAYO,1:55:33,https://ca.bbcollab.com/recording/e80ca1d647894bd392a8408be33984a2
Arquitectura del Negocio,C,2020-05-07,CLASE 7 DE MAYO,1:04:29,https://ca.bbcollab.com/recording/f709c3d536764740808595d14a2d1566
Arquitectura del Negocio,C,2020-05-12,CLASE,0:51:03,https://ca.bbcollab.com/recording/d85f47e6f8394e1db50cb4bb26e08529
Arquitectura del Negocio,C,2020-05-13,Lab S3 - Definir,2:01:49,https://ca.bbcollab.com/recording/a22fb8d1f7fe46dd8172e932b377c10f
Arquitectura del Negocio,C,2020-05-14,CLASE 14 DE MAYO,1:18:11,https://ca.bbcollab.com/recording/989cd3c2464244958f114f21f5f2f6c8
Arquitectura del Negocio,C,2020-05-26,CLASE 26 DE MAYO,1:50:25,https://ca.bbcollab.com/recording/4528107bab7b4533b76f098bdc60181f
Arquitectura del Negocio,C,2020-05-28,CLASE 28 DE MAYO,0:48:08,https://ca.bbcollab.com/recording/8bd9e7ffad9649539693c7c4dbccbdf2
Arquitectura del Negocio,C,2020-06-02,CLASE 2 JUNIO,1:33:50,https://ca.bbcollab.com/recording/14761d3cbf404ba1a793e86ce6d1d171
Arquitectura del Negocio,C,2020-06-03,Lab S4 - Idear,2:22:59,https://ca.bbcollab.com/recording/9eb79eb6d34b42d6aaee71be7f8281ae
Arquitectura del Negocio,C,2020-06-04,CLASE 4 JUNIO,2:01:36,https://ca.bbcollab.com/recording/742cbf7765bf4e7aab431fe08df197b4
Arquitectura del Negocio,C,2020-06-11,CLASE 11 DE JUNIO,1:20:05,https://ca.bbcollab.com/recording/f582bd6786fa4b6ea525a376f0dd78d6
Arquitectura del Negocio,C,2020-06-16,CLASE 16 DE JUNIO,1:42:33,https://ca.bbcollab.com/recording/007b37dbdbb6469f82f7a8955b4ae03b
Arquitectura del Negocio,C,2020-06-17,Lab S5 - Prototipar & Evaluar [hoy es mi cumple yee],1:22:17,https://ca.bbcollab.com/recording/2c1c0ffe837949628959c49d103162e5
Arquitectura del Negocio,C,2020-06-18,CLASE 18 DE JUNIO,1:54:58,https://ca.bbcollab.com/recording/c0b2ada4938e4e49a269ea143584c3b2
Arquitectura del Negocio,C,2020-06-23,CLASE 23 DE JUNIO,1:27:31,https://ca.bbcollab.com/recording/009b62110708433eb86ee875762a94d0
Arquitectura del Negocio,C,2020-06-25,CLASE 25 DE JUNIO,0:44:58,https://ca.bbcollab.com/recording/e68c693386554401ac543406b9fbffe9
Arquitectura del Negocio,C,2020-07-01,Lab S6 - Pitch,0:51:48,https://ca.bbcollab.com/recording/8c7f95aeafa443ae925213f2cd050c56
Arquitectura del Negocio,C,2020-07-07,CLASE 07 DE JULIO,1:11:34,https://ca.bbcollab.com/recording/a3cfc4eee3594a4490460f76483f6916
Arquitectura del Negocio,C,2020-07-09,CLASE 9 DE JULIO,1:07:20,https://ca.bbcollab.com/recording/d9d161335a554cc3a211c094ca222f8a
Arquitectura del Negocio,C,2020-07-09,CLASE 9 DE JULIO,1:07:20,https://ca.bbcollab.com/recording/d9d161335a554cc3a211c094ca222f8a
