Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Aspectos Jurídicos para los Negocios,A,2020-03-31,Introducción: ASPECTOS JURIDICOS PARA LOS NEGOCIOS,1:23:22,https://ca.bbcollab.com/recording/7af448b833ef4168912c1e314584d481
Aspectos Jurídicos para los Negocios,A,2020-03-31,INTRODUCCION:ASPECTOS JURIDICOS PARA LOS NEGOCIOS,0:42:08,https://ca.bbcollab.com/recording/3b9811cb117940f6a1c14d0107c508bc
Aspectos Jurídicos para los Negocios,A,2020-04-02,Principios Consitucionales:Economia Social de Mercado,1:49:28,https://ca.bbcollab.com/recording/b4c4b8e2a85f4fd2ace91bfb0c7ca927
Aspectos Jurídicos para los Negocios,A,2020-04-07,ASPECTOS JURÍDICOS PARA LOS NEGOCIOS,1:51:01,https://ca.bbcollab.com/recording/62238500ad82423582feecf70eb07abb
Aspectos Jurídicos para los Negocios,A,2020-04-14,Clases de Negocios: criterios,1:34:27,https://ca.bbcollab.com/recording/430af1e2db204895bb0ee3ae99f65918
Aspectos Jurídicos para los Negocios,A,2020-04-16,OBJETO DE LOS NEGOCIOS,1:47:51,https://ca.bbcollab.com/recording/46835db8f95147a89ca176f48fa49b03
Aspectos Jurídicos para los Negocios,A,2020-04-21,MODELOS EMPRESARIALES PARA LOS NEGOIOS,1:45:09,https://ca.bbcollab.com/recording/0ecb893f0ccb48cbb238792ec024d60b
Aspectos Jurídicos para los Negocios,A,2020-04-23,MODELOS EMPRESARIALES PARA LOS NEGOCIOS,1:46:45,https://ca.bbcollab.com/recording/3444b7e0514c453ea356c7443fbc244d
Aspectos Jurídicos para los Negocios,A,2020-04-28,DERECHO MERCANTIL Y SU RELACION CON OTRAS DISCIPLINAS JURÍDICAS,1:49:49,https://ca.bbcollab.com/recording/1ee32ac5dfa241248b8e83c42e5aeb18
Aspectos Jurídicos para los Negocios,A,2020-04-30,LA SOCIEDAD ANÓNIMA: MODELO DE SOCIEDAD MERCANTIL PARA LOS NEGOCIOS,1:46:30,https://ca.bbcollab.com/recording/67663f3ef3504716b20f7e9a93db90cd
