Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Auditoría,A,2020-03-30,Sesión 01: Conceptos Básicos de auditoría Financiera,3:08:28,https://ca.bbcollab.com/recording/6e520480f9cc4f898f5a49d5a05d6fdc
Auditoría,A,2020-04-04,Práctica dirigida 4/abr/2020,1:56:10,https://ca.bbcollab.com/recording/f4a6d608ebd84c3b9e705c29f23221fb
Auditoría,A,2020-04-06,"Sesión 2: Alcance, carta de contratación y honorarios",2:20:19,https://ca.bbcollab.com/recording/36a7eda610244ccf83fd61eea60eed75
Auditoría,A,2020-04-06,"Sesión 2: Alcance, carta de contratación y honorarios",0:26:45,https://ca.bbcollab.com/recording/d9b070b5c96642ba97f602c635680822
Auditoría,A,2020-04-13,"Sesión 3: Indagaciones con la gerencia, materialidad y revisiones analíticas preliminares",2:18:32,https://ca.bbcollab.com/recording/5cb7d8af7b5f4a6ca027ef979e4d188c
Auditoría,A,2020-04-18,Práctica dirigida 18/abr/2020,1:47:27,https://ca.bbcollab.com/recording/661f3d009e7e46eab22b4a169e3c01f7
Auditoría,A,2020-04-27,Clase 5: Estrategia de auditoría,0:49:09,https://ca.bbcollab.com/recording/8587eb6835064bd599bde50bac282e4a
Auditoría,A,2020-04-27,Clase 5: Estrategia de auditoría,1:08:11,https://ca.bbcollab.com/recording/a216bf9ca8da47da884c57b4b01f9346
Auditoría,A,2020-05-02,Práctica dirigida 2/may/2020,1:07:55,https://ca.bbcollab.com/recording/9182131154fa4e0eacf9976c8aaa79ec
Auditoría,A,2020-05-04,Sesión 6: Técnicas y procedimientos de auditoría,1:39:46,https://ca.bbcollab.com/recording/7ee7a113ab6a4f43a7d0c484fcc74c02
Auditoría,A,2020-05-04,Sesión 6: Técnicas y procedimientos de auditoría,0:19:59,https://ca.bbcollab.com/recording/a1c836e5d9f043d6ab122c0d8c9dc6bd
Auditoría,A,2020-05-09,Práctica dirigida 9/may/2020,1:07:58,https://ca.bbcollab.com/recording/36ab8eb76e6f459bb8762d8d0e36357c
Auditoría,A,2020-05-11,"Sesión 7: Auditoría de Efectivo, equivalente de efectivo y obligaciones financieras",0:44:01,https://ca.bbcollab.com/recording/073bf3ce960549bf9c2991e8e91c65aa
Auditoría,A,2020-05-11,"Sesión 7: Auditoría de Efectivo, equivalente de efectivo y obligaciones financieras",1:25:21,https://ca.bbcollab.com/recording/b52594cc487f465baefa196b257f7bb4
Auditoría,A,2020-05-16,Práctica dirigida 16/may/2020,0:53:52,https://ca.bbcollab.com/recording/8a1cfb14cff347e9a63dd0cb3185771c
Auditoría,A,2020-05-16,Práctica dirigida 16/may/2020,0:55:09,https://ca.bbcollab.com/recording/9a5b498fd84f4d5fa6d22501e58249c5
Auditoría,A,2020-05-19,Examen Parcial 2020 - I,2:10:08,https://ca.bbcollab.com/recording/2cf33683535749be80b6c88bc2eca714
Auditoría,A,2020-05-25,Sesión 9: Existencias,0:33:25,https://ca.bbcollab.com/recording/67c7f364bc554de0bf8053cb7e50ac0e
Auditoría,A,2020-05-25,Sesión 9: Existencias,0:24:43,https://ca.bbcollab.com/recording/c17fff765dc647689cbb290eefe6d567
Auditoría,A,2020-05-25,Sesión 9: Existencias,0:50:53,https://ca.bbcollab.com/recording/c9d32c6e30e34fb480c81076d2f3878f
Auditoría,A,2020-05-30,Práctica 30 de mayo,1:32:22,https://ca.bbcollab.com/recording/6f2c16dbd65e4f9791a0553bf615bd71
Auditoría,A,2020-06-01,Sesión 10: Activo fijo,2:04:09,https://ca.bbcollab.com/recording/29887c3deb31493981c52023f440c175
Auditoría,A,2020-06-06,Práctica dirigida 6/jun/2020,1:42:31,https://ca.bbcollab.com/recording/730f220a97264ace88f626f6143c2c7f
Auditoría,A,2020-06-08,Sesión 11 - Ingresos y Cuentas por cobrar,3:02:52,https://ca.bbcollab.com/recording/e52edab8f026434593d4288ed116140e
Auditoría,A,2020-06-15,Sesión 12:  Pasivos y Gastos,1:18:43,https://ca.bbcollab.com/recording/cecfecfb7ab4487cae7a22b6612d5bc9
Auditoría,A,2020-06-15,Sesión 12:  Pasivos y Gastos,1:29:51,https://ca.bbcollab.com/recording/400f250980f14c9e8eddfa3d937eb02d
Auditoría,A,2020-06-20,Práctica dirigida 20/jun/2020,1:01:25,https://ca.bbcollab.com/recording/00050a2457ae4a7fbce81bd67787c091
Auditoría,A,2020-06-20,Práctica dirigida 20/jun/2020,1:45:03,https://ca.bbcollab.com/recording/bc9f8c973d714a7aa36bceb5e59e72cd
Auditoría,A,2020-06-22,Sesión 14: hechos posteriores y Cédula de ajustes,1:01:02,https://ca.bbcollab.com/recording/61d2149db1c14fc89eedb2be7ef9a45e
Auditoría,A,2020-06-22,Sesión 14: hechos posteriores y Cédula de ajustes,0:47:02,https://ca.bbcollab.com/recording/3477bcd6614045a783088930b47c4238
Auditoría,A,2020-06-27,Práctica dirigida sábado 27/jun/2020,1:49:36,https://ca.bbcollab.com/recording/04df590dcb504a43a6abe9246ebdfa34
Auditoría,A,2020-07-04,4 de julio de 2020,1:51:45,https://ca.bbcollab.com/recording/049a13f0c4274285b15b38b480c5ebd1
Auditoría,A,2020-07-06,Exposición final,3:14:08,https://ca.bbcollab.com/recording/c95711b3732245d78505d811d61740d5
Auditoría,A,2020-07-11,Clase 11/julio/2020,0:49:25,https://ca.bbcollab.com/recording/c01c34f9742848c7b6ab949a5087cc7f
Auditoría,A,2020-07-11,Clase 11/julio/2020,0:49:25,https://ca.bbcollab.com/recording/c01c34f9742848c7b6ab949a5087cc7f
