Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Business Intelligence,A,2020-03-30,Semana 1_1,1:38:33,https://ca.bbcollab.com/recording/dd01e04106be4e0e8f00cd744b855c90
Business Intelligence,A,2020-04-01,Semana 1_2,1:50:51,https://ca.bbcollab.com/recording/d1c52b6f4df64459a3b67a256205ea19
Business Intelligence,A,2020-04-06,Semana 2_1,1:52:55,https://ca.bbcollab.com/recording/414c83a0c34840b184944d8cf1111b25
Business Intelligence,A,2020-04-08,Semana 2_2,2:00:24,https://ca.bbcollab.com/recording/7e12d4e2f8bf45779c4d7e8a36e89f05
Business Intelligence,A,2020-04-13,Semana 3_1,1:36:45,https://ca.bbcollab.com/recording/f2d4ab01af244816a07c3f731c34827a
Business Intelligence,A,2020-04-15,Semana 3_2,1:45:37,https://ca.bbcollab.com/recording/1c636ad96c184f85ad26a1d39b0c5461
Business Intelligence,A,2020-04-20,Semana 4_1,1:56:46,https://ca.bbcollab.com/recording/969c34e682b14bd5986a5ab9d9c60345
Business Intelligence,A,2020-04-22,Semana 4_2,1:51:18,https://ca.bbcollab.com/recording/4ba1d31656064066b045c55dd6b1b011
Business Intelligence,A,2020-04-27,Semana 5_1,1:53:04,https://ca.bbcollab.com/recording/96aa5d20b8ae467780f860c894af7c2c
Business Intelligence,A,2020-04-29,Semana 5_2,1:47:50,https://ca.bbcollab.com/recording/86013044c96441d2b4e7d8a18d961630
Business Intelligence,A,2020-05-04,Semana 6_1,0:49:28,https://ca.bbcollab.com/recording/8d2cfd4d171f4fd19967550a2e645760
Business Intelligence,A,2020-05-11,Semana7_1,1:55:24,https://ca.bbcollab.com/recording/51175a65c883422bb8f99dc8c3196e2d
Business Intelligence,A,2020-05-13,Semana7_2,1:40:45,https://ca.bbcollab.com/recording/fd6c69ed629846969a3cb8f669f0ea28
Business Intelligence,A,2020-05-18,Examen Parcial,2:18:23,https://ca.bbcollab.com/recording/279f16bbcdd34da7b6dbd8c49032bdb2
Business Intelligence,A,2020-05-25,Semana 9_1,1:58:01,https://ca.bbcollab.com/recording/6076b6dc0d4d4d6ea40ad18104180b7f
Business Intelligence,A,2020-05-27,Semana 9_2,1:51:05,https://ca.bbcollab.com/recording/3f4c2ff4f1f740c9ad41abbb4f7e1223
Business Intelligence,A,2020-06-01,Semana 10_1,1:36:34,https://ca.bbcollab.com/recording/93c236c006594668a8276b5c5ebced36
Business Intelligence,A,2020-06-03,Semana 10_2,1:51:10,https://ca.bbcollab.com/recording/66834282d9ed4a06a173090c213b5518
Business Intelligence,A,2020-06-08,Semana  11_1,1:45:31,https://ca.bbcollab.com/recording/121e93084a194c8aa4ba8b356fd02528
Business Intelligence,A,2020-06-10,Semana 11_2,1:58:18,https://ca.bbcollab.com/recording/69150939e1754c69ad4d5917c8c09052
Business Intelligence,A,2020-06-15,Semana 12_1,1:44:28,https://ca.bbcollab.com/recording/8351b3d29a7d4b158799ca54efdd2225
Business Intelligence,A,2020-06-17,Semana 12_2,1:53:01,https://ca.bbcollab.com/recording/5f1a9c8439624062809c09b13c494c93
Business Intelligence,A,2020-06-22,Semana 13_1,2:08:43,https://ca.bbcollab.com/recording/61fccc4faa7d4afe953cc755e3a2fe96
Business Intelligence,A,2020-06-24,Semana 13_2,1:45:28,https://ca.bbcollab.com/recording/51e06e3185fc46a2840051298f6b3baf
Business Intelligence,A,2020-07-01,Semana 14_1,1:37:40,https://ca.bbcollab.com/recording/98c305d1d57f4517a21905a8265a5f27
Business Intelligence,A,2020-07-06,Semana 15_1,0:31:27,https://ca.bbcollab.com/recording/b5cac843700344fd856f395539010303
Business Intelligence,A,2020-07-06,Semana 15_1,0:50:57,https://ca.bbcollab.com/recording/b9f1901959184f41b8b2e44e1690010e
Business Intelligence,A,2020-07-08,Semana 15_2,2:06:12,https://ca.bbcollab.com/recording/e80d38ea626341c5b1c6f1972f0a59e3
Business Intelligence,A,2020-07-08,Semana 15_2,2:06:12,https://ca.bbcollab.com/recording/e80d38ea626341c5b1c6f1972f0a59e3
Business Intelligence,A,2020-07-13,Exposicion Final (Examen Final),2:23:11,https://ca.bbcollab.com/recording/85f4a980f68645c9a63f5c4b7613cdcb
