Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Business and Management Global Context,A,2020-03-31,BMGC - Tuesday Session,1:35:00,https://ca.bbcollab.com/recording/37cfd4e4418c4ae9ba25c465e14fb261
Business and Management Global Context,A,2020-04-03,BMGC - Friday Session,1:41:37,https://ca.bbcollab.com/recording/953aeb3ace3f45b4a38a3bd05c63368a
Business and Management Global Context,A,2020-04-07,BMGC - Tuesday Session,1:42:49,https://ca.bbcollab.com/recording/cd737dd850424da8acd180378d976d2d
Business and Management Global Context,A,2020-04-14,BMGC - Tuesday Session,1:44:57,https://ca.bbcollab.com/recording/822336493ad6410facf48ab44e5a82d0
Business and Management Global Context,A,2020-04-17,BMGC - Friday Session,1:20:03,https://ca.bbcollab.com/recording/86db5caec54d4fdb9a9fe6446a8bc712
Business and Management Global Context,A,2020-04-21,BMGC - Tuesday Session,1:43:43,https://ca.bbcollab.com/recording/71509cfd43824731adeb697a9f23b1bc
Business and Management Global Context,A,2020-04-24,BMGC - Friday Session,1:00:04,https://ca.bbcollab.com/recording/d829612020504778b1d5da0fc3b076b8
Business and Management Global Context,A,2020-04-28,BMGC - Tuesday Session,1:35:34,https://ca.bbcollab.com/recording/1a2fdeb68e2e48a78dd435fbfb542d8a
Business and Management Global Context,A,2020-05-05,BMGC - Tuesday Session,1:37:36,https://ca.bbcollab.com/recording/12f44b52a9f94cfc9bebf5e182ef5c94
Business and Management Global Context,A,2020-05-08,BMGC - Friday Session,1:42:24,https://ca.bbcollab.com/recording/6d1524a769a44e2c81178cc4e31b92d4
Business and Management Global Context,A,2020-05-12,BMGC - Tuesday Session,1:48:11,https://ca.bbcollab.com/recording/66a077d3b6654585b0ceab4aa2df21f6
Business and Management Global Context,A,2020-05-15,BMGC - Friday Session,0:09:34,https://ca.bbcollab.com/recording/c62cbe88c74d42d99d4c69813c2c7244
Business and Management Global Context,A,2020-05-15,BMGC - Friday Session,0:10:00,https://ca.bbcollab.com/recording/d77d42ab6a4e4fac8dfb8b9708f720f3
Business and Management Global Context,A,2020-05-26,BMGC - Tuesday Session,1:12:31,https://ca.bbcollab.com/recording/068085548296498c8d14042470e26db3
Business and Management Global Context,A,2020-05-29,BMGC - Friday Session,1:31:45,https://ca.bbcollab.com/recording/d91bc8f0eabf48c19add0a7810c39615
Business and Management Global Context,A,2020-06-02,BMGC - Tuesday Session,1:32:29,https://ca.bbcollab.com/recording/1757d6c1185443c2936877fd962d5f43
Business and Management Global Context,A,2020-06-05,BMGC - Friday Session,1:28:08,https://ca.bbcollab.com/recording/1607f0b5ea7842dfadb6a2489369e89d
Business and Management Global Context,A,2020-06-09,BMGC - Tuesday Session,1:41:41,https://ca.bbcollab.com/recording/f6ff231ca99b4dd29a24a7ca1d52a06f
Business and Management Global Context,A,2020-06-12,BMGC - Friday Session,1:33:18,https://ca.bbcollab.com/recording/1e5d70df0a5940d484bbf89b328847d5
Business and Management Global Context,A,2020-06-16,BMGC - Tuesday Session,1:13:22,https://ca.bbcollab.com/recording/85af51073aa946e18ae3b578ca2f30fb
Business and Management Global Context,A,2020-06-19,BMGC - Friday Session,1:42:21,https://ca.bbcollab.com/recording/ce642f2b28f543519d48c3ba701367dc
Business and Management Global Context,A,2020-06-23,BMGC - Tuesday Session,1:31:55,https://ca.bbcollab.com/recording/c07b804c081546a7ab1b506d94be46b2
Business and Management Global Context,A,2020-06-26,BMGC - Friday Session,1:45:06,https://ca.bbcollab.com/recording/11049a5281df4eefa004ef5b0fe588e5
Business and Management Global Context,A,2020-06-30,BMGC - Tuesday Session,1:42:44,https://ca.bbcollab.com/recording/5e44c69fa9b44a04bf730b39cadbf8a1
Business and Management Global Context,A,2020-07-03,BMGC - Friday Session,0:48:45,https://ca.bbcollab.com/recording/4ea4510d347e4455bd844a31e46323de
Business and Management Global Context,A,2020-07-07,BMGC - Tuesday Session,1:09:51,https://ca.bbcollab.com/recording/b06db41259ec4d648cfc913d2ba8c199
Business and Management Global Context,A,2020-07-10,BMGC - Friday Session,1:44:14,https://ca.bbcollab.com/recording/d6e6d1b0c7f34c61917e6b7f82b6c415
