Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Canales de Distribución y Retail,A,2020-03-30,Clase 1,1:56:26,https://ca.bbcollab.com/recording/bb4ebef30d1d4fa38c3ee7689250b694
Canales de Distribución y Retail,A,2020-04-02,Sesión 2,1:36:14,https://ca.bbcollab.com/recording/f35a1b667bef4c48a8302718c434a91e
Canales de Distribución y Retail,A,2020-04-06,Sesión 3,1:22:15,https://ca.bbcollab.com/recording/74e933ecfe154c7083f162b7c255bd48
Canales de Distribución y Retail,A,2020-04-13,Sesión 4 Canales de Distribución y Retail,1:34:36,https://ca.bbcollab.com/recording/98629a9842f94e8482ea9ec2d46096c9
Canales de Distribución y Retail,A,2020-04-16,Sesión 5 Canales de Distribución y Retail,1:28:16,https://ca.bbcollab.com/recording/661ed552a822492f8d797df0d8883f1f
Canales de Distribución y Retail,A,2020-04-20,Sesión 6,1:06:02,https://ca.bbcollab.com/recording/eab6ba871a9b4fc282ff7407d2b6eacf
Canales de Distribución y Retail,A,2020-04-23,Sesión 7,1:05:44,https://ca.bbcollab.com/recording/6cdf7d84d9974e5b8b52ea732c341aaa
Canales de Distribución y Retail,A,2020-04-27,Sesión 8,1:30:21,https://ca.bbcollab.com/recording/2fcf51a99d294872b677c539201d23a2
Canales de Distribución y Retail,A,2020-04-30,Sesión 9,1:29:59,https://ca.bbcollab.com/recording/6d2f1e64c95f4ff4883147a6f1847924
Canales de Distribución y Retail,A,2020-05-04,Sesión 10,1:29:15,https://ca.bbcollab.com/recording/da9b52978e4d4f789632ed5bacf5afa6
Canales de Distribución y Retail,A,2020-05-07,Sesión 11,1:54:17,https://ca.bbcollab.com/recording/a7e700fc0dd548ceaf53a42deadfb0df
Canales de Distribución y Retail,A,2020-05-11,Sesión 12,1:30:20,https://ca.bbcollab.com/recording/b4c377744e1d44efa3e14f8b0e5ef23e
Canales de Distribución y Retail,A,2020-05-14,Sesión 13,1:32:11,https://ca.bbcollab.com/recording/dc13d57349ea42efbaa6b112cd2cc8d5
Canales de Distribución y Retail,A,2020-05-28,Sesión 15,1:36:30,https://ca.bbcollab.com/recording/649744ea29384fd494643e3f1e1c58ba
Canales de Distribución y Retail,A,2020-06-01,Sesión 16,1:37:03,https://ca.bbcollab.com/recording/134a7d59ef454bc5b7d0d6ce2415966d
Canales de Distribución y Retail,A,2020-06-04,Sesión 17,1:36:19,https://ca.bbcollab.com/recording/4f8f9c0278884c7f8cf4d71009a2ab91
Canales de Distribución y Retail,A,2020-06-11,Sesión 19,1:32:01,https://ca.bbcollab.com/recording/41494ce240c44b22b659e6c722e29f1e
Canales de Distribución y Retail,A,2020-06-15,Sesión 20,1:50:32,https://ca.bbcollab.com/recording/bd80b9d1886e4fae94ec0a8a32499b54
Canales de Distribución y Retail,A,2020-06-18,Sesión 21,1:19:39,https://ca.bbcollab.com/recording/9f9820546fa14343bb8388af2a8d2d7c
Canales de Distribución y Retail,A,2020-06-22,Sesión 22,1:26:04,https://ca.bbcollab.com/recording/4bc8ed8e2a664bfbb012569c4e18078f
Canales de Distribución y Retail,A,2020-06-25,Sesión 23,1:27:04,https://ca.bbcollab.com/recording/e9cbbc4e9adf4107984a7cfc92aa913c
Canales de Distribución y Retail,A,2020-07-02,Sesión 24,1:32:33,https://ca.bbcollab.com/recording/8a8be11d6e844ab8828bf412abecd3e3
Canales de Distribución y Retail,A,2020-07-02,Sesión 24,1:32:33,https://ca.bbcollab.com/recording/8a8be11d6e844ab8828bf412abecd3e3
Canales de Distribución y Retail,A,2020-07-06,Sesión 25,1:12:21,https://ca.bbcollab.com/recording/fbe801a4fccd4ccdb9de2366eab830a2
