Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ciencia Política,E,2020-03-30,Sesión 1: Bienvenida,1:11:35,https://ca.bbcollab.com/recording/d963e05213e84aecb3ebcaa25c0e4a61
Ciencia Política,E,2020-04-01,Sesión 2: La política y nosotros,0:55:30,https://ca.bbcollab.com/recording/7c63e0ae8b8d4c4da672aa1bc415a60f
Ciencia Política,E,2020-04-06,Sesión 3: Taller de recursos de biblioteca/Revisión de entregas,1:50:04,https://ca.bbcollab.com/recording/ef3bb1885f324fcdbbd9e377dfabdc5a
Ciencia Política,E,2020-04-08,Sesión 4: Politización y cambio político,0:59:22,https://ca.bbcollab.com/recording/9a5d134ca294498e88960e876355d3b4
Ciencia Política,E,2020-04-08,Sesión 4: Politización y cambio político,0:23:09,https://ca.bbcollab.com/recording/f9d9867e818e4a6a83fa6cc511c8a2f2
Ciencia Política,E,2020-04-13,Sesión 5,1:27:54,https://ca.bbcollab.com/recording/3fb3fc716341486aad1aab72021272fc
Ciencia Política,E,2020-04-15,Sesión 6,1:18:02,https://ca.bbcollab.com/recording/71bd89783a784eeeb190df6dbaa1d786
Ciencia Política,E,2020-04-20,Sesión 7,1:34:36,https://ca.bbcollab.com/recording/9dfb097f9ede48daaa92b1dca1cc909c
Ciencia Política,E,2020-04-22,Sesión 8,1:24:24,https://ca.bbcollab.com/recording/b3b29d224ca9492a8967ce4d81d6dd7b
Ciencia Política,E,2020-04-27,Sesión 9,1:25:38,https://ca.bbcollab.com/recording/741e7aea62f046e9be5e1b514d51d8ff
Ciencia Política,E,2020-04-29,Sesión 10,1:34:14,https://ca.bbcollab.com/recording/e96101bc856245c184bc80a174b902ad
Ciencia Política,E,2020-05-04,Sesión 11,1:37:50,https://ca.bbcollab.com/recording/f2a672229ae8482da92412e1419c06cf
Ciencia Política,E,2020-05-06,Sesión 12,1:42:21,https://ca.bbcollab.com/recording/bb9742842e504f0b92215459e27b81ba
Ciencia Política,E,2020-05-11,Sesión 13,1:41:00,https://ca.bbcollab.com/recording/b8669c1cf00345729fe24df902517186
Ciencia Política,E,2020-05-13,Sesión 14,1:38:03,https://ca.bbcollab.com/recording/eabad0bb8a8c47ffa835f844b8d9014f
Ciencia Política,E,2020-05-25,Sesión 15,1:47:43,https://ca.bbcollab.com/recording/4a970496924342ec88840ad8be33a5a4
Ciencia Política,E,2020-05-27,Sesión 16,1:38:03,https://ca.bbcollab.com/recording/ae5e1869797044e8a1a3e69e6bc26d45
Ciencia Política,E,2020-06-01,Sesión 17,1:37:38,https://ca.bbcollab.com/recording/5d9862411e214dbab807a67d753272b4
Ciencia Política,E,2020-06-03,Sesión 18,1:41:50,https://ca.bbcollab.com/recording/2b50d1a589c542928379be0f16701597
Ciencia Política,E,2020-06-08,Sesión 19,1:45:32,https://ca.bbcollab.com/recording/3019d3fdefc644cf9cd0836ced2dc293
Ciencia Política,E,2020-06-10,Sesión 20,0:06:48,https://ca.bbcollab.com/recording/5931a129f04d414597cd567482dec458
Ciencia Política,E,2020-06-10,Sesión 20,0:55:56,https://ca.bbcollab.com/recording/b21bb88227da40079d197e078434eaa8
Ciencia Política,E,2020-06-15,Sesión 21,1:37:22,https://ca.bbcollab.com/recording/083d7fdb9ff64291a30b6965160624c9
Ciencia Política,E,2020-06-17,Sesión 22,0:46:23,https://ca.bbcollab.com/recording/bc804ffcb97542b8b754b773e044b791
Ciencia Política,E,2020-06-17,Sesión 22,0:27:08,https://ca.bbcollab.com/recording/d71ef20f6b944160b80408ac0d293ab6
Ciencia Política,E,2020-06-22,Sesión 23,1:33:52,https://ca.bbcollab.com/recording/643256b429f848f5a9476bc1667f87ca
Ciencia Política,E,2020-06-24,Sesión 24,0:13:30,https://ca.bbcollab.com/recording/497d013a2dff4755992934ab47836f72
Ciencia Política,E,2020-06-24,Sesión 24,0:11:58,https://ca.bbcollab.com/recording/b744521f3d7246e4ba7f4a382f866f3f
Ciencia Política,E,2020-07-01,Sesión 25,0:00:39,https://ca.bbcollab.com/recording/3547ed3410144632a0c904718ca86b08
Ciencia Política,E,2020-07-01,Sesión 25,1:32:17,https://ca.bbcollab.com/recording/a46921e385ec43a6a6475f62e66283b2
Ciencia Política,E,2020-07-06,Sesión 26,0:33:40,https://ca.bbcollab.com/recording/b497d602367b4e28a9c29bc037c85511
Ciencia Política,E,2020-07-06,Sesión 26,0:25:42,https://ca.bbcollab.com/recording/ca98223110b449138e6286b9ced2e659
