Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ciencia Política,H,2020-03-31,Sesión 1 - ¿Qué es la política?,1:53:39,https://ca.bbcollab.com/recording/976a7e8a82a44f959a0de414c552f2b6
Ciencia Política,H,2020-04-14,Poder en el Perú,1:47:17,https://ca.bbcollab.com/recording/c57b393f04d44017b5c5a37abf29fa0d
Ciencia Política,H,2020-04-16,El Poder:documental,1:49:15,https://ca.bbcollab.com/recording/9f0fdf149d314365b34d2e8ddd41adb6
Ciencia Política,H,2020-04-21,El Estado,1:35:43,https://ca.bbcollab.com/recording/628fdf4f9d284d9e9144af60e43360e1
Ciencia Política,H,2020-04-23,Sesión Jueves 23 de abril,1:41:40,https://ca.bbcollab.com/recording/5003852aac1841daa9d32125091ce433
Ciencia Política,H,2020-04-30,Sesión 30 de mayo,1:44:51,https://ca.bbcollab.com/recording/60b2cd1fcb104d36b83d08ddeebe314c
Ciencia Política,H,2020-05-07,Sesión 7 de mayo,1:34:05,https://ca.bbcollab.com/recording/27505d3ea20f4e468e29fbdbdb14eaeb
Ciencia Política,H,2020-05-12,12 de mayo,1:36:23,https://ca.bbcollab.com/recording/dfef8644434d4b46af35ce0908b3fa40
Ciencia Política,H,2020-05-14,Sesión 14 de Mayo,1:54:50,https://ca.bbcollab.com/recording/abc52a6ed4414bc19deea7e507646d52
Ciencia Política,H,2020-05-26,Sesión 26 de mayo,1:52:32,https://ca.bbcollab.com/recording/5b653f7c47ed468d95642218e82992c9
Ciencia Política,H,2020-05-28,Sesión 28 de mayo,1:42:17,https://ca.bbcollab.com/recording/bb2bb3c85048479585d066b4addef6c0
Ciencia Política,H,2020-06-02,Sesión 2 de junio,1:22:44,https://ca.bbcollab.com/recording/166c76dd7589467b8bfc9d6ada835e4a
Ciencia Política,H,2020-06-04,Sesión Dr. Farid Kahhat,1:53:53,https://ca.bbcollab.com/recording/973f799d76f14741913156f5bf1310dd
Ciencia Política,H,2020-06-09,Sesión 9 de junio: Autoritarismo,2:04:13,https://ca.bbcollab.com/recording/3939fbbbe8564e638d8eae23d10b9ece
Ciencia Política,H,2020-06-11,Sesión 11 de junio,1:35:07,https://ca.bbcollab.com/recording/476695ec49b04383bd11e641fe8a5885
Ciencia Política,H,2020-06-16,Sesión : 16 de junio,1:25:22,https://ca.bbcollab.com/recording/bc1288443579452e81d5cf5331eb9df6
Ciencia Política,H,2020-06-18,Sesión 18 de junio: la Poliarquía,1:31:08,https://ca.bbcollab.com/recording/b1c41a58d9de4647b3a48ada24b56645
Ciencia Política,H,2020-06-23,Regímenes y corrupción,1:31:21,https://ca.bbcollab.com/recording/4c4e1e739caa4281862960cf1965c4c4
Ciencia Política,H,2020-06-25,Sesión 25 de junio,1:20:56,https://ca.bbcollab.com/recording/88d27d4386ce4a7fbed24458bb4731f0
Ciencia Política,H,2020-06-30,Sesión 30 de junio,1:30:03,https://ca.bbcollab.com/recording/fc0fc4b553dc481a93d0559a14b5dd4a
Ciencia Política,H,2020-07-02,Sesión 2 de julio,1:13:18,https://ca.bbcollab.com/recording/370f3651b4aa427d86c764499e98c635
Ciencia Política,H,2020-07-07,Sesión 7 de Julio,1:25:07,https://ca.bbcollab.com/recording/529b3b6b9e3e46819a33c100c1e6ff84
Ciencia Política,H,2020-07-09,Sesión Final - 9 de julio,0:48:44,https://ca.bbcollab.com/recording/b091d0d783fd42d6a5e7f4d110164604
Ciencia Política,H,2020-07-09,Sesión Final - 9 de julio,0:48:44,https://ca.bbcollab.com/recording/b091d0d783fd42d6a5e7f4d110164604
