Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Cine y Sociedad,A,2020-03-31,Empezamos las clases,1:49:35,https://ca.bbcollab.com/recording/8665105176e14b8b8d9b6b99eb545493
Cine y Sociedad,A,2020-03-31,Sala para Pruebas - NO INGRESAR,0:00:07,https://ca.bbcollab.com/recording/576555207d364e79ab90d8c489519537
Cine y Sociedad,A,2020-04-21,4 meses 3 semanas 2 días,1:33:04,https://ca.bbcollab.com/recording/0f95d89e7f8d483ebe13830acb6c3472
Cine y Sociedad,A,2020-04-28,Las tortugas también vuelan,1:52:55,https://ca.bbcollab.com/recording/e5b9dfae7d0642a895e75c77e14e059c
Cine y Sociedad,A,2020-05-05,No,1:32:08,https://ca.bbcollab.com/recording/564bf1e5479d4d11a4b2109f01c1646c
Cine y Sociedad,A,2020-05-14,Exit Through the Gift Shop,1:27:01,https://ca.bbcollab.com/recording/11c0ee39a1ff4413b59daed9a85ed067
Cine y Sociedad,A,2020-05-14,Exit Through the Gift Shop,0:01:49,https://ca.bbcollab.com/recording/2e3a776313c74c5882e17f07f44ac087
Cine y Sociedad,A,2020-05-26,Chungui,1:37:55,https://ca.bbcollab.com/recording/8364707fccf14ac3ae8f27a8a2cca4e9
Cine y Sociedad,A,2020-06-02,Vals con Bashir,1:39:56,https://ca.bbcollab.com/recording/c275ce9344f942b88e19ace386b462a2
Cine y Sociedad,A,2020-06-18,American factory,0:54:21,https://ca.bbcollab.com/recording/d9ca1a2bef6b462a9ad852632ec8da98
Cine y Sociedad,A,2020-06-25,Road to Guantanamo,1:26:02,https://ca.bbcollab.com/recording/42d8e78f034a4be6bfd2b227829c3d01
Cine y Sociedad,A,2020-07-02,The Act of Killing,1:05:06,https://ca.bbcollab.com/recording/f199fcfe130f463abce33356ea765544
Cine y Sociedad,A,2020-07-09,XXY,1:31:12,https://ca.bbcollab.com/recording/13061861cf4d4bdb826af6e86f69bea2
Cine y Sociedad,A,2020-07-09,XXY,1:31:12,https://ca.bbcollab.com/recording/13061861cf4d4bdb826af6e86f69bea2
Cine y Sociedad,A,2020-07-09,XXY,0:00:31,https://ca.bbcollab.com/recording/4a638fade5c94a0d819f6f531e0a7e9b
