Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Clínica de Gestión Ambiental,A,2020-03-30,Clínica de Gestión Ambiental,2:50:33,https://ca.bbcollab.com/recording/6b2a673b843542d9b9cb7e1ff46bba87
Clínica de Gestión Ambiental,A,2020-04-06,Clínica de Gestión Ambiental,2:16:59,https://ca.bbcollab.com/recording/7c85c42a0afa49edbc3ac456279af157
Clínica de Gestión Ambiental,A,2020-04-13,Clínica de Gestión Ambiental,2:44:39,https://ca.bbcollab.com/recording/99d1fc898d7643209b848f98845924f1
Clínica de Gestión Ambiental,A,2020-04-20,Clínica de Gestión Ambiental,2:39:30,https://ca.bbcollab.com/recording/747b01861e694013b90fb31cb0841aa7
Clínica de Gestión Ambiental,A,2020-04-27,Clínica de Gestión Ambiental,1:01:10,https://ca.bbcollab.com/recording/997f63520c844c3ab80d5b293618a8d9
Clínica de Gestión Ambiental,A,2020-05-04,Clínica de Gestión Ambiental,0:44:12,https://ca.bbcollab.com/recording/654e1b6d609a4a6ba5d53dc4f8ebddaa
Clínica de Gestión Ambiental,A,2020-05-11,Clínica de Gestión Ambiental,2:32:59,https://ca.bbcollab.com/recording/23870e000187412b939a2b0635d5f29b
Clínica de Gestión Ambiental,A,2020-05-25,Clínica de Gestión Ambiental,2:46:29,https://ca.bbcollab.com/recording/5234c8979a58408e9513b9a27e9ffafe
Clínica de Gestión Ambiental,A,2020-06-01,Clínica de Gestión Ambiental,1:43:29,https://ca.bbcollab.com/recording/d811d7517dad4e82b79fc6a238524aa0
Clínica de Gestión Ambiental,A,2020-06-08,Clínica de Gestión Ambiental,2:36:58,https://ca.bbcollab.com/recording/d25c888645aa48edae563ec4eb0c7b82
Clínica de Gestión Ambiental,A,2020-06-15,Clínica de Gestión Ambiental,1:29:53,https://ca.bbcollab.com/recording/c1cca3f7de0e4b48b08d32cf3e540343
Clínica de Gestión Ambiental,A,2020-07-06,Clínica de Gestión Ambiental,2:03:57,https://ca.bbcollab.com/recording/1409cb91a5304dfcb3b96a87d9879754
