Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Comportamiento Humano en las Organizacio,A,2020-03-31,SEMANA 1 c.1 CHO 2020,0:34:08,https://ca.bbcollab.com/recording/4b5bc82ec0a3495aa8e77a703138ce2c
Comportamiento Humano en las Organizacio,A,2020-03-31,SEMANA 1 c.1 CHO 2020,0:45:11,https://ca.bbcollab.com/recording/ed85b2642761440b806c9993973e331e
Comportamiento Humano en las Organizacio,A,2020-04-02,SEMANA 1 c.1 CHO 2020,0:49:05,https://ca.bbcollab.com/recording/d4004483fb2a430da6809718afe3a45f
Comportamiento Humano en las Organizacio,A,2020-04-07,SEMANA  2 y 3 CULTURA/ PERSONALIDAD,1:02:24,https://ca.bbcollab.com/recording/f0e17d634aa9490f97b7ad7a8e4fd799
Comportamiento Humano en las Organizacio,A,2020-04-14,SEMANA  2 y 3 CULTURA/ PERSONALIDAD,1:36:13,https://ca.bbcollab.com/recording/ca5a2c51c742434c944c00e582c8299f
Comportamiento Humano en las Organizacio,A,2020-04-16,LA PERSONALIDAD Y LOS VALORES,0:04:10,https://ca.bbcollab.com/recording/2237cfa313dc4db9a4ba21ee8013084f
Comportamiento Humano en las Organizacio,A,2020-04-16,LA PERSONALIDAD Y LOS VALORES,1:00:40,https://ca.bbcollab.com/recording/7aef1436792a421683a04d2799cf49d7
Comportamiento Humano en las Organizacio,A,2020-04-21,CONTROL DE LECTURA 1 Trabajo Inv.,0:51:10,https://ca.bbcollab.com/recording/298173b60c514d68affd41577e18a606
Comportamiento Humano en las Organizacio,A,2020-04-23,MOTIVACIÓN,1:44:06,https://ca.bbcollab.com/recording/0b4eb614047e4af6a484188f3c196c67
Comportamiento Humano en las Organizacio,A,2020-04-28,MOTIVACIÓN,0:54:24,https://ca.bbcollab.com/recording/591e1ef51e3342b2baceaa619e039e50
Comportamiento Humano en las Organizacio,A,2020-04-30,EXPOS AVANCE TRABAJO FINAL,1:37:12,https://ca.bbcollab.com/recording/e32e0336bb99442dbbe87af1415cb442
Comportamiento Humano en las Organizacio,A,2020-05-05,INF. ORAL Grupos A y B / GR. 1 - SALUD MENTAL,1:15:27,https://ca.bbcollab.com/recording/337b7f3b360f43dfa594f9b3c9f8cf69
Comportamiento Humano en las Organizacio,A,2020-05-07,INF. ORAL Grupos A y B / GR. 1 - SALUD MENTAL,1:45:20,https://ca.bbcollab.com/recording/109dba2711ca439c844d9301993160a0
Comportamiento Humano en las Organizacio,A,2020-05-12,GR. 2 EQUIPOS DE TRABAJO / 2° Avance Calif.,1:39:57,https://ca.bbcollab.com/recording/76ddcdd09bcb4f13bd508d273354d4ba
Comportamiento Humano en las Organizacio,A,2020-05-14,GR. 2 EQUIPOS DE TRABAJO / 2° Avance Calif.,1:37:59,https://ca.bbcollab.com/recording/e4ab689941ed4be9a66ba2b99efd7d64
Comportamiento Humano en las Organizacio,A,2020-05-26,REVISIÓN,0:23:50,https://ca.bbcollab.com/recording/2742f2d420f8417b88f35003338b8c5d
Comportamiento Humano en las Organizacio,A,2020-05-28,CONFLICTOS Y NEGOCIACIONES,1:41:26,https://ca.bbcollab.com/recording/424e26e66def44c99ab6336a8875a92e
Comportamiento Humano en las Organizacio,A,2020-06-02,G C: CONSTRUIR UNA ORGANIZACIÓN ÉTICAMENTE SÓLIDA /  G D: ¿MAYOR Y MÁS SABIO?,1:39:42,https://ca.bbcollab.com/recording/88856afd8db64bf2bf946b8a07082be5
Comportamiento Humano en las Organizacio,A,2020-06-04,G E: ADMINISTRACIÓN ÉTICA EN EL PERÚ,1:42:47,https://ca.bbcollab.com/recording/f033292cbde14e6eac74ff6d243dcfca
Comportamiento Humano en las Organizacio,A,2020-06-09,LA COMUNICACIÓN,1:40:03,https://ca.bbcollab.com/recording/90af56e3076f49a0a8cf250125291f31
Comportamiento Humano en las Organizacio,A,2020-06-11,LA COMUNICACIÓN,1:53:19,https://ca.bbcollab.com/recording/12a2372818024161b8f8932911319469
Comportamiento Humano en las Organizacio,A,2020-06-16,LA COMUNICACIÓN,1:44:08,https://ca.bbcollab.com/recording/83ff74b9b24e49989271aeb5d337ab85
Comportamiento Humano en las Organizacio,A,2020-06-18,INFORMES ORALES / TRAB GRP,1:21:12,https://ca.bbcollab.com/recording/06266f0c940b4f7a8ba61e10c0df1a27
Comportamiento Humano en las Organizacio,A,2020-06-23,INFORMES ORALES / TRAB GRP,1:21:15,https://ca.bbcollab.com/recording/2f10ad7ed08e4725ba9b325640b35308
Comportamiento Humano en las Organizacio,A,2020-06-25,INFORMES ORALES / TRAB GRP,1:20:46,https://ca.bbcollab.com/recording/625ec04485f74c82a94d1291ee30f472
Comportamiento Humano en las Organizacio,A,2020-06-30,INFORMES ORALES / TRAB GRP,1:44:02,https://ca.bbcollab.com/recording/1490b2e151ed464b98bee246edcf2a40
Comportamiento Humano en las Organizacio,A,2020-07-02,TRABAJOS GRUPALES FINALES,2:06:33,https://ca.bbcollab.com/recording/535cff8e698a408a818b6a1d2da2a866
Comportamiento Humano en las Organizacio,A,2020-07-07,TRABAJOS GRUPALES FINALES,1:42:25,https://ca.bbcollab.com/recording/030c0a5f2eba47569de3e9bd3dfaa042
Comportamiento Humano en las Organizacio,A,2020-07-09,TRABAJOS GRUPALES FINALES,1:47:46,https://ca.bbcollab.com/recording/9689c9358b2b42df8e9e97b39e51a62e
Comportamiento Humano en las Organizacio,A,2020-07-09,TRABAJOS GRUPALES FINALES,1:47:46,https://ca.bbcollab.com/recording/9689c9358b2b42df8e9e97b39e51a62e
