Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Comportamiento Humano en las Organizacio,D,2020-03-31,SESIÓN 1,1:43:24,https://ca.bbcollab.com/recording/79d71d7c691f4c79b30759fbaa7a9f8b
Comportamiento Humano en las Organizacio,D,2020-04-02,SESIÓN 2,2:02:15,https://ca.bbcollab.com/recording/de52e960e4164e929e5ebbd37cc5b9b9
Comportamiento Humano en las Organizacio,D,2020-04-07,SESIÓN 3,1:58:25,https://ca.bbcollab.com/recording/81c1df0163af466e9da099313163822b
Comportamiento Humano en las Organizacio,D,2020-04-14,SESIÓN 4,1:36:03,https://ca.bbcollab.com/recording/af93080cd9974a1eb044d350afbd934c
Comportamiento Humano en las Organizacio,D,2020-04-16,SESIÓN 3,1:47:44,https://ca.bbcollab.com/recording/b6f643300f8d46fea1d2e989a59e087b
Comportamiento Humano en las Organizacio,D,2020-04-21,SESIÓN 5,1:33:39,https://ca.bbcollab.com/recording/f90140dc4f6f4b4e94fca0a0cfea5824
Comportamiento Humano en las Organizacio,D,2020-04-23,SESIÓN 7,2:00:05,https://ca.bbcollab.com/recording/a00465a7fe7746c091853d64396f164d
Comportamiento Humano en las Organizacio,D,2020-04-28,SESIÓN 8,1:48:15,https://ca.bbcollab.com/recording/9ac712ba17d24166a650bbae4047fba5
Comportamiento Humano en las Organizacio,D,2020-04-30,SESIÓN 9,2:14:20,https://ca.bbcollab.com/recording/f35a109ea9c3460f9627022189da77a0
Comportamiento Humano en las Organizacio,D,2020-05-05,SESIÓN 10,1:23:26,https://ca.bbcollab.com/recording/29464ac977c146b69656d28dcc7129f9
Comportamiento Humano en las Organizacio,D,2020-05-07,SESIÓN 12,1:34:58,https://ca.bbcollab.com/recording/bf154a090b3a4535a534decd47f448b4
Comportamiento Humano en las Organizacio,D,2020-05-12,SESIÓN 12,2:03:31,https://ca.bbcollab.com/recording/a064cc4b3d5a4910a28a83222302d694
Comportamiento Humano en las Organizacio,D,2020-05-28,SESIÓN 15,1:19:09,https://ca.bbcollab.com/recording/f5ef68efb93b4345bfcc5d666bc1940f
Comportamiento Humano en las Organizacio,D,2020-06-02,Sesión 16,1:39:03,https://ca.bbcollab.com/recording/66325981b5734586876ab9bfb71ba7bd
Comportamiento Humano en las Organizacio,D,2020-06-04,SESIÓN 17,1:04:51,https://ca.bbcollab.com/recording/72dc6964194a418389416d550d41538e
Comportamiento Humano en las Organizacio,D,2020-06-09,SESIÓN 18,1:30:06,https://ca.bbcollab.com/recording/9a665c676c0846dea0b1f2d8af5818c2
Comportamiento Humano en las Organizacio,D,2020-06-11,SESIÓN 19,1:30:06,https://ca.bbcollab.com/recording/f3aca0e0e72f4d5ab17cfad5b7cfe5c3
Comportamiento Humano en las Organizacio,D,2020-06-16,SESIÓN 20,1:24:43,https://ca.bbcollab.com/recording/3bfc203e356e4fefa7840e7aaabbadf4
Comportamiento Humano en las Organizacio,D,2020-06-18,SESIÓN 21,1:01:45,https://ca.bbcollab.com/recording/512286faf6344be09b3fcfe7abd6ffe1
Comportamiento Humano en las Organizacio,D,2020-06-23,SESIÓN 22,1:22:18,https://ca.bbcollab.com/recording/335bf8113eb146468c0a6d1b7fa201d8
Comportamiento Humano en las Organizacio,D,2020-06-25,SESIÓN 23,1:27:06,https://ca.bbcollab.com/recording/72ffd5883a614793bec2d6150fe487d6
Comportamiento Humano en las Organizacio,D,2020-06-30,SESIÓN 24,0:22:16,https://ca.bbcollab.com/recording/6e3eb30b5d214e419a1c5fe90ebfd927
Comportamiento Humano en las Organizacio,D,2020-06-30,SESIÓN 24,0:22:16,https://ca.bbcollab.com/recording/6e3eb30b5d214e419a1c5fe90ebfd927
Comportamiento Humano en las Organizacio,D,2020-07-02,SESIÓN 25,1:07:26,https://ca.bbcollab.com/recording/299b68500e044c3d829e1dec09d5b92c
Comportamiento Humano en las Organizacio,D,2020-07-07,SESIÓN 26,1:28:45,https://ca.bbcollab.com/recording/e2b04885a63b47ec88cbaf650941bc5c
Comportamiento Humano en las Organizacio,D,2020-07-09,SESIÓN 27,1:08:13,https://ca.bbcollab.com/recording/f08e09ec3cc94fd29a826cf65059fd02
Comportamiento Humano en las Organizacio,D,2020-07-09,SESIÓN 27,1:08:13,https://ca.bbcollab.com/recording/f08e09ec3cc94fd29a826cf65059fd02
