Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Comportamiento Humano en las Organizacio,E,2020-03-30,CHO-Manky,1:39:03,https://ca.bbcollab.com/recording/dc3485a853a041c8903f2ef1c36f80b8
Comportamiento Humano en las Organizacio,E,2020-04-01,CHO-Manky,2:00:17,https://ca.bbcollab.com/recording/16fc327c5f1e40e4a29e3ac2f2aa7dc6
Comportamiento Humano en las Organizacio,E,2020-04-06,CHO-Manky,1:45:53,https://ca.bbcollab.com/recording/cdedda10dc1d479395577acf61a6101a
Comportamiento Humano en las Organizacio,E,2020-04-08,CHO-Manky,1:59:41,https://ca.bbcollab.com/recording/428a3d7bd66d49508b6382b7072f4eab
Comportamiento Humano en las Organizacio,E,2020-04-13,CHO-Manky,1:59:48,https://ca.bbcollab.com/recording/3dcaa0ef41f7471ba2c555d7e24e575d
Comportamiento Humano en las Organizacio,E,2020-04-15,CHO-Manky,1:41:33,https://ca.bbcollab.com/recording/8977c675ae524526bd7ea9536e56fb3e
Comportamiento Humano en las Organizacio,E,2020-04-20,CHO-Manky,3:00:56,https://ca.bbcollab.com/recording/e2f85fea0c2d40b48d9b71d418dc922c
Comportamiento Humano en las Organizacio,E,2020-04-22,CHO-Manky,1:23:30,https://ca.bbcollab.com/recording/54580fa8c86e43b6951b12f4693ddec6
Comportamiento Humano en las Organizacio,E,2020-04-27,CHO-Manky,1:35:27,https://ca.bbcollab.com/recording/7602dcacdd824a6e96997efd6edb813c
Comportamiento Humano en las Organizacio,E,2020-04-29,CHO-Manky,1:31:17,https://ca.bbcollab.com/recording/3b5061c3d4a14391baeaa1d8bc11dbdb
Comportamiento Humano en las Organizacio,E,2020-05-04,CHO-Manky,1:20:30,https://ca.bbcollab.com/recording/a5f83fa4cdeb40728ce2b701d3ff8a15
Comportamiento Humano en las Organizacio,E,2020-05-06,CHO-Manky,1:49:25,https://ca.bbcollab.com/recording/8446701d3d214b12a7d6d3119f6b9297
Comportamiento Humano en las Organizacio,E,2020-05-11,CHO-Manky,1:42:21,https://ca.bbcollab.com/recording/2e0880457755413fbc05310a7331daf2
Comportamiento Humano en las Organizacio,E,2020-05-20,EXAMEN PARCIAL,2:34:47,https://ca.bbcollab.com/recording/b66f48bc639848e28634c0d309f6ccc8
Comportamiento Humano en las Organizacio,E,2020-05-25,CHO-Manky,1:38:13,https://ca.bbcollab.com/recording/111095e6c0194d8a8d680d3b3511498c
Comportamiento Humano en las Organizacio,E,2020-05-27,CHO-Manky,1:29:09,https://ca.bbcollab.com/recording/ecb3ce01bd814a35a70a9c5cb99ea27a
Comportamiento Humano en las Organizacio,E,2020-06-01,CHO-Manky,1:40:09,https://ca.bbcollab.com/recording/dcae60b56add44bd84c5ef4e9b79cc4f
Comportamiento Humano en las Organizacio,E,2020-06-03,CHO-Manky,1:40:14,https://ca.bbcollab.com/recording/4afbe7fb91aa4378a6da4cbfc02b68dd
Comportamiento Humano en las Organizacio,E,2020-06-08,CHO-Manky,1:54:55,https://ca.bbcollab.com/recording/db5e8cd03d0b41d9a241fbe133245c22
Comportamiento Humano en las Organizacio,E,2020-06-15,CHO-Manky,1:57:54,https://ca.bbcollab.com/recording/f388847fc384458892ba1ad1816fdb1c
Comportamiento Humano en las Organizacio,E,2020-06-17,CHO-Manky,1:44:18,https://ca.bbcollab.com/recording/8108463179f84f20aee635ace5b13f85
Comportamiento Humano en las Organizacio,E,2020-06-22,CHO-Manky,2:17:28,https://ca.bbcollab.com/recording/84121ba42e4840939a932515f51e7c92
Comportamiento Humano en las Organizacio,E,2020-06-24,CHO-Manky,1:46:01,https://ca.bbcollab.com/recording/47482c68a5d045928745d6748f2e4cf3
Comportamiento Humano en las Organizacio,E,2020-07-01,CHO-Manky,2:26:58,https://ca.bbcollab.com/recording/031e9096ef874a998979e362d3717e01
Comportamiento Humano en las Organizacio,E,2020-07-06,CHO-Manky,1:55:07,https://ca.bbcollab.com/recording/d6a5406ceaf24165bb1dd91ee8bfb23d
Comportamiento Humano en las Organizacio,E,2020-07-08,CHO-Manky,1:27:43,https://ca.bbcollab.com/recording/f94788c1cfd8476c9c5ce231fc073204
Comportamiento Humano en las Organizacio,E,2020-07-08,CHO-Manky,1:27:43,https://ca.bbcollab.com/recording/f94788c1cfd8476c9c5ce231fc073204
