Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad Aplicada,A,2020-03-30,30/03,2:31:15,https://ca.bbcollab.com/recording/5b806f2c9f3749f4bfe95a3cd6b5802d
Contabilidad Aplicada,A,2020-04-06,SESIÓN 06/04,2:53:52,https://ca.bbcollab.com/recording/bc33702043774d74b8f986c6a92a5dcb
Contabilidad Aplicada,A,2020-04-07,Sesión 07/04,1:39:19,https://ca.bbcollab.com/recording/2e33814b171849b4988eb03d151facc2
Contabilidad Aplicada,A,2020-04-13,Sesión 13/04,1:24:22,https://ca.bbcollab.com/recording/80468f1696324f788e880da9770dd13c
Contabilidad Aplicada,A,2020-04-14,Sesión 14/04,1:45:32,https://ca.bbcollab.com/recording/9dc1c68b46d64b46bd7c8cec8abcad54
Contabilidad Aplicada,A,2020-04-21,Martes 21/04,1:48:46,https://ca.bbcollab.com/recording/cd186337bf674c5dad9f1c9d3b6526ca
Contabilidad Aplicada,A,2020-04-27,SESION 27/04,1:23:59,https://ca.bbcollab.com/recording/3904dff8e1764492b56e885862e91565
Contabilidad Aplicada,A,2020-04-28,SESION 28/04,1:50:52,https://ca.bbcollab.com/recording/831ae6e327534bdb95bfca79ca31c156
Contabilidad Aplicada,A,2020-05-05,SESION 05/05,1:38:58,https://ca.bbcollab.com/recording/f6d1c4d8ec404bc6ae68093f1cd3ae3a
Contabilidad Aplicada,A,2020-05-11,Sesión 11/05,2:48:54,https://ca.bbcollab.com/recording/fd85b57c651e489ab6d8d68f6e358668
Contabilidad Aplicada,A,2020-05-12,Sesión 12/05,1:00:45,https://ca.bbcollab.com/recording/7f753d438d18422a829d40c3ba1362f9
Contabilidad Aplicada,A,2020-05-26,SESION 26/05,1:49:22,https://ca.bbcollab.com/recording/8cf7c3ba5e9f41f5b0a409cfc2a55262
Contabilidad Aplicada,A,2020-06-01,01/06,2:31:16,https://ca.bbcollab.com/recording/2fea66a7d0f44b9282080aa6e4e713f1
Contabilidad Aplicada,A,2020-06-02,02/06,1:34:50,https://ca.bbcollab.com/recording/c1ffdc2ff7aa4da68ccfb964b13c777c
Contabilidad Aplicada,A,2020-06-09,09/06,1:35:06,https://ca.bbcollab.com/recording/59b664d7e33844b1a8d8134ffaa72c4d
Contabilidad Aplicada,A,2020-06-15,15/06,0:57:43,https://ca.bbcollab.com/recording/8d5a7544111d476cb1f85c1410900d1d
Contabilidad Aplicada,A,2020-06-22,22/06,1:43:01,https://ca.bbcollab.com/recording/7fb4b4337a3f424ebda330dd8e1420f8
Contabilidad Aplicada,A,2020-06-23,23/06,1:25:50,https://ca.bbcollab.com/recording/3773e9797bec4f5c85e4f48636608c35
Contabilidad Aplicada,A,2020-07-06,Clase lunes 06/07,2:17:33,https://ca.bbcollab.com/recording/17d15ac561c54e7a8f6fdd4a6a03f779
Contabilidad Aplicada,A,2020-07-07,Sesión 07/07,1:16:52,https://ca.bbcollab.com/recording/679e1627cdd94f3da8acc4bd8046ce94
