Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad Intermedia,A,2020-03-31,CI A - Sesion virtual 01,1:27:07,https://ca.bbcollab.com/recording/c29ccc92fc33437781879c14567b3914
Contabilidad Intermedia,A,2020-04-02,Sesion virtual 2:  Control interno y caja y bancos,0:00:04,https://ca.bbcollab.com/recording/3a3c8ea728be4c859b92ad8f7137a300
Contabilidad Intermedia,A,2020-04-02,Sesion virtual 2:  Control interno y caja y bancos,1:28:41,https://ca.bbcollab.com/recording/67ca0463691e49368d79e55e5fe70a31
Contabilidad Intermedia,A,2020-04-07,Sesion virtual 3 Conciliacion bancaria,1:19:36,https://ca.bbcollab.com/recording/b9cda824eb5f4f29849f547ff2d004a6
Contabilidad Intermedia,A,2020-04-14,Sesión virtual 03 y 04,1:12:55,https://ca.bbcollab.com/recording/a796559dd1dd4828aeffe833a09edeb3
Contabilidad Intermedia,A,2020-04-16,Sesión virtual 03 y 04,1:07:52,https://ca.bbcollab.com/recording/f9295bd59bd448a6be34f1368e5ebe3c
Contabilidad Intermedia,A,2020-04-18,Control 1 + PD1,1:40:18,https://ca.bbcollab.com/recording/0d65103a805648fdb8e208e8d3052285
Contabilidad Intermedia,A,2020-04-21,Sesión virtual 03 y 04,0:58:02,https://ca.bbcollab.com/recording/34c66ca4dd91487785c5f0b7f99af1be
Contabilidad Intermedia,A,2020-04-23,Sesión virtual 03 y 04,0:30:02,https://ca.bbcollab.com/recording/df07deadf74c4615bbbde4da735498a4
Contabilidad Intermedia,A,2020-04-28,Sesiones 5 y 6 Inventarios,1:16:09,https://ca.bbcollab.com/recording/84ccdbddc91f43afbb0cea3e8b66f282
Contabilidad Intermedia,A,2020-04-30,Sesiones 5 y 6 Inventarios,0:46:49,https://ca.bbcollab.com/recording/924af4e62b4d4a348a809beff30fd71c
Contabilidad Intermedia,A,2020-05-02,Práctica Dirigida 2,1:39:12,https://ca.bbcollab.com/recording/0d58bc74d33449228453b71a2665b4ca
Contabilidad Intermedia,A,2020-05-05,Sesiones 5 y 6 Inventarios,0:43:30,https://ca.bbcollab.com/recording/1808aa0468b54b3faf8673f2d8b62098
Contabilidad Intermedia,A,2020-05-07,Sesion 07 Inversiones,1:42:18,https://ca.bbcollab.com/recording/a8d9c1fa64a54d7a8f09112b2d9fbc08
Contabilidad Intermedia,A,2020-05-09,PD3,1:50:56,https://ca.bbcollab.com/recording/e3d3ff9e37b4487bbccd668f228f4ee9
Contabilidad Intermedia,A,2020-05-12,Sesion 07 Inversiones,0:49:13,https://ca.bbcollab.com/recording/bc5ad2d4c1ef453890c4e61483bc27df
Contabilidad Intermedia,A,2020-05-14,Sesion 07 Inversiones,0:42:02,https://ca.bbcollab.com/recording/748ed4b8a8a142efaabb77239ad8c86c
Contabilidad Intermedia,A,2020-05-21,Examen Parcial - preguntas,1:51:20,https://ca.bbcollab.com/recording/038f4e45ff754455899052932f42b068
Contabilidad Intermedia,A,2020-05-26,Sesiones 9 y 10 Activo fijo,1:11:04,https://ca.bbcollab.com/recording/f75293f80cb44590b5fc384f44788d4b
Contabilidad Intermedia,A,2020-05-28,Sesiones 9 y 10 Activo fijo,1:06:19,https://ca.bbcollab.com/recording/57e6d378c12d4171aefe5ad67bae9900
Contabilidad Intermedia,A,2020-05-30,PD4,1:22:51,https://ca.bbcollab.com/recording/0d3e0520a0aa4d7b8359207f377a6fef
Contabilidad Intermedia,A,2020-06-02,Sesiones 9 y 10 Activo fijo,1:45:33,https://ca.bbcollab.com/recording/562689658c2d48199984a0a0cef036f8
Contabilidad Intermedia,A,2020-06-04,Sesiones 9 y 10 Activo fijo,1:18:45,https://ca.bbcollab.com/recording/80cea7d5b2f5439a90c3bfd7b609943c
Contabilidad Intermedia,A,2020-06-09,Sesion 11 IGV,0:50:54,https://ca.bbcollab.com/recording/3a0e37bbb25b4bc696efc06b0aef7356
Contabilidad Intermedia,A,2020-06-11,Sesion 11 IGV,1:07:52,https://ca.bbcollab.com/recording/1e08e0e3e2e5426d842ff19fcaa2e883
Contabilidad Intermedia,A,2020-06-13,Control 3 + PD5,1:11:53,https://ca.bbcollab.com/recording/b72b5a60941a4c979644a52c84668402
Contabilidad Intermedia,A,2020-06-16,Sesion 12 impuesto a la renta,1:06:32,https://ca.bbcollab.com/recording/9dfd3ca63e5d4ef88f9e6224f5b05da2
Contabilidad Intermedia,A,2020-06-18,Sesiones 13 y 14 Remuneraciones,1:25:36,https://ca.bbcollab.com/recording/e7e9308f245f4060a33a22bbea7edba0
Contabilidad Intermedia,A,2020-06-20,PD6,1:13:03,https://ca.bbcollab.com/recording/6d82f4ad1c4442518017498a54833434
Contabilidad Intermedia,A,2020-06-23,Sesiones 13 y 14 Remuneraciones,0:51:10,https://ca.bbcollab.com/recording/e8080bc82d964573b272b34be285977f
Contabilidad Intermedia,A,2020-06-25,Sesiones 13 y 14 Remuneraciones,1:07:37,https://ca.bbcollab.com/recording/c3e67dc0067d44f582f2fee54af7dd46
Contabilidad Intermedia,A,2020-06-30,Sesiones 15 y 16 Moneda extranjera y patrimonio,0:48:03,https://ca.bbcollab.com/recording/5c898200566a4f86a568e9ca0fe733f7
Contabilidad Intermedia,A,2020-07-02,Sesiones 15 y 16 Moneda extranjera y patrimonio,0:34:03,https://ca.bbcollab.com/recording/e7622c45f77b40e6ad3a642d485bfecc
Contabilidad Intermedia,A,2020-07-04,Ctrl4 + PD7,0:48:14,https://ca.bbcollab.com/recording/8655bee2e43942d999968ec081a7f6bb
Contabilidad Intermedia,A,2020-07-09,Sesiones 15 y 16 Moneda extranjera y patrimonio,0:24:03,https://ca.bbcollab.com/recording/0eaaaba8a5bc4c04941d79fbc4afa9ad
Contabilidad Intermedia,A,2020-07-09,Sesiones 15 y 16 Moneda extranjera y patrimonio,0:24:03,https://ca.bbcollab.com/recording/0eaaaba8a5bc4c04941d79fbc4afa9ad
Contabilidad Intermedia,A,2020-07-11,PD8 (última clase),0:42:26,https://ca.bbcollab.com/recording/ed6ba4ab07a64d5ebe6f171f007b6f58
Contabilidad Intermedia,A,2020-07-11,PD8 (última clase),0:42:26,https://ca.bbcollab.com/recording/ed6ba4ab07a64d5ebe6f171f007b6f58
Contabilidad Intermedia,A,2020-07-16,Examen final,0:50:07,https://ca.bbcollab.com/recording/bd5c217ccf4941ad8b3b8ac77b5e930f
Contabilidad Intermedia,A,2020-07-16,Examen final,0:50:07,https://ca.bbcollab.com/recording/bd5c217ccf4941ad8b3b8ac77b5e930f
