Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad Intermedia,B,2020-03-31,CI B Sesion virtual 01,1:25:28,https://ca.bbcollab.com/recording/2d6dbc5ab335408db1da62984483b6de
Contabilidad Intermedia,B,2020-04-02,Sesion 02:  Control interno y caja y bancos,1:28:19,https://ca.bbcollab.com/recording/3da34a95e7e340deb8599e0a1abaf4d8
Contabilidad Intermedia,B,2020-04-07,Sesion 3 Conciliacion bancaria,1:26:27,https://ca.bbcollab.com/recording/8a89ce8373c64af898dd1ce9ab102ae0
Contabilidad Intermedia,B,2020-04-14,Sesión virtual 03 y 04,1:24:09,https://ca.bbcollab.com/recording/9855a154572544c980fc40be85b69467
Contabilidad Intermedia,B,2020-04-16,Sesión virtual 03 y 04,1:26:27,https://ca.bbcollab.com/recording/3c724ce3f87f43458b8efbe475a66ba9
Contabilidad Intermedia,B,2020-04-18,Dirigida 1,1:21:42,https://ca.bbcollab.com/recording/0c29483d06964798b3ed13b25acac63b
Contabilidad Intermedia,B,2020-04-21,Sesión virtual 03 y 04,1:20:33,https://ca.bbcollab.com/recording/90024ac85fdd4341b2871f14797dd6cc
Contabilidad Intermedia,B,2020-04-23,Sesión virtual 03 y 04,0:30:49,https://ca.bbcollab.com/recording/8a537de6319d4b76ba3882b67fe5519a
Contabilidad Intermedia,B,2020-04-23,Sesión virtual 03 y 04,0:00:14,https://ca.bbcollab.com/recording/b6df504077cb4f66be4142ccc8022212
Contabilidad Intermedia,B,2020-04-28,Sesiones 5 y 6 Inventarios,1:28:55,https://ca.bbcollab.com/recording/f9c359a727c94281a640e437891c28e3
Contabilidad Intermedia,B,2020-04-30,Sesiones 5 y 6 Inventarios,0:34:12,https://ca.bbcollab.com/recording/a8d301c61a914576b498af7cf8c69b2e
Contabilidad Intermedia,B,2020-05-02,PD 02/05,1:24:50,https://ca.bbcollab.com/recording/cf0b3e5cf63a45cfb9b7cd6eafc336be
Contabilidad Intermedia,B,2020-05-05,Sesiones 5 y 6 Inventarios,0:34:32,https://ca.bbcollab.com/recording/01b40d8e894d4ee695e2c140f3b6c760
Contabilidad Intermedia,B,2020-05-07,Sesion 07 Inversiones,1:25:14,https://ca.bbcollab.com/recording/97e0ffc1632e46dd9f6c2e8ed8dd91c6
Contabilidad Intermedia,B,2020-05-09,Dirigida,1:50:16,https://ca.bbcollab.com/recording/bcba767e7c0c4d69a0457810d31dde82
Contabilidad Intermedia,B,2020-05-12,Sesion 07 Inversiones,0:54:27,https://ca.bbcollab.com/recording/bc5ea5907ead4a3aa8bb7db0b75348f3
Contabilidad Intermedia,B,2020-05-14,Sesion 07 Inversiones,0:35:27,https://ca.bbcollab.com/recording/5c94cb42182b4b898f1a50b78e804f46
Contabilidad Intermedia,B,2020-05-21,Examen parcial - preguntas,1:51:35,https://ca.bbcollab.com/recording/3665a5b4d7354c1c8eb988253b977ef0
Contabilidad Intermedia,B,2020-05-26,Sesiones 09 y 10 Activo fijo,1:14:10,https://ca.bbcollab.com/recording/bb79154b3a1a42918f1942558ee7fa96
Contabilidad Intermedia,B,2020-05-28,Sesiones 09 y 10 Activo fijo,1:12:11,https://ca.bbcollab.com/recording/1ae222f71cae4e50b5725fea3cf266fd
Contabilidad Intermedia,B,2020-05-30,Dirigida,1:17:48,https://ca.bbcollab.com/recording/88b451000e26458ca002f9789fb2196d
Contabilidad Intermedia,B,2020-06-02,Sesiones 09 y 10 Activo fijo,1:35:59,https://ca.bbcollab.com/recording/6cbd339edf6b43ab98d8612bfb9d924c
Contabilidad Intermedia,B,2020-06-04,Sesiones 09 y 10 Activo fijo,1:27:39,https://ca.bbcollab.com/recording/cffc88efe84f4b0284f9158e4461b457
Contabilidad Intermedia,B,2020-06-09,Sesion 11 IGV,1:17:45,https://ca.bbcollab.com/recording/13b060b5b39546b7b07a6ddedd37768a
Contabilidad Intermedia,B,2020-06-11,Sesion 11 IGV,1:22:11,https://ca.bbcollab.com/recording/1fa0499a723a41c9a0bff708f2f6a2d1
Contabilidad Intermedia,B,2020-06-13,Dirigida,1:30:08,https://ca.bbcollab.com/recording/cfb6a71a9379412f88dec5988e9a761a
Contabilidad Intermedia,B,2020-06-16,Sesion 12 - Impuesto a la renta,1:09:18,https://ca.bbcollab.com/recording/1622ab72c8d847249933764983f691f0
Contabilidad Intermedia,B,2020-06-18,Sesiones 13 y 14 Remuneraciones,1:43:21,https://ca.bbcollab.com/recording/4d6ed7bb498c4ca0a63241dd9bb2e2cb
Contabilidad Intermedia,B,2020-06-20,Dirigida,1:36:26,https://ca.bbcollab.com/recording/1baca2ae4c9b42be867d0c5bebe1926a
Contabilidad Intermedia,B,2020-06-23,Sesiones 13 y 14 Remuneraciones,1:06:48,https://ca.bbcollab.com/recording/23b6003850564307ab00e66310c873cb
Contabilidad Intermedia,B,2020-06-25,Sesiones 13 y 14 Remuneraciones,1:15:33,https://ca.bbcollab.com/recording/4299e0cf6550495d905670fedfacbafd
Contabilidad Intermedia,B,2020-06-30,Sesion 15 Moneda extranjera y patrimonio,1:05:55,https://ca.bbcollab.com/recording/676593dd7465407b81bfc5210b82bb6b
Contabilidad Intermedia,B,2020-07-02,Sesion 15 Moneda extranjera y patrimonio,0:28:17,https://ca.bbcollab.com/recording/08e8cda213034815b1a7f8690ca3cd9d
Contabilidad Intermedia,B,2020-07-04,PD CONTINUACION,0:37:48,https://ca.bbcollab.com/recording/5b261d6bb9924c718978402f891f8d10
Contabilidad Intermedia,B,2020-07-04,PD y CL4,0:43:52,https://ca.bbcollab.com/recording/e9328a702e08482c922ec575d9a41c0a
Contabilidad Intermedia,B,2020-07-09,Sesion 15 Moneda extranjera y patrimonio,0:27:18,https://ca.bbcollab.com/recording/d32b6407cbd847f0b9a45cd2a48f79ca
Contabilidad Intermedia,B,2020-07-09,Sesion 15 Moneda extranjera y patrimonio,0:27:18,https://ca.bbcollab.com/recording/d32b6407cbd847f0b9a45cd2a48f79ca
Contabilidad Intermedia,B,2020-07-11,dirigida,1:36:33,https://ca.bbcollab.com/recording/4fe3fd1099054d509731163926755389
Contabilidad Intermedia,B,2020-07-11,dirigida,1:36:33,https://ca.bbcollab.com/recording/4fe3fd1099054d509731163926755389
Contabilidad Intermedia,B,2020-07-16,Examen final,0:55:06,https://ca.bbcollab.com/recording/d6a2fe61dc3c4836adfac42ac8241cd3
Contabilidad Intermedia,B,2020-07-16,Examen final,0:55:06,https://ca.bbcollab.com/recording/d6a2fe61dc3c4836adfac42ac8241cd3
