Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad Intermedia,E,2020-03-31,Sesión 1,1:26:59,https://ca.bbcollab.com/recording/4365e51c7b22442ea4c4c305c2d323b1
Contabilidad Intermedia,E,2020-04-02,Sesión 7 de abril,1:26:27,https://ca.bbcollab.com/recording/d187c811ea0848f5a3470cc1783d09bb
Contabilidad Intermedia,E,2020-04-07,Sesión 7 de abril,1:39:50,https://ca.bbcollab.com/recording/285b5e78bfa74e8aab71c1ef8ceb4b02
Contabilidad Intermedia,E,2020-04-14,21 Y 23 abril,1:48:33,https://ca.bbcollab.com/recording/ba7cfb2cc14e4c86a81c3e050027449d
Contabilidad Intermedia,E,2020-04-16,21 Y 23 abril,1:31:24,https://ca.bbcollab.com/recording/88ecec4984c04795b97a640d7412bbc1
Contabilidad Intermedia,E,2020-04-18,PRACTICA DIRIGIDA 1,1:51:34,https://ca.bbcollab.com/recording/413f37c80dc64eeeadcfc7cb744d70dd
Contabilidad Intermedia,E,2020-04-21,21 Y 23 abril,1:38:03,https://ca.bbcollab.com/recording/b21b6b3c27d6414e8820d3c01eda15b8
Contabilidad Intermedia,E,2020-04-23,21 Y 23 abril,1:32:12,https://ca.bbcollab.com/recording/cc3649e437ed475e836279317e3b4685
Contabilidad Intermedia,E,2020-04-28,28 Y 30 abril,1:30:21,https://ca.bbcollab.com/recording/f09bb4f19e7c423da8d082a11014093d
Contabilidad Intermedia,E,2020-04-30,28 Y 30 abril,1:32:06,https://ca.bbcollab.com/recording/01e2c72cae7a42ebb163ca16c21b0c82
Contabilidad Intermedia,E,2020-05-02,PRACTICA DIRIGIDA No 2 2020-1,2:00:21,https://ca.bbcollab.com/recording/b026ff9d2d564ad293a3433e1b705703
Contabilidad Intermedia,E,2020-05-05,5 y 7 mayo,1:29:58,https://ca.bbcollab.com/recording/18c2076112444e82a3f8e7ab4156808d
Contabilidad Intermedia,E,2020-05-07,5 y 7 mayo,1:32:24,https://ca.bbcollab.com/recording/43ec8b192bc0441db5f850a4b9c3f7b5
Contabilidad Intermedia,E,2020-05-09,PRACTICA DIRIGIDA No 3,1:35:01,https://ca.bbcollab.com/recording/1db43be5cbf14a3a8a7343ee15cefb30
Contabilidad Intermedia,E,2020-05-09,PRACTICA DIRIGIDA No 3,0:00:28,https://ca.bbcollab.com/recording/7973c3095ae045cc8efae4f722911690
Contabilidad Intermedia,E,2020-05-12,12 y 14 mayo,1:28:33,https://ca.bbcollab.com/recording/8b736bd39ee84a2cb0bb2741228a760a
Contabilidad Intermedia,E,2020-05-14,12 y 14 mayo,1:35:15,https://ca.bbcollab.com/recording/489f3965e4f94861a006334023419587
Contabilidad Intermedia,E,2020-05-21,EXAMEN PARCIAL,2:00:58,https://ca.bbcollab.com/recording/ef74e4e341134f0888b56af198d5ebfa
Contabilidad Intermedia,E,2020-05-26,Activo fijo,1:31:54,https://ca.bbcollab.com/recording/f4c76c450bf44614b6e2bf370df1ddbd
Contabilidad Intermedia,E,2020-05-28,Activo fijo,1:31:06,https://ca.bbcollab.com/recording/88eeec84ff1443c5850d60a8b09588af
Contabilidad Intermedia,E,2020-06-02,Pasivo,1:32:58,https://ca.bbcollab.com/recording/4d1565ccc8dd4e1db082187d9a0376c8
Contabilidad Intermedia,E,2020-06-04,IGV,1:37:16,https://ca.bbcollab.com/recording/94937e201a9f4eba852441d4951d788a
Contabilidad Intermedia,E,2020-06-09,I Renta,1:34:01,https://ca.bbcollab.com/recording/508f4bc4f4b04beeb57a4356857bd1ec
Contabilidad Intermedia,E,2020-06-11,I Renta,1:32:05,https://ca.bbcollab.com/recording/8387c6e68ab14597b826b0ffc7bf208c
Contabilidad Intermedia,E,2020-06-13,PRACTICA DIRIGIDA NO 5,1:40:50,https://ca.bbcollab.com/recording/bd6ac591ceea4cdfbe54a976cc538b2b
Contabilidad Intermedia,E,2020-06-16,I Renta,1:34:55,https://ca.bbcollab.com/recording/18b2bd3b3fff40f9976e0be5adedef4a
Contabilidad Intermedia,E,2020-06-18,Remuneraciones,1:40:59,https://ca.bbcollab.com/recording/f8399c963c4f414f98b085e30d91f108
Contabilidad Intermedia,E,2020-06-20,PRACTICA DIRIGIDA 6,1:52:18,https://ca.bbcollab.com/recording/6472f45d4bec412f902c20ac385788a0
Contabilidad Intermedia,E,2020-06-23,Remuneraciones,1:32:30,https://ca.bbcollab.com/recording/7e1d491228b4464b84429fa6b3b71b2c
Contabilidad Intermedia,E,2020-06-25,Remuneraciones,1:34:37,https://ca.bbcollab.com/recording/f7228a63dd3f4cd38e24251fbf6eb65e
Contabilidad Intermedia,E,2020-06-30,Del 30 junio al 9 de julio,1:35:06,https://ca.bbcollab.com/recording/6cfc89fcf3d349a6abd9a8200d06ab17
Contabilidad Intermedia,E,2020-07-02,Del 30 junio al 9 de julio,1:31:14,https://ca.bbcollab.com/recording/332827d87e2c485fa9dc2186dceb77a0
Contabilidad Intermedia,E,2020-07-04,PRACTICA DIRIGIDA No 7,1:15:57,https://ca.bbcollab.com/recording/30e7766eb29a44dda7d8ed52a7f30bce
Contabilidad Intermedia,E,2020-07-07,Del 30 junio al 9 de julio,2:09:53,https://ca.bbcollab.com/recording/e15722501a4d42ad8da11aea97cdc8d6
Contabilidad Intermedia,E,2020-07-09,Del 30 junio al 9 de julio,1:30:50,https://ca.bbcollab.com/recording/c86b71c077664bc78112e45144ac385f
Contabilidad Intermedia,E,2020-07-09,Del 30 junio al 9 de julio,1:30:50,https://ca.bbcollab.com/recording/c86b71c077664bc78112e45144ac385f
Contabilidad Intermedia,E,2020-07-11,PRACTICA DIRIGIDA No 8,1:29:53,https://ca.bbcollab.com/recording/43ca1fb6a501484d99629f42d5661384
Contabilidad Intermedia,E,2020-07-11,PRACTICA DIRIGIDA No 8,1:29:53,https://ca.bbcollab.com/recording/43ca1fb6a501484d99629f42d5661384
