Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad Intermedia,F,2020-04-02,Sesión martes 7,1:39:21,https://ca.bbcollab.com/recording/e2f78385643547188a5916a074fef116
Contabilidad Intermedia,F,2020-04-07,Sesión martes 7,2:39:18,https://ca.bbcollab.com/recording/1faf65174cce43c3a8ff95df10f1ab9f
Contabilidad Intermedia,F,2020-04-14,21 Y 23 ABRIL,1:37:40,https://ca.bbcollab.com/recording/c9e0cd8713344c15bd3db60ae20d1844
Contabilidad Intermedia,F,2020-04-16,21 Y 23 ABRIL,1:30:49,https://ca.bbcollab.com/recording/ecadca21928a46468411afbfa2b703af
Contabilidad Intermedia,F,2020-04-21,21 Y 23 ABRIL,1:40:02,https://ca.bbcollab.com/recording/db7aadc7a9514afb9af81eae06f46ebe
Contabilidad Intermedia,F,2020-04-23,21 Y 23 ABRIL,1:35:21,https://ca.bbcollab.com/recording/b9541cf9f1764838bae54e72f78a9373
Contabilidad Intermedia,F,2020-04-28,28 Y 30 ABRIL,1:35:50,https://ca.bbcollab.com/recording/1e89bb633eb84a3b83cd99eeefa346c3
Contabilidad Intermedia,F,2020-04-30,28 Y 30 ABRIL,1:36:00,https://ca.bbcollab.com/recording/8010023d141c46f8899c37021f6b59c6
Contabilidad Intermedia,F,2020-05-02,PD2,1:22:25,https://ca.bbcollab.com/recording/1ea9899ff95e4f639c87ac4f53ead9c7
Contabilidad Intermedia,F,2020-05-05,5 y 7 mayo,1:36:28,https://ca.bbcollab.com/recording/f9d68345ecd6453788afaab9493c2006
Contabilidad Intermedia,F,2020-05-07,5 y 7 mayo,1:32:54,https://ca.bbcollab.com/recording/9797b74c04cc423087dcc274b56b4b78
Contabilidad Intermedia,F,2020-05-12,12 y 14 mayo,1:28:58,https://ca.bbcollab.com/recording/2938ad56cf15463e90de7c09d6e4dd59
Contabilidad Intermedia,F,2020-05-14,12 y 14 mayo,1:28:32,https://ca.bbcollab.com/recording/d55a3355a08547faa3635c4f23ec2054
Contabilidad Intermedia,F,2020-05-26,Activo fijo Martes 26 y 28 mayo,1:34:49,https://ca.bbcollab.com/recording/cfec10fa561d45a1ac6d793fab14b629
Contabilidad Intermedia,F,2020-05-28,Activo fijo Martes 26 y 28 mayo,2:02:02,https://ca.bbcollab.com/recording/93101a082c834228ac5beadb2dfbf905
Contabilidad Intermedia,F,2020-06-02,IGV,1:37:11,https://ca.bbcollab.com/recording/34270d8f13f94218a0b5f24c657abed1
Contabilidad Intermedia,F,2020-06-04,IGV,1:36:33,https://ca.bbcollab.com/recording/6ed964d242304381a999877d0636db5b
Contabilidad Intermedia,F,2020-06-09,Impuesto a la Renta - Remuneraciones,1:32:32,https://ca.bbcollab.com/recording/767f35a7f4d7400aac5b3ded0b98020a
Contabilidad Intermedia,F,2020-06-11,Impuesto a la Renta - Remuneraciones,1:40:42,https://ca.bbcollab.com/recording/ecf566720f2a4b26bdf8568f3d872fe4
Contabilidad Intermedia,F,2020-06-13,PD5,1:18:21,https://ca.bbcollab.com/recording/a41a0ebcc9074a6eb603906a10e63a99
Contabilidad Intermedia,F,2020-06-16,Impuesto a la Renta - Remuneraciones,1:48:15,https://ca.bbcollab.com/recording/e190b525107d4ef5899df9242c88cb39
Contabilidad Intermedia,F,2020-06-18,Impuesto a la Renta - Remuneraciones,1:32:48,https://ca.bbcollab.com/recording/511cab9c2ee14908877ad256c48d3e44
Contabilidad Intermedia,F,2020-06-20,PD6,1:51:47,https://ca.bbcollab.com/recording/fccd13ca7d7146328cbe4bc97ad53c27
Contabilidad Intermedia,F,2020-06-23,Impuesto a la Renta - Remuneraciones,1:38:01,https://ca.bbcollab.com/recording/b4b00c1ff9bc454887f88f2ba5668495
Contabilidad Intermedia,F,2020-06-25,Impuesto a la Renta - Remuneraciones,1:33:07,https://ca.bbcollab.com/recording/3b34c564fa484584a031bf41d6c65291
Contabilidad Intermedia,F,2020-06-30,Del 30 dejunio al 9 de julio,1:38:29,https://ca.bbcollab.com/recording/bfb8085e9bfa487a92539fad35a2b0c7
Contabilidad Intermedia,F,2020-07-02,Del 30 dejunio al 9 de julio,1:32:32,https://ca.bbcollab.com/recording/945f3f72efaa493ca21bfcd66a1f25a0
Contabilidad Intermedia,F,2020-07-04,PD7,1:19:23,https://ca.bbcollab.com/recording/b2f8e93090e44d85b9dbd1e92ff65721
Contabilidad Intermedia,F,2020-07-07,Del 30 dejunio al 9 de julio,1:34:00,https://ca.bbcollab.com/recording/9d693d17b0824f5d909a77bfc5d79aa2
Contabilidad Intermedia,F,2020-07-09,9 de julio,2:04:04,https://ca.bbcollab.com/recording/19211ba2b399410bbbbcdaf7e394850a
Contabilidad Intermedia,F,2020-07-09,9 de julio,2:04:04,https://ca.bbcollab.com/recording/19211ba2b399410bbbbcdaf7e394850a
Contabilidad Intermedia,F,2020-07-11,PD8,1:45:13,https://ca.bbcollab.com/recording/8dea96334d2749c08751bf02fa673d4d
Contabilidad Intermedia,F,2020-07-11,PD8,1:45:13,https://ca.bbcollab.com/recording/8dea96334d2749c08751bf02fa673d4d
