Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad de Costos,A,2020-03-31,3103 Sesión introductoria y conceptos generales,2:33:01,https://ca.bbcollab.com/recording/de64993f05c74494a9c3a5f9d11ad9ad
Contabilidad de Costos,A,2020-04-01,PRÁCTICAS DIRIGIDAS,1:25:30,https://ca.bbcollab.com/recording/f7868e8d46b541c9a67b013945d37187
Contabilidad de Costos,A,2020-04-07,Clasificación y Elementos del Costo,2:51:01,https://ca.bbcollab.com/recording/b3844fee5f5e430d8368f7050a220ee1
Contabilidad de Costos,A,2020-04-08,PRÁCTICAS DIRIGIDAS,1:18:17,https://ca.bbcollab.com/recording/c739a577910f41c1aefe81c62fab7cfa
Contabilidad de Costos,A,2020-04-14,Elementos de Costo (MOD/CIF),2:54:46,https://ca.bbcollab.com/recording/fb50bd127f6343169022b5cf07aeb259
Contabilidad de Costos,A,2020-04-15,PRÁCTICAS DIRIGIDAS,1:06:13,https://ca.bbcollab.com/recording/134a9e692369467e924c6903bf72be4b
Contabilidad de Costos,A,2020-04-15,PRÁCTICAS DIRIGIDAS,0:19:06,https://ca.bbcollab.com/recording/46f1972c59fe48cf96b8282be5a43691
Contabilidad de Costos,A,2020-04-28,CIF y Ordenes de trabajo (primera parte),2:58:53,https://ca.bbcollab.com/recording/1c5d65e98786481280b157e75148f345
Contabilidad de Costos,A,2020-04-29,PRÁCTICAS DIRIGIDAS,1:36:43,https://ca.bbcollab.com/recording/7509554ee51a4069a0d1b589b4663d54
Contabilidad de Costos,A,2020-05-05,Sist. Acum por Ordenes de Trabajo,2:56:42,https://ca.bbcollab.com/recording/027afe8d1f77476ba77a540e5b82ce27
Contabilidad de Costos,A,2020-05-06,PRÁCTICAS DIRIGIDAS,1:39:39,https://ca.bbcollab.com/recording/cc0bf495018848438b71d4c6f8ce5dff
Contabilidad de Costos,A,2020-05-12,Ordenes de Trabajo - Caso 2,0:27:21,https://ca.bbcollab.com/recording/1c293135910d43a5b5a95b5057683e3c
Contabilidad de Costos,A,2020-05-26,Costeo por procesos (parte 1),2:51:42,https://ca.bbcollab.com/recording/d39252d75f7a42168c6e90f2a3873646
Contabilidad de Costos,A,2020-05-27,PRÁCTICAS DIRIGIDAS,1:23:53,https://ca.bbcollab.com/recording/02086221e9d74b12b1b28afd20afb1da
Contabilidad de Costos,A,2020-06-02,Sistema de Costeo por procesos (parte 2),2:19:21,https://ca.bbcollab.com/recording/08911fd5135645b1b7bb6273bfba039a
Contabilidad de Costos,A,2020-06-03,PRÁCTICAS DIRIGIDAS,1:59:54,https://ca.bbcollab.com/recording/027b34841c394f7298c3394429b36518
Contabilidad de Costos,A,2020-06-09,Caso 3,3:12:19,https://ca.bbcollab.com/recording/5a13570c09f9478abdd2eda6c5abaac1
Contabilidad de Costos,A,2020-06-16,Costos conjuntos y estándares,2:40:38,https://ca.bbcollab.com/recording/419cc48be3204ca4978fc69a4bfd5061
Contabilidad de Costos,A,2020-06-23,Costos Estándares,3:27:33,https://ca.bbcollab.com/recording/d0d3560cb46d429a804bb1438395ca3b
Contabilidad de Costos,A,2020-06-30,costos estándares - caso 4,3:34:54,https://ca.bbcollab.com/recording/29b457bfdd9c4823a525c01c42c834c0
Contabilidad de Costos,A,2020-07-07,presentación trabajos finales,2:59:50,https://ca.bbcollab.com/recording/71099441c33d4bfab746783964774187
