Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad para la Toma de Decisiones,A,2020-03-30,Sesion On-line CTD A (lunes 30mar 7:30am-9:30am),1:41:56,https://ca.bbcollab.com/recording/66c6edd4301342df9d46b614b97650ae
Contabilidad para la Toma de Decisiones,A,2020-04-01,Sesion On-line CTD A (1Abr-7:30am-9:30am),1:32:56,https://ca.bbcollab.com/recording/fb44d87bd51e4ea7b3986b1fb10df3fa
Contabilidad para la Toma de Decisiones,A,2020-04-06,Sesion On-line CTD A (lunes 6abr-7:30am-9:30am),1:58:20,https://ca.bbcollab.com/recording/0d0b6b3c677a40da9579d81b99bcc493
Contabilidad para la Toma de Decisiones,A,2020-04-08,Sesion On-line CTD A (mierc 8abr 7:30am-9:30am),1:42:21,https://ca.bbcollab.com/recording/9844132c71ac4c6f86439c2be30f2cde
Contabilidad para la Toma de Decisiones,A,2020-04-13,Sesion On-line CTD A (3Abr 1:30pm-3:30pm) - PD2,0:50:43,https://ca.bbcollab.com/recording/3d82a1bc2467417fa73f289a828ead66
Contabilidad para la Toma de Decisiones,A,2020-04-13,Sesion On-line CTD A (lunes 13abr 7:30am-9:30am),1:16:05,https://ca.bbcollab.com/recording/412eca8681a54c2f87a173dd33e4a0f5
Contabilidad para la Toma de Decisiones,A,2020-04-15,Sesion On-line CTD A (mierc 15abr 7:30am-9:30am),1:48:08,https://ca.bbcollab.com/recording/a2ab15e57b6b4ca9ad424326c147841e
Contabilidad para la Toma de Decisiones,A,2020-04-20,Sesion On-line CTD A Lunes 20 Abr (7:30am-9:30am),1:28:06,https://ca.bbcollab.com/recording/cf0cf6933c794bb19c42b5b6b34a6ad3
Contabilidad para la Toma de Decisiones,A,2020-04-22,Sesion On-line CTD A Miercoles 22 Abr (7:30am-9:30am),1:48:10,https://ca.bbcollab.com/recording/c0ec336e573e4971a72b9d275d67631a
Contabilidad para la Toma de Decisiones,A,2020-04-24,Sesion On-line CTD A Viernes 24 Abr (1:30pm-3:30pm),1:28:37,https://ca.bbcollab.com/recording/6b7bf3aff7c744299b05c348a8cb8f4e
Contabilidad para la Toma de Decisiones,A,2020-04-27,Sesion On-line CTD A Lunes 27 Abr (7:30am-9:30am),1:52:09,https://ca.bbcollab.com/recording/cf327a9a374a4603b1b52b5cb24f0163
Contabilidad para la Toma de Decisiones,A,2020-04-29,Sesion On-line CTD A Miercoles 29 Abr (7:30am-9:30am),1:05:45,https://ca.bbcollab.com/recording/f07cd79377bf4f1294ddaa67786a1ffc
Contabilidad para la Toma de Decisiones,A,2020-05-04,Sesion On-line CTD A Lunes 04 mayo (7:30am-09:30am),1:52:42,https://ca.bbcollab.com/recording/1459c6a3f12b4176a10d1fa68dd71efc
Contabilidad para la Toma de Decisiones,A,2020-05-06,Sesion On-line CTD A Miercoles 06 mayo (7:30am-09:30am),1:56:15,https://ca.bbcollab.com/recording/237022c3587f40f286365a5835afdb60
Contabilidad para la Toma de Decisiones,A,2020-05-08,Sesion On-line CTD A viernes 08 mayo (1:30pm-3:30pm),1:12:23,https://ca.bbcollab.com/recording/df04d46e67da4a418e426e2b4f401477
Contabilidad para la Toma de Decisiones,A,2020-05-08,Prueba,1:11:52,https://ca.bbcollab.com/recording/c84610c5bbf14c88b7bb7454b5e1e173
Contabilidad para la Toma de Decisiones,A,2020-05-11,Sesion On-line CTD A Lunes 11 mayo (7:30am-9:30am),1:53:15,https://ca.bbcollab.com/recording/21b8aebfeb054e4caf581989246a0d7e
Contabilidad para la Toma de Decisiones,A,2020-05-13,Sesion On-line CTD A Miércoles 13 mayo (7:30am-9:30am),1:53:48,https://ca.bbcollab.com/recording/3e67caa87a224180b495d48da8318f9c
Contabilidad para la Toma de Decisiones,A,2020-05-25,Sesion Online CTD A Lunes 25 mayo (7:30am-9:30am),1:51:20,https://ca.bbcollab.com/recording/ca620c84496641979ea152fd43364670
Contabilidad para la Toma de Decisiones,A,2020-05-27,Sesion Online CTD A Miercoles 27 mayo (7:30am-9:30am),1:55:24,https://ca.bbcollab.com/recording/229cd39d84214f2aa8353c120b731dcb
Contabilidad para la Toma de Decisiones,A,2020-05-29,Sesion CTD A Viernes 29 mayo (1:30pm-3:30pm),1:52:30,https://ca.bbcollab.com/recording/d458fe6eaa0c467f8f35cbf5629ae601
Contabilidad para la Toma de Decisiones,A,2020-06-01,Sesion On-line CTD A lunes 1 junio (7:30am-9:30am),1:47:00,https://ca.bbcollab.com/recording/fbd20a2736e148c8b8e3e5c2470c071c
Contabilidad para la Toma de Decisiones,A,2020-06-03,Sesion On-line CTD A miercoles 3 junio (7:30am-9:30am),1:27:59,https://ca.bbcollab.com/recording/a28f3c3c9b6a400ab8ef39aedf7d9ee5
Contabilidad para la Toma de Decisiones,A,2020-06-05,Sesion On-line CTD A viernes 5 junio (1:30pm-3:30pm),1:32:43,https://ca.bbcollab.com/recording/2328eee8994f406f94e0d20641ca7c13
Contabilidad para la Toma de Decisiones,A,2020-06-08,Sesion On-line CTD A lunes 8 junio (7:30am-9:30am),1:42:13,https://ca.bbcollab.com/recording/a9cb819173044e03a2cf9c0a4ce82415
Contabilidad para la Toma de Decisiones,A,2020-06-10,Sesion On-line CTD A miercoles 10 junio (7:30am-9:30am),0:39:48,https://ca.bbcollab.com/recording/9a15722a8084438987e3c698a2d4b5fb
Contabilidad para la Toma de Decisiones,A,2020-06-10,Sesion On-line CTD A miercoles 10 junio (7:30am-9:30am),0:21:34,https://ca.bbcollab.com/recording/b6e62b6226ed4baa9e37bbd69fcf22c8
Contabilidad para la Toma de Decisiones,A,2020-06-12,Sesion On-line CTD A viernes 12 junio (1:30pm-3:30pm),1:45:09,https://ca.bbcollab.com/recording/485fb71ad45c4cd6b4659d60ef8f5fc6
Contabilidad para la Toma de Decisiones,A,2020-06-15,Sesion On-line CTD A lunes 15 junio (7:30am-9:30am),1:55:16,https://ca.bbcollab.com/recording/2599ea8f459d4e50a576c4e9a64456cd
Contabilidad para la Toma de Decisiones,A,2020-06-17,Sesion On-line CTD A miercoles 17 junio (7:30am-9:30am),1:47:07,https://ca.bbcollab.com/recording/87337300003e4277992e1e46a9da501b
Contabilidad para la Toma de Decisiones,A,2020-06-22,Sesion On-line CTD A lunes 22 junio (7:30am-9:30am),1:52:46,https://ca.bbcollab.com/recording/646c0ff2d1e442a88472dd35e7cf7255
Contabilidad para la Toma de Decisiones,A,2020-06-24,Sesion On-line CTD A miercoles 24 junio (7:30am-9:30am),1:56:41,https://ca.bbcollab.com/recording/81991cf92e2c4556b06906cb2916bf86
Contabilidad para la Toma de Decisiones,A,2020-06-26,Sesion On-line CTD A viernes 26 junio (1:30pm-3:30pm),1:23:56,https://ca.bbcollab.com/recording/5ffe97b528054c01bb9da82f8c092d82
Contabilidad para la Toma de Decisiones,A,2020-07-01,Sesion On-line CTD A miércoles 01 julio (7:30am-9:30am),1:47:55,https://ca.bbcollab.com/recording/1266a0c7f3914a478975234efed63ecb
Contabilidad para la Toma de Decisiones,A,2020-07-03,Sesion On-line CTD A viernes 03 julio (1:30pm-3:30pm),1:12:08,https://ca.bbcollab.com/recording/827e17a9f9154aa9a9b39467bd8d30c1
Contabilidad para la Toma de Decisiones,A,2020-07-06,Sesion On-line CTD A lunes 6 julio (7:30am-9:30am),1:31:17,https://ca.bbcollab.com/recording/68aa89e42a624870996e29ddf143a44d
Contabilidad para la Toma de Decisiones,A,2020-07-08,Sesion On-line CTD A miercoles 8 julio (7:30am-9:30am),1:49:27,https://ca.bbcollab.com/recording/e33a6c4fd48747f58c1c0f4b24ff6fb5
Contabilidad para la Toma de Decisiones,A,2020-07-08,Sesion On-line CTD A miercoles 8 julio (7:30am-9:30am),1:49:27,https://ca.bbcollab.com/recording/e33a6c4fd48747f58c1c0f4b24ff6fb5
