Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Contabilidad y Finanzas Personales,A,2020-04-02,SESION 1,2:36:19,https://ca.bbcollab.com/recording/73447415efb04185aa1f2d000874e080
Contabilidad y Finanzas Personales,A,2020-04-16,Sesión 16 Abril,2:32:59,https://ca.bbcollab.com/recording/a8bdaabca1bd4a268ec04a54ca05474b
Contabilidad y Finanzas Personales,A,2020-04-16,Sesión 16 Abril,0:00:05,https://ca.bbcollab.com/recording/daa76b9c2c454b269d6a3f443a4b034f
Contabilidad y Finanzas Personales,A,2020-04-23,Sesión 23 Abril,2:49:57,https://ca.bbcollab.com/recording/e73cebfb1a764eb2842c75d132371f6e
Contabilidad y Finanzas Personales,A,2020-04-30,Sesión 30 Abril,2:49:50,https://ca.bbcollab.com/recording/126d543fc4224a10994dbcc9bbf2b81a
Contabilidad y Finanzas Personales,A,2020-05-07,Sesion 07 de Mayo,2:35:56,https://ca.bbcollab.com/recording/5b2721955531478781b3d8ff209b4d3b
Contabilidad y Finanzas Personales,A,2020-05-14,Sesión 14 Mayo,2:25:26,https://ca.bbcollab.com/recording/4a3829b8401c467b9f69322418fd6544
Contabilidad y Finanzas Personales,A,2020-05-28,Sesión 28 de Mayo,2:04:06,https://ca.bbcollab.com/recording/c8e1c6d265ed47e1bdff4021c517b5df
Contabilidad y Finanzas Personales,A,2020-06-04,Sesión 04 de Junio,2:39:54,https://ca.bbcollab.com/recording/ce6b428e4b384a3f855a03d4203c54cd
Contabilidad y Finanzas Personales,A,2020-06-11,Sesión 11 de junio,2:32:50,https://ca.bbcollab.com/recording/aba1fb6691694301ab92d1c33b530f56
Contabilidad y Finanzas Personales,A,2020-06-18,Sesión 18 de junio,2:33:28,https://ca.bbcollab.com/recording/806486c3600448069cceb7c0b016fc44
Contabilidad y Finanzas Personales,A,2020-06-25,Sesión 25 de junio,2:46:08,https://ca.bbcollab.com/recording/a04edf9758c04692ad1eb33822dea434
Contabilidad y Finanzas Personales,A,2020-07-02,Sesión 02 de Julio,2:47:31,https://ca.bbcollab.com/recording/5b12aa0a5e4a4d599ff18da5e3b9e389
Contabilidad y Finanzas Personales,A,2020-07-09,Sesión 09 de julio,2:35:03,https://ca.bbcollab.com/recording/e0ca0d7c626d46f6b6196b72772decb3
