Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Cross Cultural & International Managemen,A,2020-04-04,Session 01 - April 04,3:39:55,https://ca.bbcollab.com/recording/5c0b5131bfe347e1ac0f9d712d41832a
Cross Cultural & International Managemen,A,2020-04-18,Session 02 - April 18,3:24:47,https://ca.bbcollab.com/recording/c3738a06b3884492a4ae56d09e916af7
Cross Cultural & International Managemen,A,2020-04-25,Session 03 - April 25,3:36:01,https://ca.bbcollab.com/recording/98fd4f83af304e339fd3e51ba471f884
Cross Cultural & International Managemen,A,2020-05-02,Session 04 - May 02,3:37:46,https://ca.bbcollab.com/recording/76c74c69a96d4d12a385ea29bc8edc74
Cross Cultural & International Managemen,A,2020-05-09,Session 05 - May 09,3:14:56,https://ca.bbcollab.com/recording/b27da9d818784791a9a58bd4a4be3348
Cross Cultural & International Managemen,A,2020-05-16,Session 06 - May 16,3:12:32,https://ca.bbcollab.com/recording/4ed1cb00eca842d5946ef87171fe07e3
Cross Cultural & International Managemen,A,2020-05-30,Session 08 - May 30,3:28:33,https://ca.bbcollab.com/recording/9d1fdab3a5564afbbe7516a3f2461c10
Cross Cultural & International Managemen,A,2020-06-06,Session 09 - June 06,3:40:17,https://ca.bbcollab.com/recording/e58d874fd10443e8a1ef5ec48c2525b5
Cross Cultural & International Managemen,A,2020-06-20,Session 11 - June 20,3:21:38,https://ca.bbcollab.com/recording/582c20a2f1864b3798fdeffaf9087565
Cross Cultural & International Managemen,A,2020-06-27,Session 12 - June 27,3:31:43,https://ca.bbcollab.com/recording/f2b88c4b8b7b427c991c9ba04279a819
Cross Cultural & International Managemen,A,2020-07-04,Session 13 - July 04,2:16:22,https://ca.bbcollab.com/recording/137164b4528e4eaca8c80cb025cec675
Cross Cultural & International Managemen,A,2020-07-11,Session 14 - July 11,2:39:43,https://ca.bbcollab.com/recording/5307cd68ad5649828d22da85cb265f0e
Cross Cultural & International Managemen,A,2020-07-11,Session 14 - July 11,2:39:43,https://ca.bbcollab.com/recording/5307cd68ad5649828d22da85cb265f0e
