Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Administrativo II,A,2020-04-01,Clase 1/04,2:12:18,https://ca.bbcollab.com/recording/8c86aa1f1781415b8f7559af54312651
Derecho Administrativo II,A,2020-04-06,Clase 6/04,1:56:40,https://ca.bbcollab.com/recording/6000974b43e840828955b3e06db59ad7
Derecho Administrativo II,A,2020-04-08,Clase 8/04,3:07:57,https://ca.bbcollab.com/recording/ec4fc919721d45819ac9952ebe676b7f
Derecho Administrativo II,A,2020-04-13,Clase 13/04,1:59:54,https://ca.bbcollab.com/recording/64307aed2d794150bb5b4cf4081dae77
Derecho Administrativo II,A,2020-04-15,Clase 15/04,1:57:01,https://ca.bbcollab.com/recording/806320d415854a34932ae164c18d3e51
Derecho Administrativo II,A,2020-04-20,Clase 20/04,1:56:39,https://ca.bbcollab.com/recording/7653a99e91cc420f8bb4cf4daf13cf11
Derecho Administrativo II,A,2020-04-22,Clase 22/04,2:01:45,https://ca.bbcollab.com/recording/0ea1512e3668495396a5379ca2bf402f
Derecho Administrativo II,A,2020-04-27,Clase 27/04,1:50:52,https://ca.bbcollab.com/recording/074d515607054b1fbb21d80c8ddcf9d5
Derecho Administrativo II,A,2020-04-29,Clase 29/04,3:00:18,https://ca.bbcollab.com/recording/21184827821f4a588049dcc0345d10ba
Derecho Administrativo II,A,2020-05-04,Clase 04/05,2:01:20,https://ca.bbcollab.com/recording/44165f0e96e244ecbf09510cb0f18baf
Derecho Administrativo II,A,2020-05-06,Clase 06/05,1:53:58,https://ca.bbcollab.com/recording/db370c1ee917417399092be4d5578af0
Derecho Administrativo II,A,2020-05-11,Clase 11/05,2:03:51,https://ca.bbcollab.com/recording/d02d763690ad4081b0f4a39eca5f9c83
Derecho Administrativo II,A,2020-05-13,Clase 13/05,2:16:57,https://ca.bbcollab.com/recording/6d400c415bdd436eb48e4db1ab5b1b7e
Derecho Administrativo II,A,2020-05-25,Clase 25/05,1:22:52,https://ca.bbcollab.com/recording/23e7a4f8f12542e8aa56a75a42497b03
Derecho Administrativo II,A,2020-05-27,Clase 27/05,1:58:23,https://ca.bbcollab.com/recording/0280025fdac14afcbb65d4cf867550d7
Derecho Administrativo II,A,2020-06-01,Clase 01/06,1:55:15,https://ca.bbcollab.com/recording/db8f4392a59146ef8b9e9ea8f4a09520
Derecho Administrativo II,A,2020-06-03,Clase 03/06,1:50:08,https://ca.bbcollab.com/recording/12d8f1376c2348118a722c8a55331d45
Derecho Administrativo II,A,2020-06-08,Clase 08/06,2:25:52,https://ca.bbcollab.com/recording/91a0d164e9564699b1cfc41797ba066d
Derecho Administrativo II,A,2020-06-10,Clase 10/06,1:55:16,https://ca.bbcollab.com/recording/7d29323c01554675a0d855a9f478c03a
Derecho Administrativo II,A,2020-06-15,Clase 15/06,1:42:54,https://ca.bbcollab.com/recording/65e6849b5f5d4790b2e57b333a4ac030
Derecho Administrativo II,A,2020-06-17,Clase 17/06,2:37:45,https://ca.bbcollab.com/recording/3dc36bc099f344c88093ef9b06d9d473
Derecho Administrativo II,A,2020-06-22,Clase 22/06,1:52:17,https://ca.bbcollab.com/recording/8a992409a2f440a9bca9b4b7246f3e03
Derecho Administrativo II,A,2020-06-24,CLASE 24/06,1:50:06,https://ca.bbcollab.com/recording/346e72b86aab40f2a8d4c3a0f7c63d61
Derecho Administrativo II,A,2020-07-01,Clase 01/07,1:58:16,https://ca.bbcollab.com/recording/f40376365f2f4f46b1ec7dad75c0f449
Derecho Administrativo II,A,2020-07-01,Clase 01/07,1:58:16,https://ca.bbcollab.com/recording/f40376365f2f4f46b1ec7dad75c0f449
Derecho Administrativo II,A,2020-07-06,Clase 6/7,1:58:41,https://ca.bbcollab.com/recording/9d4bcdefcc8c4ae697f4a24fcd144892
Derecho Administrativo II,A,2020-07-06,Clase 6/7,1:58:41,https://ca.bbcollab.com/recording/9d4bcdefcc8c4ae697f4a24fcd144892
Derecho Administrativo II,A,2020-07-08,Clase 08/07,2:14:04,https://ca.bbcollab.com/recording/67290c0fc4c4408596ade76ed52a2bca
Derecho Administrativo II,A,2020-07-08,Clase 08/07,2:14:04,https://ca.bbcollab.com/recording/67290c0fc4c4408596ade76ed52a2bca
