Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Ambiental y Responsabilidad Soci,A,2020-03-30,Derecho Ambiental: sesión de clase,1:37:28,https://ca.bbcollab.com/recording/a5f50fed7ffa40eb9a5d6b4588e7a39f
Derecho Ambiental y Responsabilidad Soci,A,2020-04-01,Derecho Ambiental: sesión de clase,1:45:34,https://ca.bbcollab.com/recording/b78bf5af51c1477d914dcf1f01f61598
Derecho Ambiental y Responsabilidad Soci,A,2020-04-06,Derecho Ambiental: sesión de clase,1:44:05,https://ca.bbcollab.com/recording/9ef13362476c4258aef122627d6abdb5
Derecho Ambiental y Responsabilidad Soci,A,2020-04-08,Derecho Ambiental: sesión de clase,1:40:43,https://ca.bbcollab.com/recording/25d09593e2c0439c85414b6b12880aa2
Derecho Ambiental y Responsabilidad Soci,A,2020-04-13,Derecho Ambiental: sesión de clase,0:56:03,https://ca.bbcollab.com/recording/52761f7bd4664d97a0110d481bd30c24
Derecho Ambiental y Responsabilidad Soci,A,2020-04-13,Derecho Ambiental: sesión de clase,0:15:39,https://ca.bbcollab.com/recording/a0260b02df244714a663699531d9c341
Derecho Ambiental y Responsabilidad Soci,A,2020-04-15,Derecho Ambiental: sesión de clase,1:41:40,https://ca.bbcollab.com/recording/4c3f5fde4b694a979ef0798a4aaae3a4
Derecho Ambiental y Responsabilidad Soci,A,2020-04-20,Derecho Ambiental: sesión de clase,1:42:29,https://ca.bbcollab.com/recording/e0d267628dc04aeea417c13491e27b34
Derecho Ambiental y Responsabilidad Soci,A,2020-04-22,Derecho Ambiental: sesión de clase,1:46:40,https://ca.bbcollab.com/recording/5e0277a3a25f49f5a7d2bb0b83e2725b
Derecho Ambiental y Responsabilidad Soci,A,2020-04-27,Derecho Ambiental: sesión de clase,1:37:28,https://ca.bbcollab.com/recording/0eabf75e03d7487e8742a9d39e17d5fb
Derecho Ambiental y Responsabilidad Soci,A,2020-04-29,Derecho Ambiental: sesión de clase,1:42:51,https://ca.bbcollab.com/recording/5e6e4b335cbe4923bb6d6931cea9a69a
Derecho Ambiental y Responsabilidad Soci,A,2020-05-04,Derecho Ambiental: sesión de clase,1:46:06,https://ca.bbcollab.com/recording/e14e79ef8a2a456db33d1717c8dcdf8f
Derecho Ambiental y Responsabilidad Soci,A,2020-05-06,Derecho Ambiental: sesión de clase,1:40:56,https://ca.bbcollab.com/recording/bda534869fe14105a5a2bc33815bf7ec
Derecho Ambiental y Responsabilidad Soci,A,2020-05-11,Derecho Ambiental: sesión de clase,1:42:14,https://ca.bbcollab.com/recording/9d86a91b2e594d439d9a41c01e2e3649
Derecho Ambiental y Responsabilidad Soci,A,2020-05-13,Derecho Ambiental: sesión de clase,1:36:23,https://ca.bbcollab.com/recording/cab7b129c59f4233832ba8505a21b0fa
Derecho Ambiental y Responsabilidad Soci,A,2020-05-25,Derecho Ambiental: sesión de clase,1:41:21,https://ca.bbcollab.com/recording/160f97d582134a8a96f468d586811989
Derecho Ambiental y Responsabilidad Soci,A,2020-05-27,Derecho Ambiental: sesión de clase,2:14:02,https://ca.bbcollab.com/recording/13925181a6f44315925b2799c1e5efe8
Derecho Ambiental y Responsabilidad Soci,A,2020-06-03,Derecho Ambiental: sesión de clase,1:43:08,https://ca.bbcollab.com/recording/8ba643805fb947a0b1cfa4fda5249ba8
Derecho Ambiental y Responsabilidad Soci,A,2020-06-08,Derecho Ambiental: sesión de clase,1:38:19,https://ca.bbcollab.com/recording/7120a065d7c84a40879ebd9b12b99bc6
Derecho Ambiental y Responsabilidad Soci,A,2020-06-10,Derecho Ambiental: sesión de clase,1:31:07,https://ca.bbcollab.com/recording/857ff126c0b44fb89cf74cd618cff5c1
Derecho Ambiental y Responsabilidad Soci,A,2020-06-15,Derecho Ambiental: sesión de clase,1:32:39,https://ca.bbcollab.com/recording/9c7f7223a91146bb8b88b18019d92f09
Derecho Ambiental y Responsabilidad Soci,A,2020-06-17,Derecho Ambiental: sesión de clase,1:38:26,https://ca.bbcollab.com/recording/d43ca85ddcc748d4825ce453d17d7e6c
Derecho Ambiental y Responsabilidad Soci,A,2020-06-22,Derecho Ambiental: sesión de clase,1:42:52,https://ca.bbcollab.com/recording/bc7679beb3604c40a60ccbe2e5911516
Derecho Ambiental y Responsabilidad Soci,A,2020-06-24,Derecho Ambiental: sesión de clase,1:55:30,https://ca.bbcollab.com/recording/bad92902c5074d90aa40e87b42eff009
Derecho Ambiental y Responsabilidad Soci,A,2020-07-01,Derecho Ambiental: sesión de clase,1:39:20,https://ca.bbcollab.com/recording/34bf8fb5f498403795f0a7a29d40a745
Derecho Ambiental y Responsabilidad Soci,A,2020-07-06,Derecho Ambiental: sesión de clase,1:01:46,https://ca.bbcollab.com/recording/c8d5eaaa1b0748299e51354d0702dac0
Derecho Ambiental y Responsabilidad Soci,A,2020-07-08,Derecho Ambiental: sesión de clase,1:26:05,https://ca.bbcollab.com/recording/72bbda705dbe45a2ad7b79bab95a1664
Derecho Ambiental y Responsabilidad Soci,A,2020-07-08,Derecho Ambiental: sesión de clase,1:26:05,https://ca.bbcollab.com/recording/72bbda705dbe45a2ad7b79bab95a1664
