Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Civil y Comercial,A,2020-04-01,Sesión 1,1:39:32,https://ca.bbcollab.com/recording/f5f1f4989aca4a35a3ef6daab9de7dc4
Derecho Civil y Comercial,A,2020-04-03,Sesion 2,1:28:31,https://ca.bbcollab.com/recording/3070219123ac49559852b2343f782ea5
Derecho Civil y Comercial,A,2020-04-08,Sesión 3 Estado y Derecho,1:43:18,https://ca.bbcollab.com/recording/d464bcb6aca242aebd1dc8c1aa0def47
Derecho Civil y Comercial,A,2020-04-15,Fuentes del Derecho - Norma,1:40:32,https://ca.bbcollab.com/recording/0a61c4710dba4621a47c4d4d81ef6a3d
Derecho Civil y Comercial,A,2020-04-17,Control 1 Trabajos Exposición,1:37:43,https://ca.bbcollab.com/recording/33a8c0712bf5422aaf77d2c5ae88e7e3
Derecho Civil y Comercial,A,2020-04-22,RÉGIMEN ECONÓMICO CONSTITUCIÓN 1993,1:38:09,https://ca.bbcollab.com/recording/190e74667d8b454aa8ccfa9895fd3d5c
Derecho Civil y Comercial,A,2020-04-24,PC 1 Régimen Económico,1:42:59,https://ca.bbcollab.com/recording/659b9e90be9d424d843081e96bf88452
Derecho Civil y Comercial,A,2020-04-29,Exposición 1 Organismos Constitucionales,1:40:37,https://ca.bbcollab.com/recording/1a283cb940a04aaeb89fefa2cc03d783
Derecho Civil y Comercial,A,2020-05-06,Formas Asociativas,0:00:21,https://ca.bbcollab.com/recording/3c853f49d2df42049b058d86e16fed2a
Derecho Civil y Comercial,A,2020-05-06,Formas Asociativas,1:38:41,https://ca.bbcollab.com/recording/e343ffd59a9c49d2a4ce0e7fb95ec598
Derecho Civil y Comercial,A,2020-05-08,Persona jurídicas lucrativas,0:00:18,https://ca.bbcollab.com/recording/713d02bfe0664dd39c3dacdb89b22b4a
Derecho Civil y Comercial,A,2020-05-08,Persona jurídicas lucrativas,1:39:15,https://ca.bbcollab.com/recording/806ab015517749869eee695781f38d60
Derecho Civil y Comercial,A,2020-05-13,FORMALIZACIÓN DE LA EMPRESA,1:41:48,https://ca.bbcollab.com/recording/81c5d4c51ea84edf9e3ffced81264af2
Derecho Civil y Comercial,A,2020-05-13,FORMALIZACIÓN DE LA EMPRESA,0:00:40,https://ca.bbcollab.com/recording/af68fa52943d450bb2c7a9a4f3b3410f
Derecho Civil y Comercial,A,2020-05-15,Control 2 Exposición,1:42:58,https://ca.bbcollab.com/recording/04ef51b7f8264c8a81c963a8259a07d6
Derecho Civil y Comercial,A,2020-05-22,Examen Parcial,2:19:48,https://ca.bbcollab.com/recording/bc554b535fc5429c8ff0d7d89340cbea
Derecho Civil y Comercial,A,2020-05-27,Órganos societarios,1:40:44,https://ca.bbcollab.com/recording/d1ef229464a643d092a996e77bdc039a
Derecho Civil y Comercial,A,2020-05-29,SACS- Derecho Penal aplicado a la empresa,1:41:08,https://ca.bbcollab.com/recording/15f36f388fbe40b684b2032d8fe8cd59
Derecho Civil y Comercial,A,2020-06-03,Reorganización societaria,1:41:19,https://ca.bbcollab.com/recording/94441dd5ba07469196142e498cc511bf
Derecho Civil y Comercial,A,2020-06-05,PC 2 Ley General de Sociedades,1:42:04,https://ca.bbcollab.com/recording/6bad273fa80e4de2931bf6a8fa291f41
Derecho Civil y Comercial,A,2020-06-10,"Disolución, Liquidación y Extinción",1:40:19,https://ca.bbcollab.com/recording/9c1f4ee262cd4ed782434781087b284b
Derecho Civil y Comercial,A,2020-06-12,Derechos Reales,1:40:57,https://ca.bbcollab.com/recording/788f8ac39f6a41bb86cfeccfe81c3b8e
Derecho Civil y Comercial,A,2020-06-17,Contratos,1:41:12,https://ca.bbcollab.com/recording/f62f13679e2d45569b4aa7830e1070ac
Derecho Civil y Comercial,A,2020-06-19,Control de Lectura 3,1:39:29,https://ca.bbcollab.com/recording/1ea1e2a16577445d8b2a39c1c0f3201a
Derecho Civil y Comercial,A,2020-06-24,Signos Distintivos,1:41:23,https://ca.bbcollab.com/recording/45e06561a0244824bba92c866a7fd646
Derecho Civil y Comercial,A,2020-06-26,Signos Distintivos,1:43:44,https://ca.bbcollab.com/recording/ab59f9f619184053b6518c1601745677
Derecho Civil y Comercial,A,2020-07-01,Garantías,1:40:29,https://ca.bbcollab.com/recording/7c89ae3c8c43499aa427a008ad428277
Derecho Civil y Comercial,A,2020-07-03,Exposición 2 Código del Consumidor,1:43:16,https://ca.bbcollab.com/recording/2884bc1afe014feea6ae176cbf0c1724
Derecho Civil y Comercial,A,2020-07-08,Sistema Registral,1:40:17,https://ca.bbcollab.com/recording/8c59878b43064c8d9a56bf48706171ea
Derecho Civil y Comercial,A,2020-07-08,Sistema Registral,1:40:17,https://ca.bbcollab.com/recording/8c59878b43064c8d9a56bf48706171ea
Derecho Civil y Comercial,A,2020-07-10,Títulos Valores,1:40:26,https://ca.bbcollab.com/recording/a095c9623a5e447b9266a7ec835042c6
Derecho Civil y Comercial,A,2020-07-10,Títulos Valores,1:40:26,https://ca.bbcollab.com/recording/a095c9623a5e447b9266a7ec835042c6
Derecho Civil y Comercial,A,2020-07-17,Examen Final,2:21:21,https://ca.bbcollab.com/recording/2f028d1799734aa0a8902a89fa073a32
Derecho Civil y Comercial,A,2020-07-17,Examen Final,2:21:21,https://ca.bbcollab.com/recording/2f028d1799734aa0a8902a89fa073a32
