Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Civil y Comercial,C,2020-03-30,Introducción al Derecho,0:23:00,https://ca.bbcollab.com/recording/91371e3e92514873b043fdcd081ec58c
Derecho Civil y Comercial,C,2020-04-03,Sesión 2,0:10:45,https://ca.bbcollab.com/recording/cfde8af0aa23467b99894c909ba996a5
Derecho Civil y Comercial,C,2020-04-03,Sesión 2,1:38:34,https://ca.bbcollab.com/recording/2b7a1f6f66cd4a5487b52f1c4da643dc
Derecho Civil y Comercial,C,2020-04-06,Sesión 3,1:38:01,https://ca.bbcollab.com/recording/fa6f78895a4b471da3a7dec7ffc680ea
Derecho Civil y Comercial,C,2020-04-13,Sesion 4,0:00:41,https://ca.bbcollab.com/recording/4e6534dabace47b8be78c78915e3a8fa
Derecho Civil y Comercial,C,2020-04-13,Sesion 4,1:38:06,https://ca.bbcollab.com/recording/a44ecf9ac7e04bc1b20f3efd6f03667b
Derecho Civil y Comercial,C,2020-04-17,Control 1 Trabajo Colaborativo Exposición,0:14:33,https://ca.bbcollab.com/recording/0262a54581024d85a44f5c0a57fea804
Derecho Civil y Comercial,C,2020-04-17,Control 1 Trabajo Colaborativo Exposición,1:24:36,https://ca.bbcollab.com/recording/f9b413e9a2e14902a84f1edb360a06c4
Derecho Civil y Comercial,C,2020-04-20,Régimen Económico Cons.93,1:41:20,https://ca.bbcollab.com/recording/48a5dc1c91704917b6ba8d10b60f15b2
Derecho Civil y Comercial,C,2020-04-24,PC 1 Régimen Económico,1:46:42,https://ca.bbcollab.com/recording/3910d9cc4919429bb38fd59d9fce64d4
Derecho Civil y Comercial,C,2020-04-27,Exposición 1 Organismos Constitucionales,1:48:34,https://ca.bbcollab.com/recording/33f9129a47e44ad18528dfb5da26e05b
Derecho Civil y Comercial,C,2020-05-04,Formas Asociativas,0:00:21,https://ca.bbcollab.com/recording/7a59309701e34ba189b065c427799e68
Derecho Civil y Comercial,C,2020-05-04,Formas Asociativas,1:39:00,https://ca.bbcollab.com/recording/dfb1d02d251947b6b9adf23dc9c7a963
Derecho Civil y Comercial,C,2020-05-08,Personas Jurídicas lucrativas,1:42:21,https://ca.bbcollab.com/recording/7fce8039f1c743d6be14bdf589d91a51
Derecho Civil y Comercial,C,2020-05-11,Formalización de la empresa,1:42:13,https://ca.bbcollab.com/recording/7d21859ef66440f290be68059e04d3c3
Derecho Civil y Comercial,C,2020-05-11,Formalización de la empresa,0:00:31,https://ca.bbcollab.com/recording/d83be1d8c1884a78a69135506abe1da7
Derecho Civil y Comercial,C,2020-05-15,Control 2 Exposición,1:13:45,https://ca.bbcollab.com/recording/abdf3439bf634ebc96884cd491feef65
Derecho Civil y Comercial,C,2020-05-22,Examen Parcial,2:19:15,https://ca.bbcollab.com/recording/b52b18bbd22a4829ae756a887b86aef2
Derecho Civil y Comercial,C,2020-05-25,Órganos Societarios,0:00:36,https://ca.bbcollab.com/recording/69a54078ce6a4395ae628240af98b9de
Derecho Civil y Comercial,C,2020-05-25,Órganos Societarios,1:39:14,https://ca.bbcollab.com/recording/ae6d4c81b00b46b3bacb2aced1dcc3bf
Derecho Civil y Comercial,C,2020-06-01,Reorganización Societaria,0:00:25,https://ca.bbcollab.com/recording/27ce15118b344ef29401db05e230da74
Derecho Civil y Comercial,C,2020-06-01,Reorganización Societaria,1:37:11,https://ca.bbcollab.com/recording/94bfa16eaf114eafa0a9f14f86a5d5da
Derecho Civil y Comercial,C,2020-06-05,PC2 Ley General de Sociedades,1:42:54,https://ca.bbcollab.com/recording/1e1a9d3cd6294e50ba684f8656d2afab
Derecho Civil y Comercial,C,2020-06-08,Disolución y Liquidación,1:39:00,https://ca.bbcollab.com/recording/2f7bca8f8aa2433c90a141c6cc65f0c9
Derecho Civil y Comercial,C,2020-06-08,Disolución y Liquidación,0:00:22,https://ca.bbcollab.com/recording/8dc46111e1984d5d9696ce5baed6957c
Derecho Civil y Comercial,C,2020-06-12,Derechos Reales,1:42:23,https://ca.bbcollab.com/recording/7c1742c9f7b64e2d8c984a63234066c2
Derecho Civil y Comercial,C,2020-06-15,Contratos,1:40:32,https://ca.bbcollab.com/recording/0a12f434f7af4480a165be15511a4b70
Derecho Civil y Comercial,C,2020-06-15,Contratos,0:00:28,https://ca.bbcollab.com/recording/fcfac677eb154620afc4b7af14d37e0f
Derecho Civil y Comercial,C,2020-06-19,Control de Lectura 3,1:40:32,https://ca.bbcollab.com/recording/88197a181166409693bf86ee483bcecb
Derecho Civil y Comercial,C,2020-06-22,Signos Distintivos,1:42:41,https://ca.bbcollab.com/recording/dab0f31646404158b7a2b248a82720c2
Derecho Civil y Comercial,C,2020-06-26,PC 3 Signos Distintivos,1:46:31,https://ca.bbcollab.com/recording/eb49f7cb9b4f4cdb811fdf414886a19c
Derecho Civil y Comercial,C,2020-07-03,Exposición 2 Código del Consumidor,1:45:03,https://ca.bbcollab.com/recording/e74405e78e2347329ee6ee084d3374dd
Derecho Civil y Comercial,C,2020-07-06,Garantías/Sistema Registral,1:41:48,https://ca.bbcollab.com/recording/55df85ff4921472698d839c0814e8a5f
Derecho Civil y Comercial,C,2020-07-10,Títulos Valores,1:38:43,https://ca.bbcollab.com/recording/f7294c92f8b74e3aba582630c27bb87d
Derecho Civil y Comercial,C,2020-07-10,Títulos Valores,1:38:43,https://ca.bbcollab.com/recording/f7294c92f8b74e3aba582630c27bb87d
Derecho Civil y Comercial,C,2020-07-17,Examen Final,2:22:04,https://ca.bbcollab.com/recording/494222badb0b4227817c9d150aed7cb6
