Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Internacional Público,A,2020-03-30,Semana 1 - Sesión 1,1:36:09,https://ca.bbcollab.com/recording/b347ab77455d48298892e4743a95b0c0
Derecho Internacional Público,A,2020-04-01,Semana 1 - Sesión 2,1:29:01,https://ca.bbcollab.com/recording/88227cff20264069897937123b111607
Derecho Internacional Público,A,2020-04-06,Semana 2 - Sesión 3,1:32:01,https://ca.bbcollab.com/recording/10a295aabcd345d3b992f7ba46bef83e
Derecho Internacional Público,A,2020-04-08,Semana 2 - Sesión 4,1:42:03,https://ca.bbcollab.com/recording/bfb28663399445328950b1c904b49de0
Derecho Internacional Público,A,2020-04-13,Semana 3 - Sesión 5,1:35:25,https://ca.bbcollab.com/recording/bc739cc60f6547d79c6589ef6b004ab1
Derecho Internacional Público,A,2020-04-15,Semana 3 - Sesión 6,1:34:35,https://ca.bbcollab.com/recording/8530670feeec45249bef7bc203628383
Derecho Internacional Público,A,2020-04-20,Semana 4 - Sesión 7,1:35:05,https://ca.bbcollab.com/recording/7acda1ca78a54195b0b44a5841affb70
Derecho Internacional Público,A,2020-04-22,Semana 4 - Sesión 8,1:15:59,https://ca.bbcollab.com/recording/33fd857224bc4d9c87cf04d7ca22957f
Derecho Internacional Público,A,2020-04-27,Semana 5 - Sesión 9,1:34:34,https://ca.bbcollab.com/recording/aab8fee1021b4543b77b351d739a2a37
Derecho Internacional Público,A,2020-04-29,Semana 5 - Sesión 10,1:36:56,https://ca.bbcollab.com/recording/c64153f0ae5e4eb593e8c4411ad7f453
Derecho Internacional Público,A,2020-05-04,Semana 6 - Sesión 11,0:14:15,https://ca.bbcollab.com/recording/5995ed3219d5459f9cdba819330833a8
Derecho Internacional Público,A,2020-05-04,Semana 6 - Sesión 11,1:08:22,https://ca.bbcollab.com/recording/6d7aa69a7a7849a8a3b2ee641a3e890d
Derecho Internacional Público,A,2020-05-06,Semana 6 - Sesión 12,1:37:34,https://ca.bbcollab.com/recording/ba53a66626914936b8fa94c6c32edd7b
Derecho Internacional Público,A,2020-05-11,Semana 7 - Sesión 13,1:39:25,https://ca.bbcollab.com/recording/83708167c7fd46788f876653d21a2e4f
Derecho Internacional Público,A,2020-05-13,Semana 7 - Sesión 14,1:34:46,https://ca.bbcollab.com/recording/de28a66bda38448898f9fba4b17b8039
Derecho Internacional Público,A,2020-05-25,Semana 9 - Sesión 15,1:31:20,https://ca.bbcollab.com/recording/7fd5aaa0ba3b46a19268acfd8fb27906
Derecho Internacional Público,A,2020-05-27,Semana 9 - Sesión 16,1:36:08,https://ca.bbcollab.com/recording/d880509d87b440f18e04fb173a6b1c00
Derecho Internacional Público,A,2020-06-01,Semana 10 - Sesión 17,1:26:46,https://ca.bbcollab.com/recording/affdc5e412fe46e3a23f3be0ec23f015
Derecho Internacional Público,A,2020-06-03,Semana 10 - Sesión 18,1:42:31,https://ca.bbcollab.com/recording/6bcfa82a28de408b876df5b8805c6c92
Derecho Internacional Público,A,2020-06-08,Semana 11 - Sesión 19,1:34:39,https://ca.bbcollab.com/recording/7ba6ac26344543969dfc112756ef2c9a
Derecho Internacional Público,A,2020-06-10,Semana 11 - Sesión 20,0:54:36,https://ca.bbcollab.com/recording/55a26c6725234ecca849c4c73a71ee73
Derecho Internacional Público,A,2020-06-10,Semana 11 - Sesión 20,0:40:56,https://ca.bbcollab.com/recording/ed6cced777ef46898e59d5fa548f9d3e
Derecho Internacional Público,A,2020-06-15,Semana 12 - Sesión 21,1:34:24,https://ca.bbcollab.com/recording/af1b961f2dac4db7a9e3dd07572bc2cb
Derecho Internacional Público,A,2020-06-17,Semana 12 - Sesión 22,1:40:16,https://ca.bbcollab.com/recording/c75dd69fbc044a7eb7682e6c0e1bc49c
Derecho Internacional Público,A,2020-06-22,Semana 13 - Sesión 23,1:32:18,https://ca.bbcollab.com/recording/dac2cc3a3c424ea8aae57231e351ca05
Derecho Internacional Público,A,2020-06-24,Semana 13 - Sesión 24,1:32:16,https://ca.bbcollab.com/recording/9773195453964edeaf334cc2f7122af8
Derecho Internacional Público,A,2020-07-01,Semana 14 - Sesión 25,1:38:34,https://ca.bbcollab.com/recording/30b1c7d5625a4428854936a97c6761bd
Derecho Internacional Público,A,2020-07-06,Semana 15 - Sesión 26,1:24:25,https://ca.bbcollab.com/recording/c4ab369d229a4899855f9ce9b4e06826
Derecho Internacional Público,A,2020-07-08,Semana 15 - Sesión 27,1:36:56,https://ca.bbcollab.com/recording/dbd895a69c6c4902b1cd88031a974dfd
Derecho Internacional Público,A,2020-07-08,Semana 15 - Sesión 27,1:36:56,https://ca.bbcollab.com/recording/dbd895a69c6c4902b1cd88031a974dfd
Derecho Internacional Público,A,2020-07-13,Examen final,4:11:34,https://ca.bbcollab.com/recording/3e071af6b2a242f0b9434ecdce70d81f
Derecho Internacional Público,A,2020-07-13,Examen final,4:11:34,https://ca.bbcollab.com/recording/3e071af6b2a242f0b9434ecdce70d81f
