Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Laboral y Tributario,A,2020-03-31,INTRODUCCION: SISTEMA TRIBUTARIO,1:53:51,https://ca.bbcollab.com/recording/2d5ae5dfef204461b87852bea420f104
Derecho Laboral y Tributario,A,2020-04-02,Sistema Tributario Peruano: Principios,1:28:55,https://ca.bbcollab.com/recording/6e2a30acc3644189a59f2fcba5d98b64
Derecho Laboral y Tributario,A,2020-04-07,SISTEMA TRIBUTARIO PERUANO,1:44:58,https://ca.bbcollab.com/recording/e3c9f02ece484b5888b46e4f8a599af9
Derecho Laboral y Tributario,A,2020-04-14,HECHO IMPONIBLE Y FORMAS DE EXTINGUIR DEUDA TRIBUTARIA,1:46:12,https://ca.bbcollab.com/recording/c4ac38b07fe84e4eb1674f640a3c47fc
Derecho Laboral y Tributario,A,2020-04-16,FORMAS DE EXTINGUIR LA DEUDA TRIBUTARIA,1:47:55,https://ca.bbcollab.com/recording/0cfffb81fe87432f867c28c5d1e20801
Derecho Laboral y Tributario,A,2020-04-21,FORMAS DE EXTINGUIR DEUDA TRIBUTARIA,1:45:04,https://ca.bbcollab.com/recording/80d4575def9d4b2bb8fdfc787ffc80a8
Derecho Laboral y Tributario,A,2020-04-23,PRESCRIPCIÓN TRIBUTAT}RIA.,2:07:30,https://ca.bbcollab.com/recording/f75fd6de6bf44d309856dc14a2bf8d5f
Derecho Laboral y Tributario,A,2020-04-28,FACULTADES DE LA AD. TRIB.,0:15:48,https://ca.bbcollab.com/recording/91fd66f6c253488896dab566c620009f
Derecho Laboral y Tributario,A,2020-04-28,FACULTADES E LA ADMINISTRACION TRIBUTARIA,0:19:19,https://ca.bbcollab.com/recording/be608608000c4e59bdbd63351247fe0b
Derecho Laboral y Tributario,A,2020-04-28,FACULTADES E LA ADMINISTRACION TRIBUTARIA,1:35:31,https://ca.bbcollab.com/recording/f94a114560ca4276bcf14d62fc26d452
Derecho Laboral y Tributario,A,2020-04-30,FACULTADES DE LA ADMINISTRACIÓN RIBUTARIA,1:44:34,https://ca.bbcollab.com/recording/6408565b00fa423ba58dce3d624a6720
Derecho Laboral y Tributario,A,2020-05-05,FISCALIZACIÓN TRIBUTARIA,1:41:21,https://ca.bbcollab.com/recording/2b620f5eec824e96bf84d6b954b5d835
Derecho Laboral y Tributario,A,2020-05-07,FACULTAD SANCIONADORA: INFRACCIONES Y DELITOS TRIBUTARIOS,1:26:10,https://ca.bbcollab.com/recording/30cbd17e41bf41f986208e18b42fe973
Derecho Laboral y Tributario,A,2020-05-07,FACULTAD SANCIONADORA: INFRACCIONES Y DELITOS TRIBUTARIOS,0:06:15,https://ca.bbcollab.com/recording/47d69583ec2e42f585f691782db2db35
Derecho Laboral y Tributario,A,2020-05-07,FACULTAD SANCIONADORA: INFRACCIONES Y DELITOS TRIBUTARIOS,0:19:00,https://ca.bbcollab.com/recording/fcc0aac9e78148df8ff6b4e336c04026
Derecho Laboral y Tributario,A,2020-05-12,DERECHOS Y OBLIGACIONES DE LOS ADMINISTRADOS,1:43:33,https://ca.bbcollab.com/recording/083ec5db4c524127888de6814f18254b
Derecho Laboral y Tributario,A,2020-05-12,DERECHOS Y OBLIGACIONES DE LOS ADMINISTRADOS,0:03:18,https://ca.bbcollab.com/recording/113f4483ebc0411dbada0567b4e99ec3
Derecho Laboral y Tributario,A,2020-05-14,IMPUESTO A LA RENTA,1:48:47,https://ca.bbcollab.com/recording/80b7068c43334171bba604e66eefbf48
Derecho Laboral y Tributario,A,2020-05-19,EXAMEN PARCIAL,0:15:32,https://ca.bbcollab.com/recording/d67ab522747442f98969c745332006fc
Derecho Laboral y Tributario,A,2020-05-19,EXAMEN PARCIAL,2:47:47,https://ca.bbcollab.com/recording/1b3b0266eca845c4bbe70c9800f54d30
Derecho Laboral y Tributario,A,2020-05-26,PRINCIPIOS CONSTITUCIONALES LABORALES,1:53:31,https://ca.bbcollab.com/recording/f714e824550c445db678bdad441f6bfd
Derecho Laboral y Tributario,A,2020-05-28,PRINCIPIOS CONSTITUCIONALES LABORALES,1:48:32,https://ca.bbcollab.com/recording/dbe3e0e4090e44b889adf25e02fd657b
Derecho Laboral y Tributario,A,2020-06-02,PRINCIPIOS CONSTITUCIONALES LABORALES,0:15:17,https://ca.bbcollab.com/recording/def6f336c561416296d4c895e50320da
Derecho Laboral y Tributario,A,2020-06-04,PRINCIPIOS LABORALES: CONTRATO DE TRABJO,1:50:19,https://ca.bbcollab.com/recording/56db4383c69a4024b6361fc1bce670b0
Derecho Laboral y Tributario,A,2020-06-09,CONTRATO DE TRABAJO Y SU ANÁLISIS,1:51:04,https://ca.bbcollab.com/recording/3762654d07b34a55937c44107da31871
Derecho Laboral y Tributario,A,2020-06-11,SUSPENSIÓN DE LA RELACIÓN LABORAL Y EXTINCIÓN DEL CONTRATO DE TRABAJO,1:55:12,https://ca.bbcollab.com/recording/bed18339d52746109398ea49da2d4482
Derecho Laboral y Tributario,A,2020-06-16,SUSPENSION DE LA RELACION LABORAL: CASOS,1:46:35,https://ca.bbcollab.com/recording/db6e9e2bc13e41d0a5476a447ae27b77
Derecho Laboral y Tributario,A,2020-06-18,TERMINACION DEL CONTRATO DE TRABAJO: EFECTOS,1:52:38,https://ca.bbcollab.com/recording/7cdfd3891ff34652a2fcb75108f25d14
Derecho Laboral y Tributario,A,2020-06-23,DESPIDO LABORAL: CAUSAS Y EFECTOS,1:53:59,https://ca.bbcollab.com/recording/ff708905fe8842f794347c7d76b7fd57
Derecho Laboral y Tributario,A,2020-06-23,DESPIDO LABORAL: EFECTOS,1:35:29,https://ca.bbcollab.com/recording/1d7161b2f39a46dda57b2aafc7afd344
Derecho Laboral y Tributario,A,2020-06-25,DESPIDO LABORAL : CAUSAS Y EFECTOS,1:45:13,https://ca.bbcollab.com/recording/be0b2d914a5247ceacda599f364edbe3
Derecho Laboral y Tributario,A,2020-06-30,DERECHOS Y OBLIGACIONES DE LAS PARTES DEL CONTRATO DE TRABAJO,1:51:12,https://ca.bbcollab.com/recording/d6f4cb8f16be48d484946b40da7439f8
Derecho Laboral y Tributario,A,2020-07-02,"DESPIDO ARBITRARIO, INCAUSADO, FRAUDULENTO Y NULO: CASOS",1:47:26,https://ca.bbcollab.com/recording/3b2068b8b81e491d84405e595d946b4f
Derecho Laboral y Tributario,A,2020-07-07,"DERECHO COLECTIVO: SINDICALISMO, NEGOCIACIÓN COLECTIVA Y HUELG LABORAL",1:50:22,https://ca.bbcollab.com/recording/77b1c92ac5174fb8969b54bc8885b302
Derecho Laboral y Tributario,A,2020-07-09,REPASO GENERAL,1:34:15,https://ca.bbcollab.com/recording/11c7afe0fba74f1babde2061ce435125
Derecho Laboral y Tributario,A,2020-07-09,REPASO GENERAL,1:34:15,https://ca.bbcollab.com/recording/11c7afe0fba74f1babde2061ce435125
Derecho Laboral y Tributario,A,2020-07-14,EXAMEN FINAL,1:00:26,https://ca.bbcollab.com/recording/043f448b16b240129fdf08b6073beac6
