Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Laboral y Tributario,B,2020-04-08,Clases Laboral y Tributario B,1:40:31,https://ca.bbcollab.com/recording/cebc0f2a91654b4f97e0653b61d49720
Derecho Laboral y Tributario,B,2020-04-13,Clases Laboral y Tributario B,1:58:52,https://ca.bbcollab.com/recording/6d944959179a4debba054bfd65a0d0d3
Derecho Laboral y Tributario,B,2020-04-15,Clases Laboral y Tributario B,1:55:32,https://ca.bbcollab.com/recording/0ee7452548524af2a7ea8b4dc972afab
Derecho Laboral y Tributario,B,2020-04-20,Clases Laboral y Tributario B,1:38:52,https://ca.bbcollab.com/recording/cd58fa55a3df415e949ba64d17d8fd3a
Derecho Laboral y Tributario,B,2020-04-22,Clases Laboral y Tributario B,1:58:25,https://ca.bbcollab.com/recording/979cca375f744d908eace8285a5d88aa
Derecho Laboral y Tributario,B,2020-04-27,Clases Laboral y Tributario B,1:43:38,https://ca.bbcollab.com/recording/c9e69f2513274dd18101df6a743dbe22
Derecho Laboral y Tributario,B,2020-04-29,Clases Laboral y Tributario B,1:50:09,https://ca.bbcollab.com/recording/f8c32a5fb7854be5874965bd18fd797b
Derecho Laboral y Tributario,B,2020-05-04,Clases Laboral y Tributario B,1:47:42,https://ca.bbcollab.com/recording/be8cc814b39247a29f31555b42509129
Derecho Laboral y Tributario,B,2020-05-06,Clases Laboral y Tributario B,1:52:32,https://ca.bbcollab.com/recording/0dbe1128ddc24841aba0318b4af7adc1
Derecho Laboral y Tributario,B,2020-05-11,Clases Laboral y Tributario B,1:53:48,https://ca.bbcollab.com/recording/ba38714909e7441c8ae7cb1ffd176340
Derecho Laboral y Tributario,B,2020-05-15,Clases Laboral y Tributario B,1:34:52,https://ca.bbcollab.com/recording/5c0e51f0db26414aa4b7ac20b59439d1
Derecho Laboral y Tributario,B,2020-05-25,Clases Laboral y Tributario B,1:47:38,https://ca.bbcollab.com/recording/8d8051448c484cd99f071c2ce17392f9
Derecho Laboral y Tributario,B,2020-05-27,Clases Laboral y Tributario B,1:54:26,https://ca.bbcollab.com/recording/5915b05f6c1e4fffae0b349871ff68ee
Derecho Laboral y Tributario,B,2020-06-01,Clases Laboral y Tributario B,1:41:57,https://ca.bbcollab.com/recording/5a94fae3eb6f4d8f8ea4e8face0d6b86
Derecho Laboral y Tributario,B,2020-06-03,Clases Laboral y Tributario B,1:51:35,https://ca.bbcollab.com/recording/7806169b324b4fdaa1ec6cf62854e250
Derecho Laboral y Tributario,B,2020-06-08,Clases Laboral y Tributario B,2:13:34,https://ca.bbcollab.com/recording/8f30041d95a2458ba23bb7bccd8320b8
Derecho Laboral y Tributario,B,2020-06-10,Clases Laboral y Tributario B,1:52:12,https://ca.bbcollab.com/recording/c6591889c4b44ea389105d5db44678f1
Derecho Laboral y Tributario,B,2020-06-15,Clases Laboral y Tributario B,1:48:11,https://ca.bbcollab.com/recording/860c9d5ce81c401e91e6641046928503
Derecho Laboral y Tributario,B,2020-06-17,Clases Laboral y Tributario B,1:49:54,https://ca.bbcollab.com/recording/1192f111b0284cacbe66411c40d542ab
Derecho Laboral y Tributario,B,2020-06-22,Clases Laboral y Tributario B,1:46:21,https://ca.bbcollab.com/recording/aa9b5fd5357d4050bfc2af6984ce09fb
Derecho Laboral y Tributario,B,2020-06-24,Clases Laboral y Tributario B,1:52:32,https://ca.bbcollab.com/recording/4a9764ca48a647ee81577e626e34bbb8
Derecho Laboral y Tributario,B,2020-07-01,Clases Laboral y Tributario B,1:44:08,https://ca.bbcollab.com/recording/00cb025cfb744c5891e02c5fd3239897
Derecho Laboral y Tributario,B,2020-07-06,Clases Laboral y Tributario B,1:44:07,https://ca.bbcollab.com/recording/7b5e847ef37f441f8c7d1adbd0cb6d27
Derecho Laboral y Tributario,B,2020-07-08,Clases Laboral y Tributario B,1:47:18,https://ca.bbcollab.com/recording/e72fe9e76634486db93058635593aba6
Derecho Laboral y Tributario,B,2020-07-08,Clases Laboral y Tributario B,1:47:18,https://ca.bbcollab.com/recording/e72fe9e76634486db93058635593aba6
