Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Laboral y Tributario,D,2020-03-31,Primera Clase,1:25:25,https://ca.bbcollab.com/recording/660b44d9bc8f418fb6bfbc3c664f77be
Derecho Laboral y Tributario,D,2020-04-02,Segunda Clase,1:43:22,https://ca.bbcollab.com/recording/410ad4031ae4459c96613664bb0c9214
Derecho Laboral y Tributario,D,2020-04-07,Tercera Clase,1:21:31,https://ca.bbcollab.com/recording/3d11aa9589e74089bd09538b11b754c8
Derecho Laboral y Tributario,D,2020-04-14,Cuarta Clase,1:41:14,https://ca.bbcollab.com/recording/7af3ea5ef1b545c1bbb10d2611e561d3
Derecho Laboral y Tributario,D,2020-04-16,Quinta Clase,1:31:00,https://ca.bbcollab.com/recording/3d937c072828497aa21ae2b126595c75
Derecho Laboral y Tributario,D,2020-04-21,Sexta Clase,1:28:21,https://ca.bbcollab.com/recording/7a257fa6f74240e7b030a55f94003ad9
Derecho Laboral y Tributario,D,2020-04-23,Clase 23 de abril,1:43:08,https://ca.bbcollab.com/recording/df8725048e774ab4a143b3454bdf1748
Derecho Laboral y Tributario,D,2020-04-28,Clase 28 de abril,1:49:44,https://ca.bbcollab.com/recording/5872346377464dfa9dd3f647dd8e9f79
Derecho Laboral y Tributario,D,2020-04-30,Clase 30 de abril,1:41:26,https://ca.bbcollab.com/recording/e0922c39c7344152809aa4d1440da3c8
Derecho Laboral y Tributario,D,2020-05-05,Clase 5 de mayo,1:43:07,https://ca.bbcollab.com/recording/5e7c26db108c425d89c9f2a5a809e3d3
Derecho Laboral y Tributario,D,2020-05-07,Clase 7 de mayo,1:37:36,https://ca.bbcollab.com/recording/d70a4414df0241cda158e875d8efcadb
Derecho Laboral y Tributario,D,2020-05-12,Clase 12 de mayo,1:57:17,https://ca.bbcollab.com/recording/e9da4956b2504991987e2dd41fbdb842
Derecho Laboral y Tributario,D,2020-05-14,sesion 14 de mayo,1:48:57,https://ca.bbcollab.com/recording/d3808e6c42d84442976fc867077d9e9c
Derecho Laboral y Tributario,D,2020-05-19,Examen Parcial,1:26:28,https://ca.bbcollab.com/recording/715aa1f5d396441796372894e2598c67
Derecho Laboral y Tributario,D,2020-05-26,Sesión 26 de mayo,1:51:48,https://ca.bbcollab.com/recording/f5a4297a0df44de2936423aaa3c1722a
Derecho Laboral y Tributario,D,2020-05-28,Sesión 28 de mayo,1:45:33,https://ca.bbcollab.com/recording/ea7a00d583ba4c2a87e84a048823e076
Derecho Laboral y Tributario,D,2020-06-02,Sesión 2 junio,1:51:02,https://ca.bbcollab.com/recording/5be1a2ab8b2d41ab8a925c0c3a593823
Derecho Laboral y Tributario,D,2020-06-04,sesión 4 de junio,1:48:12,https://ca.bbcollab.com/recording/dea7d16595484d31a0a772a95af5d805
Derecho Laboral y Tributario,D,2020-06-09,Sesión 9 de junio,1:51:52,https://ca.bbcollab.com/recording/2e7a61e00d4445ce94301b64d8fee209
Derecho Laboral y Tributario,D,2020-06-11,Sesión 11 junio 2020,1:51:35,https://ca.bbcollab.com/recording/9024b823b88b41eeac875be207cb24ba
Derecho Laboral y Tributario,D,2020-06-16,Sesión 16 junio,1:56:44,https://ca.bbcollab.com/recording/235270fe606541b0ba1511259f2688a8
Derecho Laboral y Tributario,D,2020-06-18,Sesion 18 junio,1:44:19,https://ca.bbcollab.com/recording/acda6fd8230a46c8a67534d63b5d3a36
Derecho Laboral y Tributario,D,2020-06-23,23 junio,1:54:57,https://ca.bbcollab.com/recording/769253932c5247fdb76401c543da6015
Derecho Laboral y Tributario,D,2020-06-25,25 junio,1:57:44,https://ca.bbcollab.com/recording/1595ebeee7494182bbfdb564bc62005f
Derecho Laboral y Tributario,D,2020-06-30,30 junio,1:56:09,https://ca.bbcollab.com/recording/876d1c2f4bd544c5b00244ffb5650d17
Derecho Laboral y Tributario,D,2020-07-02,Sesión 2 de julio,1:42:13,https://ca.bbcollab.com/recording/d66dfcd311744f6dbfe57c9ada3140fa
Derecho Laboral y Tributario,D,2020-07-07,Sesión 7 Julio,1:48:42,https://ca.bbcollab.com/recording/3055e2fea7c846469fe3c666b049357b
Derecho Laboral y Tributario,D,2020-07-09,Sesión 9 de julio,1:50:50,https://ca.bbcollab.com/recording/502bfbc2b7294198b8a108de5f1265bc
Derecho Laboral y Tributario,D,2020-07-09,Sesión 9 de julio,1:50:50,https://ca.bbcollab.com/recording/502bfbc2b7294198b8a108de5f1265bc
Derecho Laboral y Tributario,D,2020-07-14,Examen Final,1:21:50,https://ca.bbcollab.com/recording/9a5605e26abe42dc9427db43638dec00
