Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Laboral y Tributario,E,2020-03-31,clase del 31.03.20,1:30:12,https://ca.bbcollab.com/recording/ca243ef3ecb04adead754d6311e4e862
Derecho Laboral y Tributario,E,2020-04-02,CLASE DEL 02.04,1:52:48,https://ca.bbcollab.com/recording/775ec93b79d44e5494cad54b3a05d379
Derecho Laboral y Tributario,E,2020-04-07,CLASE DEL 07.04,1:39:40,https://ca.bbcollab.com/recording/1b2613ba62d54a6590650e4656d8e878
Derecho Laboral y Tributario,E,2020-04-14,CLASE DEL 14.04,1:43:24,https://ca.bbcollab.com/recording/4810bd616dde4857b6dfa1ad3aa4b871
Derecho Laboral y Tributario,E,2020-04-16,CLASE DEL 16.04,1:40:43,https://ca.bbcollab.com/recording/b92052fe46a94dc08ea44658690e1e87
Derecho Laboral y Tributario,E,2020-04-21,CLASE DEL 21.04.20,1:39:10,https://ca.bbcollab.com/recording/b0b25f54126449ab934fdaecfc6eb9d3
Derecho Laboral y Tributario,E,2020-04-23,CLASE DEL JUEVES 23.04.20,1:44:31,https://ca.bbcollab.com/recording/637f02fc92894d2299f0cd5b580c1496
Derecho Laboral y Tributario,E,2020-04-28,CLASE 28.04.20,1:47:21,https://ca.bbcollab.com/recording/f6c02913ad6a48c7bb7917b263144889
Derecho Laboral y Tributario,E,2020-04-30,CLASE DEL 30.04.20,2:00:26,https://ca.bbcollab.com/recording/4cb2e22c3c19412684b0424ab94c4099
Derecho Laboral y Tributario,E,2020-05-05,CLASE del 05.05.20,1:45:27,https://ca.bbcollab.com/recording/9f9e251cc93a40469a0c0a1e05d63668
Derecho Laboral y Tributario,E,2020-05-05,CLASE del 05.05.20,0:15:00,https://ca.bbcollab.com/recording/be701cbf0a85488db9aae4e46fdf4938
Derecho Laboral y Tributario,E,2020-05-07,CLASE del 07.05,3:03:58,https://ca.bbcollab.com/recording/5c761eb1b95d4120abc5284c41d9dd2e
Derecho Laboral y Tributario,E,2020-05-12,CLASE DEL 12.05,2:30:33,https://ca.bbcollab.com/recording/ac71297f7adc4d36bc8c4ceacc3b9a2b
Derecho Laboral y Tributario,E,2020-05-14,CLASE DEL 14.05.20,1:42:39,https://ca.bbcollab.com/recording/c5be9e1b1dd3431d80fad223acf939af
Derecho Laboral y Tributario,E,2020-05-26,CLASE DEL 26.05,1:39:53,https://ca.bbcollab.com/recording/36b0f8e4ce9f4f08809db8940539d0f5
Derecho Laboral y Tributario,E,2020-05-28,CLASE DEL 28.05,1:49:34,https://ca.bbcollab.com/recording/95936734915e46ef82acfcca5a2b6c09
Derecho Laboral y Tributario,E,2020-06-02,CLASE DEL 01 DE JUNIO,1:38:46,https://ca.bbcollab.com/recording/ad427e11056c4f3ca8dc3b374c40ffe9
Derecho Laboral y Tributario,E,2020-06-04,CLASE 04.06,1:42:43,https://ca.bbcollab.com/recording/a0125fa195f04c8eb9b3259be602c2e1
Derecho Laboral y Tributario,E,2020-06-09,Clase del 09.06,1:32:47,https://ca.bbcollab.com/recording/dfb2207018eb427492fb529b0cf8f315
Derecho Laboral y Tributario,E,2020-06-11,CLASE DEL 11.06,1:42:15,https://ca.bbcollab.com/recording/c820b0e5fbb34854b19407c1809b41b8
Derecho Laboral y Tributario,E,2020-06-16,CLASE DEL 16.06,1:31:44,https://ca.bbcollab.com/recording/230dd076f20b4968a243d2fbff84ffd7
Derecho Laboral y Tributario,E,2020-06-18,CLASE DEL 18.06,1:32:25,https://ca.bbcollab.com/recording/bcdc28bcbf3d41868b2572cc9d94ed8a
Derecho Laboral y Tributario,E,2020-06-23,clase del 23.06,1:29:15,https://ca.bbcollab.com/recording/10695a85faf54de5b45d7634a46b1766
Derecho Laboral y Tributario,E,2020-06-30,clase del 30.06,1:52:24,https://ca.bbcollab.com/recording/26fc033879eb4291ac7a83e505041f2a
Derecho Laboral y Tributario,E,2020-07-02,clase del 2 de julio,1:55:29,https://ca.bbcollab.com/recording/29d264a5609b4d4f802d1e8909110db0
Derecho Laboral y Tributario,E,2020-07-07,clase del 07.07,1:33:41,https://ca.bbcollab.com/recording/b3e6e06a351d4bbca89854777bcc94b4
Derecho Laboral y Tributario,E,2020-07-09,CLASE 09.07.20,1:33:49,https://ca.bbcollab.com/recording/79905b5e716145149cc41c7c8d6973ea
Derecho Laboral y Tributario,E,2020-07-09,CLASE 09.07.20,1:33:49,https://ca.bbcollab.com/recording/79905b5e716145149cc41c7c8d6973ea
