Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Procesal I,A,2020-04-01,Sesión 2 - Unidad 1: El Conflicto,1:45:17,https://ca.bbcollab.com/recording/e3e81ae0386c4139ae9b79e398fae7f5
Derecho Procesal I,A,2020-04-06,Sesión 2 : El conflicto (continuación),3:01:57,https://ca.bbcollab.com/recording/ce83a98d686543e18192800c5dff4ea2
Derecho Procesal I,A,2020-04-08,Sesión 3,1:39:26,https://ca.bbcollab.com/recording/ce5708fa70274f5890e06b9546ea3a34
Derecho Procesal I,A,2020-04-13,Sesión 4,1:44:02,https://ca.bbcollab.com/recording/d53701e2a153488a860c2339869bd83c
Derecho Procesal I,A,2020-04-15,Sesión 5,2:04:41,https://ca.bbcollab.com/recording/163c7948767243a988b55fb0cc185527
Derecho Procesal I,A,2020-04-20,Sesión 20/04/2020,2:58:56,https://ca.bbcollab.com/recording/d8487df5efbb4e7e81bc89464a10f331
Derecho Procesal I,A,2020-04-20,Sesión 5,0:00:24,https://ca.bbcollab.com/recording/17f7226d7c2c4e02b7b83cea7580bfee
Derecho Procesal I,A,2020-04-22,Sesión 22/04/2020,1:49:44,https://ca.bbcollab.com/recording/4192305ee7994ae5955bb063f0435076
Derecho Procesal I,A,2020-04-27,Sesión 7,3:03:21,https://ca.bbcollab.com/recording/7eccba596dbd478d852465e528ddf899
Derecho Procesal I,A,2020-04-29,Sesión 8: Sistemas de justicia,2:10:12,https://ca.bbcollab.com/recording/30d425face7a4d45b5ed7061b9db8f26
Derecho Procesal I,A,2020-05-04,Sesión del 04/05/2020,2:40:43,https://ca.bbcollab.com/recording/a2fac4f5326a4128ac2cbb111bf87f61
Derecho Procesal I,A,2020-05-06,Sesión del 06/05/2020,1:59:11,https://ca.bbcollab.com/recording/72bc48792c30406f8e494795d676f3e0
Derecho Procesal I,A,2020-05-11,Sesión del 11/05/2020,3:18:09,https://ca.bbcollab.com/recording/2eca36814b784e929858687a920006f1
Derecho Procesal I,A,2020-05-13,Sesión del 13 de mayo,2:05:29,https://ca.bbcollab.com/recording/fd508cfedecf4c508de6021451999cfc
Derecho Procesal I,A,2020-05-25,Sesión del 25/05/2020,2:57:56,https://ca.bbcollab.com/recording/cb0b563e7595409e94bd837d18f929a0
Derecho Procesal I,A,2020-05-27,Sesión del 27/05/2020,0:15:24,https://ca.bbcollab.com/recording/3ee0fc55ed864282aa03155617877ff8
Derecho Procesal I,A,2020-05-27,Sesión del 27/05/2020,1:38:22,https://ca.bbcollab.com/recording/b240f90d752d4730837a0626d0c61ee9
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:00:33,https://ca.bbcollab.com/recording/0ca04be0ef09432389e206bd0d04f529
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:04:28,https://ca.bbcollab.com/recording/4d11cf99b43d4600a4bf753d0c29497e
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:25:39,https://ca.bbcollab.com/recording/63e2569a75d14afb8c142b56fde9e91b
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:45:46,https://ca.bbcollab.com/recording/bbcbfa2866fa48bd9732cf5f5180a45e
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:31:13,https://ca.bbcollab.com/recording/d8e547c57c9949329157b8b05a22116e
Derecho Procesal I,A,2020-06-01,Sesión del 01/06/2020,0:49:08,https://ca.bbcollab.com/recording/d962db259cf240b1ad84be62cf7a9b69
Derecho Procesal I,A,2020-06-03,Sesión del 03/06/2020,0:58:16,https://ca.bbcollab.com/recording/9047533885f146cca82807f07547b615
Derecho Procesal I,A,2020-06-03,Sesión del 03/06/2020,0:51:11,https://ca.bbcollab.com/recording/d7dc273d2cc74938bcaa0c7a42bed96b
Derecho Procesal I,A,2020-06-08,Sesión del 08/06/2020,1:20:40,https://ca.bbcollab.com/recording/d901ec0b381d428a8c6164030bb400f5
Derecho Procesal I,A,2020-06-10,Sesión del 10/06/2020,1:50:10,https://ca.bbcollab.com/recording/00c570e0ddb14ca5a7527bcfec67e670
Derecho Procesal I,A,2020-06-15,Sesión del 15/06/2020,2:03:34,https://ca.bbcollab.com/recording/e748bb0a214f4e66a86fbf145d90b334
Derecho Procesal I,A,2020-06-17,Sesión del 17/06/2020,1:55:02,https://ca.bbcollab.com/recording/b03fd17b31f54397ae2ca53d74eccb1e
Derecho Procesal I,A,2020-06-22,Sesión del 22/06/2020,0:47:11,https://ca.bbcollab.com/recording/13b6b540eaa94d6692c0d46d297448a2
Derecho Procesal I,A,2020-06-22,Sesión del 22/06/2020,1:00:54,https://ca.bbcollab.com/recording/79d3589c56a144c7ad772c928ed97c94
Derecho Procesal I,A,2020-06-24,Sesión del 24/06/2020,1:50:37,https://ca.bbcollab.com/recording/2f93aca2f3df454d8a2f75bd82d612a7
Derecho Procesal I,A,2020-07-06,Sesión del 6/07,1:55:39,https://ca.bbcollab.com/recording/53e1a0a2c1c5412e86fa38927cb8a5ea
Derecho Procesal I,A,2020-07-08,Sesión del 08/07/2020,1:32:19,https://ca.bbcollab.com/recording/5d8684a51b9746c681be9409dbfe48b1
Derecho Procesal I,A,2020-07-08,Sesión del 08/07/2020,1:32:19,https://ca.bbcollab.com/recording/5d8684a51b9746c681be9409dbfe48b1
