Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Procesal I,B,2020-03-31,Sesion Derecho Procesal,0:44:49,https://ca.bbcollab.com/recording/18cb17e3f1ba4309a3a3e1d5fd8daf85
Derecho Procesal I,B,2020-03-31,Sesion Derecho Procesal,0:38:28,https://ca.bbcollab.com/recording/c169c7a911294f6daa6c9ae8b597911a
Derecho Procesal I,B,2020-04-02,Sesion Derecho Procesal,1:47:01,https://ca.bbcollab.com/recording/921079cec7e445938e86be23063701e7
Derecho Procesal I,B,2020-04-07,Sesion Derecho Procesal,2:43:37,https://ca.bbcollab.com/recording/e2d33a6b0b134bfe8a0db265885352ae
Derecho Procesal I,B,2020-04-14,Sesion Derecho Procesal,1:24:20,https://ca.bbcollab.com/recording/8ebff2e68e524f31bace72c66a4ecd29
Derecho Procesal I,B,2020-04-16,Sesion Derecho Procesal,1:54:46,https://ca.bbcollab.com/recording/45ca3e36f8e2446892ac231a54006f01
Derecho Procesal I,B,2020-04-21,Sesion Derecho Procesal,2:43:38,https://ca.bbcollab.com/recording/3ccf194cbf5642da970d45369d7e85a4
Derecho Procesal I,B,2020-04-23,Sesion Derecho Procesal,1:57:06,https://ca.bbcollab.com/recording/99c708e209cd4ca8b78c51753c04d4d0
Derecho Procesal I,B,2020-04-28,Sesion Derecho Procesal,2:55:20,https://ca.bbcollab.com/recording/fbaecca66dd14f77ba9d9592f596997d
Derecho Procesal I,B,2020-05-05,Sesion Derecho Procesal,2:47:44,https://ca.bbcollab.com/recording/ef984eedb32148ac888f68c6cf503396
Derecho Procesal I,B,2020-05-07,Sesion Derecho Procesal,1:57:58,https://ca.bbcollab.com/recording/412abbd1083a4ec6a4084ee78ebddc66
Derecho Procesal I,B,2020-05-12,Sesion Derecho Procesal,1:48:00,https://ca.bbcollab.com/recording/8583799ede094afebd87c6fa756ca3f8
Derecho Procesal I,B,2020-05-14,Sesion Derecho Procesal,1:19:13,https://ca.bbcollab.com/recording/ca1899f47c964217bd653b0775794c22
Derecho Procesal I,B,2020-05-28,Clase 28_05,1:44:32,https://ca.bbcollab.com/recording/1a562a87357c4a5e871985e8f4830c6e
Derecho Procesal I,B,2020-06-02,CLASES Procesal 1,2:34:43,https://ca.bbcollab.com/recording/eefc02bcb469478daf8377a2f413a585
Derecho Procesal I,B,2020-06-04,CLASES Procesal 1,1:21:08,https://ca.bbcollab.com/recording/21f9ff93985840519a6f3fb48e239038
Derecho Procesal I,B,2020-06-09,CLASES Procesal 1,0:46:18,https://ca.bbcollab.com/recording/a14b78e6e85c41c380be7fefda1a1d8d
Derecho Procesal I,B,2020-06-09,CLASES Procesal 1,1:29:13,https://ca.bbcollab.com/recording/c69dcdb4ecef47fca2456ba7e12f30d8
Derecho Procesal I,B,2020-06-16,CLASES Procesal 1,2:41:28,https://ca.bbcollab.com/recording/411ab24d7639407d992e65375bfc90d2
Derecho Procesal I,B,2020-06-18,CLASES Procesal 1,1:50:32,https://ca.bbcollab.com/recording/aeab11f2513c48469b26c31211977ed6
Derecho Procesal I,B,2020-06-20,Sábado 20 de junio,1:25:23,https://ca.bbcollab.com/recording/1a01a9f896f2403e9ea6e523750f7e15
Derecho Procesal I,B,2020-06-23,CLASES Procesal 1,2:49:19,https://ca.bbcollab.com/recording/e229b88bfdfc41b991cbbf8597790e06
Derecho Procesal I,B,2020-06-25,CLASES Procesal 1,1:33:48,https://ca.bbcollab.com/recording/8577092b055b4ae38c34a414d9241448
Derecho Procesal I,B,2020-07-04,Sábado 4 de julio,2:58:54,https://ca.bbcollab.com/recording/7b3eb57d017d4335b389a27171d0b36c
Derecho Procesal I,B,2020-07-07,CLASES Procesal 1,2:28:58,https://ca.bbcollab.com/recording/187c9a4d6073413f838a5e736093c171
Derecho Procesal I,B,2020-07-09,Clase 9 de julio,1:54:40,https://ca.bbcollab.com/recording/8e4ef7a01ca94176be9ee73eeaad2cb8
Derecho Procesal I,B,2020-07-11,Clase recuperación 11/07/2020,1:47:32,https://ca.bbcollab.com/recording/f1838fbb80f64cf2ad92ef42f71bb8ed
