Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho Procesal II,A,2020-03-30,Primera Clase,2:33:53,https://ca.bbcollab.com/recording/342c931b57934d84b4d2c4be9da555ad
Derecho Procesal II,A,2020-04-01,Segunda Clase,1:38:25,https://ca.bbcollab.com/recording/1a25801d05af4811ac63d0659d2b5ed0
Derecho Procesal II,A,2020-04-06,Tercera Clase,2:23:46,https://ca.bbcollab.com/recording/7ef10592735041a39c256603ffc9aacf
Derecho Procesal II,A,2020-04-08,Cuarta Clase,1:43:17,https://ca.bbcollab.com/recording/8ae668feadfe4843b224a30aa8c5a70d
Derecho Procesal II,A,2020-04-13,Quinta Clase,3:04:03,https://ca.bbcollab.com/recording/b3138201943943e19d9869e89cf924d3
Derecho Procesal II,A,2020-04-15,Sexta Clase,2:13:31,https://ca.bbcollab.com/recording/3ff2cb7572de4f1ab95310c15214cf6f
Derecho Procesal II,A,2020-04-20,Séptima Clase,2:46:56,https://ca.bbcollab.com/recording/39b5544f27b24b42beedf4f3e2caca10
Derecho Procesal II,A,2020-04-22,Octava Clase,2:16:36,https://ca.bbcollab.com/recording/7b3a7958f0e64ed8ac5af7e7e8354341
Derecho Procesal II,A,2020-04-27,Novena Clase,3:12:46,https://ca.bbcollab.com/recording/a52b2b6371a24703b0f23eadc3fa77fc
Derecho Procesal II,A,2020-04-29,Décima Clase,2:07:00,https://ca.bbcollab.com/recording/1ea0305345764447a7e13fa753064c0b
Derecho Procesal II,A,2020-05-04,Décimo Primera Clase,3:05:14,https://ca.bbcollab.com/recording/e1d689261d3e4d61af096b88933a1aa9
Derecho Procesal II,A,2020-05-06,Décimo Segunda Clase,1:47:06,https://ca.bbcollab.com/recording/601ee817668944189081902b6e8630d1
Derecho Procesal II,A,2020-05-11,Décimo Cuarta Clase,2:41:57,https://ca.bbcollab.com/recording/ff7006e1f24b4f3a838f8cc8a705c3cd
Derecho Procesal II,A,2020-05-13,Décimo Quinta Clase,2:10:17,https://ca.bbcollab.com/recording/b68445f927eb4209bd5ce44200a69b04
Derecho Procesal II,A,2020-05-25,Décimo Sexta Clase,3:08:07,https://ca.bbcollab.com/recording/08eccb5d0f094da1a95163fd560a8842
Derecho Procesal II,A,2020-05-27,Décimo Séptima Clase,1:04:56,https://ca.bbcollab.com/recording/40c534fb351442148f1c79c830765e10
Derecho Procesal II,A,2020-06-01,Décimo Octava Clase,2:46:39,https://ca.bbcollab.com/recording/5c31dc05d17b4f8384284da396af886a
Derecho Procesal II,A,2020-06-08,Décimo Novena Clase,3:00:40,https://ca.bbcollab.com/recording/5a55dd3f9f534f0f800ffbcf3cca2856
Derecho Procesal II,A,2020-06-10,VIGÉSIMA CLASE,2:14:21,https://ca.bbcollab.com/recording/3a2fc2e553d54747ae8cc48ee53c2c77
Derecho Procesal II,A,2020-06-15,VIGESIMO PRIMERA CLASE,2:47:35,https://ca.bbcollab.com/recording/788af5729efd4ef088676f1803d668c4
Derecho Procesal II,A,2020-06-17,VIGÉSIMO SEGUNDA CLASE,1:05:41,https://ca.bbcollab.com/recording/f1621ab6d3bb413cb56f8749aaba0bc8
Derecho Procesal II,A,2020-06-22,Decimotercera Clase,3:11:06,https://ca.bbcollab.com/recording/5c7f01d0c3454021a2348085841b08d9
Derecho Procesal II,A,2020-06-24,Decimo cuarta clase,1:46:48,https://ca.bbcollab.com/recording/3f6a077149bf40928111d0e3abe1a5c7
Derecho Procesal II,A,2020-07-01,Décimo Cuarta Clase,1:53:34,https://ca.bbcollab.com/recording/f49f29bf45b94de08b47bf49a3bb5209
Derecho Procesal II,A,2020-07-06,Decimo Quinta Sesión,3:06:08,https://ca.bbcollab.com/recording/a04d07d400be445e88064efbdf26ef1e
Derecho Procesal II,A,2020-07-08,Décimo Sexta Clase,2:00:01,https://ca.bbcollab.com/recording/9d1e625597664065a9e7894182ebf27d
Derecho Procesal II,A,2020-07-08,Décimo Sexta Clase,2:00:01,https://ca.bbcollab.com/recording/9d1e625597664065a9e7894182ebf27d
