Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho para los Negocios Internacionale,A,2020-03-30,Session 001: Introduction,1:44:43,https://ca.bbcollab.com/recording/671e3eea2ec140088c2aa83a4e9cca21
Derecho para los Negocios Internacionale,A,2020-04-02,Session 002,1:51:34,https://ca.bbcollab.com/recording/14f83464b48243628e78400e83cbef4e
Derecho para los Negocios Internacionale,A,2020-04-06,LIB Session 003,1:48:16,https://ca.bbcollab.com/recording/1672e6390a8445f7a68881c0711de27f
Derecho para los Negocios Internacionale,A,2020-04-13,Session 004,1:51:04,https://ca.bbcollab.com/recording/747a247ab71d42a38d1b9fe3f1cd50c5
Derecho para los Negocios Internacionale,A,2020-04-16,Session 005,1:53:51,https://ca.bbcollab.com/recording/d0b5f2ea2bcf4c1b8504e9ff6bb48568
Derecho para los Negocios Internacionale,A,2020-04-20,Session 006,1:52:35,https://ca.bbcollab.com/recording/8cba947c7e4145e5aad8a8769d10ff71
Derecho para los Negocios Internacionale,A,2020-04-23,Session 007,1:51:24,https://ca.bbcollab.com/recording/4ca51ad87610404c91a789e12e8a63d8
Derecho para los Negocios Internacionale,A,2020-04-27,Session 008,1:49:39,https://ca.bbcollab.com/recording/e31005a3461a46d5aeaaef05a3f0a789
Derecho para los Negocios Internacionale,A,2020-04-30,Session 009,1:48:45,https://ca.bbcollab.com/recording/2daf74a8393a455eb2435d432a9e1edf
Derecho para los Negocios Internacionale,A,2020-05-02,Session 010,1:48:35,https://ca.bbcollab.com/recording/e907728606ae4ceba661911d7ab70290
Derecho para los Negocios Internacionale,A,2020-05-04,Session 011,1:51:18,https://ca.bbcollab.com/recording/f703cf3455ee405e882e019eb4aed06b
Derecho para los Negocios Internacionale,A,2020-05-07,Session 012,1:52:45,https://ca.bbcollab.com/recording/9e19de62a88042be895dee587fa9b994
Derecho para los Negocios Internacionale,A,2020-05-11,Session 013,1:51:44,https://ca.bbcollab.com/recording/58346c1f294d4b7295d352ca416c5729
Derecho para los Negocios Internacionale,A,2020-05-14,Session 014,1:53:44,https://ca.bbcollab.com/recording/84fedb4961d146f7bc2189a99c5b0d3f
Derecho para los Negocios Internacionale,A,2020-05-22,LIB Midterm Exam Session 2020-I,2:13:25,https://ca.bbcollab.com/recording/f4b67095fb22409abcfc74ef88c46fac
Derecho para los Negocios Internacionale,A,2020-05-25,LIB Session 015,1:50:05,https://ca.bbcollab.com/recording/524aeddab8bf41849638e8b1eab507a9
Derecho para los Negocios Internacionale,A,2020-05-28,LIB Session 016,1:49:42,https://ca.bbcollab.com/recording/3e8329db36f04666810aa48f18681235
Derecho para los Negocios Internacionale,A,2020-06-01,LIB Session 017,1:50:16,https://ca.bbcollab.com/recording/bde9c56d534043f6858248572593fb38
Derecho para los Negocios Internacionale,A,2020-06-04,LIB Session 018,1:51:06,https://ca.bbcollab.com/recording/73d9720bd0194ce2a00b61b75e331888
Derecho para los Negocios Internacionale,A,2020-06-08,LIB Session 019,1:50:42,https://ca.bbcollab.com/recording/9f79037ef5c74be1a3f54f1c531cb3a1
Derecho para los Negocios Internacionale,A,2020-06-11,LIB Session 020,1:45:58,https://ca.bbcollab.com/recording/b1f9c6cbac1342faabd17506e4dd775f
Derecho para los Negocios Internacionale,A,2020-06-15,LIB Session 021,1:48:33,https://ca.bbcollab.com/recording/f6f323377ab24c619f3a04ad0d7f43a9
Derecho para los Negocios Internacionale,A,2020-06-18,LIB Session 022,1:51:21,https://ca.bbcollab.com/recording/182fbdbd53024f1d8bf2aaf1e2cf230b
Derecho para los Negocios Internacionale,A,2020-06-22,LIB Session 023,1:48:41,https://ca.bbcollab.com/recording/34dbd5e8b7514a1dac0af649328627a4
Derecho para los Negocios Internacionale,A,2020-06-25,LIB Session 024,1:48:40,https://ca.bbcollab.com/recording/4072a164c74d4bfcb0682786217ce293
Derecho para los Negocios Internacionale,A,2020-06-29,LIB Session 025,1:48:03,https://ca.bbcollab.com/recording/e5e2d556efa349a1bf3a014392951b7b
Derecho para los Negocios Internacionale,A,2020-07-02,LIB Session 026,1:50:27,https://ca.bbcollab.com/recording/54b41bd0e6a14d6a90b8b3947584bb76
Derecho para los Negocios Internacionale,A,2020-07-06,LIB Session 027,1:50:16,https://ca.bbcollab.com/recording/473bdec281e34eb6ab547f7feda34d97
Derecho para los Negocios Internacionale,A,2020-07-09,LIB Session 028,1:47:43,https://ca.bbcollab.com/recording/def802757a4a4bb0bf689ca95f653617
Derecho para los Negocios Internacionale,A,2020-07-09,LIB Session 028,1:47:43,https://ca.bbcollab.com/recording/def802757a4a4bb0bf689ca95f653617
Derecho para los Negocios Internacionale,A,2020-07-17,LIB: Final Exam Session,2:04:38,https://ca.bbcollab.com/recording/13c905fe5ebb415c95309aa450077a9d
