Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derecho y Tecnología,A,2020-04-02,Clase 1,3:14:51,https://ca.bbcollab.com/recording/fc17ae633ae941a8999537761e4095ca
Derecho y Tecnología,A,2020-04-16,Clase 2,2:51:12,https://ca.bbcollab.com/recording/45825700d9a045f48c3489b3c9133605
Derecho y Tecnología,A,2020-04-23,Clase semanal,2:43:21,https://ca.bbcollab.com/recording/8e2bbc0b6e3546cf8be8127eebdbd618
Derecho y Tecnología,A,2020-04-30,Clase semanal,4:08:37,https://ca.bbcollab.com/recording/085c42a0648841c58b2541a0825d3132
Derecho y Tecnología,A,2020-05-07,Clase semanal,2:38:50,https://ca.bbcollab.com/recording/f165f5d57c62476ba5db7af5a1353ebe
Derecho y Tecnología,A,2020-05-14,Clase semanal,2:34:10,https://ca.bbcollab.com/recording/2cb763a3902449798c711e4865613454
Derecho y Tecnología,A,2020-05-28,Clase semanal,2:47:24,https://ca.bbcollab.com/recording/eab9ea54a68b4a6198bc90453d6cb333
Derecho y Tecnología,A,2020-06-04,Clase semanal,2:40:57,https://ca.bbcollab.com/recording/587cbd6bba6f4e12a3232d4010920f3a
Derecho y Tecnología,A,2020-06-11,Clase semanal,2:42:13,https://ca.bbcollab.com/recording/776c5b9b401a455e90b7d9f12615f2f5
Derecho y Tecnología,A,2020-06-18,Clase semanal,2:48:29,https://ca.bbcollab.com/recording/aff1d6c36f79482db36983b7f232a263
Derecho y Tecnología,A,2020-06-25,Clase semanal,2:41:59,https://ca.bbcollab.com/recording/4dfe549f8b28497cb3fdab4b27e1dd98
Derecho y Tecnología,A,2020-07-02,Clase semanal,2:38:07,https://ca.bbcollab.com/recording/c75b3d84a5ad4857b1cd5fd78bb18dec
Derecho y Tecnología,A,2020-07-09,Clase semanal,2:40:14,https://ca.bbcollab.com/recording/1531144280d04b2a93b9352228d2f046
Derecho y Tecnología,A,2020-07-09,Clase semanal,2:40:14,https://ca.bbcollab.com/recording/1531144280d04b2a93b9352228d2f046
