Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Derechos Reales,B,2020-05-05,Clase - 5/5/20,1:47:49,https://ca.bbcollab.com/recording/fac69a8879734c918bb423219fd83d6d
Derechos Reales,B,2020-05-07,Clase - 7/5/20,1:51:21,https://ca.bbcollab.com/recording/b4019b40eff5477c8567f02ae201e3ef
Derechos Reales,B,2020-05-26,Clase - 26/5/20,1:30:44,https://ca.bbcollab.com/recording/ad8e7be1454c43f28ec404cdfa8e4172
Derechos Reales,B,2020-05-28,Clase - 28/5/20,2:02:53,https://ca.bbcollab.com/recording/035780ee410040699aecad6b494fd7ec
Derechos Reales,B,2020-06-16,Clase - 16/6/20,2:21:48,https://ca.bbcollab.com/recording/4f645e44055d4972b9ff150e582d49fa
Derechos Reales,B,2020-06-18,Clase - 18/6/20,1:37:35,https://ca.bbcollab.com/recording/3e57027d047f41f98fce81de2b2a0052
Derechos Reales,B,2020-06-23,Clase - 23/6/20,1:27:57,https://ca.bbcollab.com/recording/b9cccd3380da4a27bd1b8a4195cfb9d1
Derechos Reales,B,2020-06-25,Clase - 25/6/20,1:59:40,https://ca.bbcollab.com/recording/85ec9e36e6724f259a998281705c9862
Derechos Reales,B,2020-07-02,Clase - 2/7/20,1:50:14,https://ca.bbcollab.com/recording/aa431c8bec064675b222c94401aaf9c2
Derechos Reales,B,2020-07-09,Clase - 9/7/20,1:47:02,https://ca.bbcollab.com/recording/b17b89b062374081969d49058e3fdc27
Derechos Reales,B,2020-07-09,Clase - 9/7/20,1:47:02,https://ca.bbcollab.com/recording/b17b89b062374081969d49058e3fdc27
