Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Desarrollo de Soluciones Empresariales,A,2020-03-30,Sesión on-line DSE,1:42:51,https://ca.bbcollab.com/recording/4005a26256994502a4d666dc385a31e9
Desarrollo de Soluciones Empresariales,A,2020-04-06,Sesión on-line DSE,1:05:39,https://ca.bbcollab.com/recording/3d167484aa294bec858f9ef4ff719b2c
Desarrollo de Soluciones Empresariales,A,2020-04-06,Sesión on-line DSE,0:46:52,https://ca.bbcollab.com/recording/dc2cafbbd8dc4c16ab02a8a42b4ae99f
Desarrollo de Soluciones Empresariales,A,2020-04-08,Sesión on-line DSE,1:16:40,https://ca.bbcollab.com/recording/4f207c12e35a4e44ba03e437295b1e34
Desarrollo de Soluciones Empresariales,A,2020-04-13,Sesión on-line DSE,1:23:34,https://ca.bbcollab.com/recording/3fa2a99ea2fa4c2a9fea6a826c3a92a2
Desarrollo de Soluciones Empresariales,A,2020-04-13,Sesión on-line DSE,0:00:22,https://ca.bbcollab.com/recording/c7fbfc2d826e448c8b2473774cecb0c4
Desarrollo de Soluciones Empresariales,A,2020-04-15,Sesión on-line DSE,1:23:52,https://ca.bbcollab.com/recording/7eda498c3f33496bb446c7e6dce6e815
Desarrollo de Soluciones Empresariales,A,2020-04-18,Laboratorio 1: Uso de SQL mediante Python,1:36:15,https://ca.bbcollab.com/recording/ce840e969687425782f6d8fd7b46aa76
Desarrollo de Soluciones Empresariales,A,2020-04-20,Sesión on-line DSE,0:55:55,https://ca.bbcollab.com/recording/49c7704855f547f58e82f6519a6342f0
Desarrollo de Soluciones Empresariales,A,2020-04-22,Sesión on-line DSE,0:25:39,https://ca.bbcollab.com/recording/2336571f486442c48e31fb0506e8f185
Desarrollo de Soluciones Empresariales,A,2020-04-22,Sesión on-line DSE,1:09:00,https://ca.bbcollab.com/recording/d83438dbd645453396cbd250f4ae784b
Desarrollo de Soluciones Empresariales,A,2020-04-25,Lab 2: Implementación de clases en Python,1:37:47,https://ca.bbcollab.com/recording/493c7141e2634f18b88ec4234aefb0ec
Desarrollo de Soluciones Empresariales,A,2020-04-27,Sesión on-line DSE,0:33:28,https://ca.bbcollab.com/recording/fb2abeef81e340888eb1f79f0c8a5bec
Desarrollo de Soluciones Empresariales,A,2020-04-29,Sesión on-line DSE,0:29:24,https://ca.bbcollab.com/recording/71b1952a5b16469eac5cf6737b740a01
Desarrollo de Soluciones Empresariales,A,2020-05-09,Laboratorio 3: Introducción al desarrollo web,1:44:01,https://ca.bbcollab.com/recording/8b38b60fb12b49b489119c577d59e31a
Desarrollo de Soluciones Empresariales,A,2020-05-30,Lab 4: Envío de datos entre cliente y servidor,1:45:51,https://ca.bbcollab.com/recording/8842b3eb677544d9820dd264fc8e612d
Desarrollo de Soluciones Empresariales,A,2020-06-13,Lab 5: Asesoría trabajos finales,1:56:48,https://ca.bbcollab.com/recording/df6e834ebbf34b22933e4df8681842c3
Desarrollo de Soluciones Empresariales,A,2020-06-27,Laboratorio 6: Trabajo final,1:27:49,https://ca.bbcollab.com/recording/74c079ee665e4a10b61121d658213aec
