Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Design Thinking & Innovation,B,2020-04-02,Sesión Nro. 1. Design Thinking & Innovación,2:58:13,https://ca.bbcollab.com/recording/84d438f5cd5b42828bace65cf4d01796
Design Thinking & Innovation,B,2020-04-16,Sesión 2,2:23:01,https://ca.bbcollab.com/recording/6fc9681c6dc64ffbbd3703ca66a9bccd
Design Thinking & Innovation,B,2020-04-21,Sesión 3,2:55:36,https://ca.bbcollab.com/recording/4444153b5ffc4d8387e04bbfbef028a5
Design Thinking & Innovation,B,2020-04-23,Sesión 4. Design Thinking & Innovation,0:09:29,https://ca.bbcollab.com/recording/6772009514514ef59a89193f27a9e937
Design Thinking & Innovation,B,2020-04-23,Sesión 4. Design Thinking & Innovation,0:25:58,https://ca.bbcollab.com/recording/801396aba3c64ce5a606bf933701ebf9
Design Thinking & Innovation,B,2020-04-23,Sesión 4. Design Thinking & Innovation,0:40:43,https://ca.bbcollab.com/recording/bd55cb53dd3e42f696334ac102c90f5d
Design Thinking & Innovation,B,2020-04-30,Sesión 5. Design Thinking & Innovation,2:51:11,https://ca.bbcollab.com/recording/768e7afa97a54125b5332f79263a736f
Design Thinking & Innovation,B,2020-05-07,Sesión 6. Design Thinking & Innovation,1:43:45,https://ca.bbcollab.com/recording/430d9b3e98054f5e9fbcc23728b98447
Design Thinking & Innovation,B,2020-05-07,Sesión 6. Design Thinking & Innovation,0:01:20,https://ca.bbcollab.com/recording/e2de817b8ba74bdf950b8085a2239f0c
Design Thinking & Innovation,B,2020-05-14,Sesión 7. Design Thinking & Innovation,3:06:19,https://ca.bbcollab.com/recording/0ae0f51ba50344baa9c60a40659aaccb
Design Thinking & Innovation,B,2020-06-04,Sesión 8. Design Thinking & Innovation,2:32:33,https://ca.bbcollab.com/recording/3103e8aec65440bda1e9f429e0b42b27
Design Thinking & Innovation,B,2020-06-18,GRUPO AMARILLO,1:38:09,https://ca.bbcollab.com/recording/fb96038460714c6c8f7f05b0a654fcc5
Design Thinking & Innovation,B,2020-06-18,GRUPO CELESTE,1:38:19,https://ca.bbcollab.com/recording/dd79ea695c01446c97d1a4a9b707c885
Design Thinking & Innovation,B,2020-06-18,Sesión: 18 de Junio,2:36:24,https://ca.bbcollab.com/recording/f0a6031799364cf2a165cb11bb34ee25
Design Thinking & Innovation,B,2020-06-18,GRUPO ROSADO,0:56:07,https://ca.bbcollab.com/recording/888781b416914a279946b34acc35dcb8
Design Thinking & Innovation,B,2020-06-18,GRUPO VERDE,0:56:25,https://ca.bbcollab.com/recording/c8558c86dfc047e0877ee285769e883f
Design Thinking & Innovation,B,2020-06-25,GRUPO AMARILLO,1:29:47,https://ca.bbcollab.com/recording/eb52b3f6f3fd4df8839306b012491470
Design Thinking & Innovation,B,2020-06-25,GRUPO CELESTE,1:22:32,https://ca.bbcollab.com/recording/6374fc92a9c54c889d52bc4c22469562
Design Thinking & Innovation,B,2020-06-25,GRUPO VERDE,1:44:22,https://ca.bbcollab.com/recording/eaa8c1b86a144f6a939ff2471da07a3a
Design Thinking & Innovation,B,2020-07-09,Sesión Final,2:13:23,https://ca.bbcollab.com/recording/33896e5c63814c17aff019e47029fda3
