Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Destrezas Legales II,A,2020-04-01,Sesión 1 - Presentación del curso,0:59:32,https://ca.bbcollab.com/recording/781c63ce798043b0b1463439f2fab944
Destrezas Legales II,A,2020-04-08,Sesión 2 - 08.04.2020,2:41:25,https://ca.bbcollab.com/recording/9401fc07881043579522bb708d361798
Destrezas Legales II,A,2020-04-15,Sesión - Revisando estrategias legales,0:04:36,https://ca.bbcollab.com/recording/ddb2713a3e044eec81db68abe0dec4f5
Destrezas Legales II,A,2020-04-22,Sesión 22/04/2020,2:57:28,https://ca.bbcollab.com/recording/023461b9d74b459da7dc4fa1496a3301
Destrezas Legales II,A,2020-04-29,Sesion 29/4/2020,2:59:17,https://ca.bbcollab.com/recording/b36ebb9fa54548069f34c37e53824974
Destrezas Legales II,A,2020-05-06,Sesión del 06/05/2020,3:06:52,https://ca.bbcollab.com/recording/277fe778f2234503ba34107d57313bf8
Destrezas Legales II,A,2020-05-13,Sesión del 13 de mayo,1:14:40,https://ca.bbcollab.com/recording/495798a29275495797ab72075e81ee68
Destrezas Legales II,A,2020-05-13,Sesión del 13 de mayo,0:14:49,https://ca.bbcollab.com/recording/87dc6fa4f8f94014b03d1fb7941ba389
Destrezas Legales II,A,2020-05-13,Sesión del 13 de mayo,0:00:05,https://ca.bbcollab.com/recording/9ba168ec301b4de9a6fdc8dd5fec43db
Destrezas Legales II,A,2020-05-27,Sesión del 27/05/2020,1:58:26,https://ca.bbcollab.com/recording/91c573511a3e4223a8c7c33c25e6514a
Destrezas Legales II,A,2020-05-27,Sesión del 27/05/2020,0:25:49,https://ca.bbcollab.com/recording/95c4dd59125e41beb325fc61f2b39225
Destrezas Legales II,A,2020-06-03,Sesión del 03/06/2020,0:18:10,https://ca.bbcollab.com/recording/2477969224d4424ebd042927e0788e20
Destrezas Legales II,A,2020-06-03,Sesión del 03/06/2020,0:20:42,https://ca.bbcollab.com/recording/2c36d15dfef24b6cb7bd40bd1c342a34
Destrezas Legales II,A,2020-06-03,Sesión del 03/06/2020,0:45:30,https://ca.bbcollab.com/recording/397877dd1a5d442e9a205331d6ed399a
Destrezas Legales II,A,2020-06-03,Sesión del 03/06/2020,0:00:04,https://ca.bbcollab.com/recording/a1faea8d875346559b49508c713aa305
Destrezas Legales II,A,2020-06-03,Sesión del 03/06/2020,0:41:41,https://ca.bbcollab.com/recording/a447a4184f284fbaba375b37c7a3e031
Destrezas Legales II,A,2020-06-10,Sesión del 10/06/2020,2:39:11,https://ca.bbcollab.com/recording/a4b0111ebf5b40e3a84a70a56e401d55
Destrezas Legales II,A,2020-06-17,Sesión del 17/06/2020,2:54:08,https://ca.bbcollab.com/recording/98c5a9ca3948425eb02cbbbd38afc249
Destrezas Legales II,A,2020-06-24,Sesión del 24/06/2020,0:53:08,https://ca.bbcollab.com/recording/478f9be1447d4e1eb1398adc3ce8fe21
Destrezas Legales II,A,2020-06-24,Sesión del 24/06/2020,0:03:47,https://ca.bbcollab.com/recording/539a3922b1134831a7cf2a4422ef3ee2
Destrezas Legales II,A,2020-06-24,Sesión del 24/06/2020,0:50:15,https://ca.bbcollab.com/recording/df3cff78958d455a8314de4921e33282
Destrezas Legales II,A,2020-07-08,Sesión del 08/07/2020,1:05:49,https://ca.bbcollab.com/recording/d52d5d6dc9b346b7bdc7e6036a2deac1
