Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Digital Startup Toolkit,A,2020-04-02,Week 1 - Introduction,2:37:43,https://ca.bbcollab.com/recording/8f3d8a4bcc004b2ba2abc297e6d9b0cf
Digital Startup Toolkit,A,2020-04-09,Week 2 - Innovation,1:01:30,https://ca.bbcollab.com/recording/339b5f247b84400098299e7500163294
Digital Startup Toolkit,A,2020-04-16,Week 3 - Startup Management and Leadership,2:15:56,https://ca.bbcollab.com/recording/15f35e1c6cc44a2191032b3a874165cf
Digital Startup Toolkit,A,2020-04-23,Week 4 - Design thinking crash course part 1,2:42:16,https://ca.bbcollab.com/recording/5beab4ab6bfd48c99b9d073026e1dec0
Digital Startup Toolkit,A,2020-04-30,Week 5 - Design Thinking part 2,2:50:27,https://ca.bbcollab.com/recording/4c18b76001e14366b55e7eccc3cc0025
Digital Startup Toolkit,A,2020-05-07,Week 6 - Value Proposition and Business Model,2:24:17,https://ca.bbcollab.com/recording/4d4072f89f5b4ae4b69e04015bd3ded8
Digital Startup Toolkit,A,2020-05-14,Week 7 - Lean Startup,2:27:25,https://ca.bbcollab.com/recording/45092707bd02431481f40ebe4f99f0bf
Digital Startup Toolkit,A,2020-05-28,Week 9 - Lean Startup Part II,1:26:58,https://ca.bbcollab.com/recording/0a612feb91594e47afa4f3654e904571
Digital Startup Toolkit,A,2020-06-04,Week 10 - Building a digital product,2:26:03,https://ca.bbcollab.com/recording/6b80bdb8ef9e4cab99564f58dff0de80
Digital Startup Toolkit,A,2020-06-11,Week 10 - Marketing for digital startups,2:38:09,https://ca.bbcollab.com/recording/ab66befc2312491d8cbedc6259dfddf7
Digital Startup Toolkit,A,2020-06-18,Week 12 - Growth Hacking Part I,2:41:41,https://ca.bbcollab.com/recording/172e5acb3dd04bc9b0c33b89685fa849
Digital Startup Toolkit,A,2020-06-25,Week 13 - Growth Hacking Part II,2:36:38,https://ca.bbcollab.com/recording/76b8c9c5ae43437bb56dc3027b3262c4
Digital Startup Toolkit,A,2020-07-02,Week 14 - Fundraising,1:24:33,https://ca.bbcollab.com/recording/6a7863999d4a4b11844eb4304e5ac79e
