Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Dinámica de Sistemas,A,2020-03-30,Clase virtual n1,1:24:11,https://ca.bbcollab.com/recording/080cad33277b49d2b51e724ef81abade
Dinámica de Sistemas,A,2020-04-01,Clase virtual n2,1:27:13,https://ca.bbcollab.com/recording/199ce35ef8894e229c50981773c57158
Dinámica de Sistemas,A,2020-04-06,Clase Lunes,1:40:32,https://ca.bbcollab.com/recording/6c947936efe84730af0f564abdf6f040
Dinámica de Sistemas,A,2020-04-08,Clase miércoles,1:43:03,https://ca.bbcollab.com/recording/e404920726d347ec8b73e153420c0a01
Dinámica de Sistemas,A,2020-04-13,Clase Lunes,1:03:28,https://ca.bbcollab.com/recording/1741b2e1db594f85850d5f53d322a172
Dinámica de Sistemas,A,2020-04-13,Clase Lunes,0:18:28,https://ca.bbcollab.com/recording/6ef7be8e27944a10ae57da6974cb08f2
Dinámica de Sistemas,A,2020-04-15,Clase miércoles,1:46:58,https://ca.bbcollab.com/recording/0a167cbf776b4d979eb0901154e55a6b
Dinámica de Sistemas,A,2020-04-20,Clase Lunes,1:10:21,https://ca.bbcollab.com/recording/8f546172af8b458a991d64d780ef7e98
Dinámica de Sistemas,A,2020-04-20,Clase Lunes,0:00:25,https://ca.bbcollab.com/recording/eddb9492288b460a9aff7339a5d6f71f
Dinámica de Sistemas,A,2020-04-22,Clase miércoles,1:37:04,https://ca.bbcollab.com/recording/1dc6daf9d41c4fa2b082e42fb5425d3d
Dinámica de Sistemas,A,2020-04-27,Clase Lunes,1:54:20,https://ca.bbcollab.com/recording/e8de0c210f2c4e8896a458ba5f8a1907
Dinámica de Sistemas,A,2020-04-29,Clase miércoles,1:53:25,https://ca.bbcollab.com/recording/f834c39327e94b0ebce3ec905f45619e
Dinámica de Sistemas,A,2020-05-04,Clase Lunes,1:59:13,https://ca.bbcollab.com/recording/846f682a2811467ebcb661777fdb0cda
Dinámica de Sistemas,A,2020-05-06,Clase miércoles,1:53:42,https://ca.bbcollab.com/recording/624ec00d31d44bfca9d058629db79d23
Dinámica de Sistemas,A,2020-05-11,Clase Lunes,1:42:07,https://ca.bbcollab.com/recording/daa43177d35a44ba81a3c7b7e98eab8b
Dinámica de Sistemas,A,2020-05-13,Clase miércoles,1:20:44,https://ca.bbcollab.com/recording/ef14c021efb64a269803e8964c724910
Dinámica de Sistemas,A,2020-05-18,Clase Lunes,2:37:20,https://ca.bbcollab.com/recording/ec1882b290a944789563e9e80da5ba45
Dinámica de Sistemas,A,2020-05-25,Clase Lunes,1:36:36,https://ca.bbcollab.com/recording/5329251fdda64ff283dd6e10eaafb324
Dinámica de Sistemas,A,2020-05-27,Clase miércoles,2:01:57,https://ca.bbcollab.com/recording/fe2f233f721f4b0cbad831512aec9ea5
Dinámica de Sistemas,A,2020-06-01,Clase Lunes,2:08:21,https://ca.bbcollab.com/recording/c808e49a966f4536b0fbb7b9df210b42
Dinámica de Sistemas,A,2020-06-03,Clase miércoles,1:59:42,https://ca.bbcollab.com/recording/8620f68e0d4748ca9997da8c8c3e97bc
Dinámica de Sistemas,A,2020-06-08,Clase Lunes,2:00:00,https://ca.bbcollab.com/recording/df9c2f927c604151aac07489353d0bbd
Dinámica de Sistemas,A,2020-06-10,Clase miércoles,2:06:58,https://ca.bbcollab.com/recording/ac60ea39ea96435588aab7147e2bf327
Dinámica de Sistemas,A,2020-06-15,Clase Lunes,1:59:55,https://ca.bbcollab.com/recording/11e654f8aa4e4793a3dcbdb03336c986
Dinámica de Sistemas,A,2020-06-15,Clase Lunes,0:00:16,https://ca.bbcollab.com/recording/7e7f3e1cb10549db9107e053d2d51cf4
Dinámica de Sistemas,A,2020-06-17,Clase miércoles,1:40:45,https://ca.bbcollab.com/recording/5a88c78d23ab4c6f92f4ab35db605044
Dinámica de Sistemas,A,2020-06-22,Clase Lunes,2:19:53,https://ca.bbcollab.com/recording/f75487cc1bb447c29be1f69a15ed9839
Dinámica de Sistemas,A,2020-06-24,Clase miércoles,2:06:05,https://ca.bbcollab.com/recording/0e06c7ad46fb44a7b39302e6c5fdc5c3
Dinámica de Sistemas,A,2020-07-01,Clase miércoles,0:49:34,https://ca.bbcollab.com/recording/1cc13759bd304e74bdc534d34635d0d8
Dinámica de Sistemas,A,2020-07-06,Clase Lunes,1:40:53,https://ca.bbcollab.com/recording/bb092f36060f45a18cd7cc07923aad8f
Dinámica de Sistemas,A,2020-07-08,Clase miércoles,1:43:48,https://ca.bbcollab.com/recording/5367ba7b94494543a099ab33f464b0d2
Dinámica de Sistemas,A,2020-07-08,Clase miércoles,1:43:48,https://ca.bbcollab.com/recording/5367ba7b94494543a099ab33f464b0d2
Dinámica de Sistemas,A,2020-07-13,Examen Final,2:26:51,https://ca.bbcollab.com/recording/025fe41fdc534070a3fc866ed3b32dbf
