Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Dirección Internacional de Empresas,A,2020-03-30,1 semana 1 sesión,1:27:19,https://ca.bbcollab.com/recording/9c0618a307ae4ee6928cfc3032d9edd5
Dirección Internacional de Empresas,A,2020-04-01,sesión 2,1:40:55,https://ca.bbcollab.com/recording/bc472dcf09ca45aaac707916838c517b
Dirección Internacional de Empresas,A,2020-04-06,Sesión 3,1:37:00,https://ca.bbcollab.com/recording/2cd6f321790f4082a7b650c33d9b0a08
Dirección Internacional de Empresas,A,2020-04-08,Sesión 4,1:36:51,https://ca.bbcollab.com/recording/034f3d61de95405abdb23f30161f5a7c
Dirección Internacional de Empresas,A,2020-04-13,sesión 5,1:30:26,https://ca.bbcollab.com/recording/2a51a6cedc7a46f78d81dce3da75ecd0
Dirección Internacional de Empresas,A,2020-04-15,Sesión 6,1:38:51,https://ca.bbcollab.com/recording/f0792b90809e499c9681afaac36485dc
Dirección Internacional de Empresas,A,2020-04-20,Sesión 7,1:50:30,https://ca.bbcollab.com/recording/109ca9a003b441d3833b10bbf80f7add
Dirección Internacional de Empresas,A,2020-04-22,8va. Sesión,1:48:00,https://ca.bbcollab.com/recording/27fc8e4ad617486cb74834fc26b2132b
Dirección Internacional de Empresas,A,2020-04-27,Sesión 9,1:42:45,https://ca.bbcollab.com/recording/fe6e20e78b154603871bc8aeab641a32
Dirección Internacional de Empresas,A,2020-04-29,Sesión 10,1:43:02,https://ca.bbcollab.com/recording/4b0b132930b84d3382c11c05e2744014
Dirección Internacional de Empresas,A,2020-05-04,Sesión 11,1:54:22,https://ca.bbcollab.com/recording/03ad1ffd62ed41689ed46ca836a4a090
Dirección Internacional de Empresas,A,2020-05-06,Sesión 12,1:42:28,https://ca.bbcollab.com/recording/a32f3d966e7e48ba8e8aa027da971c9e
Dirección Internacional de Empresas,A,2020-05-11,Sesión 13,1:39:32,https://ca.bbcollab.com/recording/da8101f7893f455fbc440fd6559f4e10
Dirección Internacional de Empresas,A,2020-05-13,Asesorías,1:09:26,https://ca.bbcollab.com/recording/fa07bacecde54fe5b4993032cc317d11
Dirección Internacional de Empresas,A,2020-05-13,Sesión 14,1:46:17,https://ca.bbcollab.com/recording/72e764438cef45a0a1779244c466a6ed
Dirección Internacional de Empresas,A,2020-05-25,Sesión 15,0:33:34,https://ca.bbcollab.com/recording/6e1a269e6a254abf826501cd5b632ff0
Dirección Internacional de Empresas,A,2020-05-27,Sesión 16,1:40:59,https://ca.bbcollab.com/recording/e2b7b5388ad54f0ca59f5d8d553c149c
Dirección Internacional de Empresas,A,2020-06-01,Sesión 17,1:28:48,https://ca.bbcollab.com/recording/65578e82f06d41e0982eca0f085e3978
Dirección Internacional de Empresas,A,2020-06-03,Sesión 18,1:54:42,https://ca.bbcollab.com/recording/f510a43f0d47419697ebd4d80a95ee15
Dirección Internacional de Empresas,A,2020-06-03,Asesorías,0:18:02,https://ca.bbcollab.com/recording/023a870e12f240cea1def4ded4fbbdf2
Dirección Internacional de Empresas,A,2020-06-08,Sesión 19,1:37:34,https://ca.bbcollab.com/recording/2d4c388b9c5b4a5799368fbde5cbfd18
Dirección Internacional de Empresas,A,2020-06-10,sesión 20,1:22:05,https://ca.bbcollab.com/recording/b1baa25f67c74b9fa83aa11d5de98df6
Dirección Internacional de Empresas,A,2020-06-15,Sesión 21,1:51:28,https://ca.bbcollab.com/recording/fa213a0bd42b4cd2bf1cdbc7d710e347
Dirección Internacional de Empresas,A,2020-06-17,Sesión 22,1:35:13,https://ca.bbcollab.com/recording/ecab97af239d48b2a674c9f7df3d164b
Dirección Internacional de Empresas,A,2020-06-22,Asesorías,0:39:18,https://ca.bbcollab.com/recording/bd2565c1a2124e419e974cd617957b51
Dirección Internacional de Empresas,A,2020-06-22,Sesión 23,1:40:04,https://ca.bbcollab.com/recording/ee3de7b4098f4d159951f0cd0b41d5a5
Dirección Internacional de Empresas,A,2020-06-24,Sesión 24,1:45:59,https://ca.bbcollab.com/recording/e9e3041d96e742bba71bcf1ed8712666
Dirección Internacional de Empresas,A,2020-07-01,Sesión 26,1:53:58,https://ca.bbcollab.com/recording/ecc86fcffb2e4effaf6577cb14dadc7c
Dirección Internacional de Empresas,A,2020-07-06,Sesión 27,1:40:15,https://ca.bbcollab.com/recording/63ca50c01e854f57ab4064b55af4d07b
Dirección Internacional de Empresas,A,2020-07-08,Sesión 28,1:42:24,https://ca.bbcollab.com/recording/78570d49bf3d415c924e4da3d5bebd49
Dirección Internacional de Empresas,A,2020-07-08,Sesión 28,1:42:24,https://ca.bbcollab.com/recording/78570d49bf3d415c924e4da3d5bebd49
