Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Diseño y Evaluación Social de Proyectos,A,2020-03-30,Clase 1,1:39:20,https://ca.bbcollab.com/recording/65ebb363124a4bd1a01245dfa0c34bc6
Diseño y Evaluación Social de Proyectos,A,2020-04-01,Clase 2 -  01abril,0:02:14,https://ca.bbcollab.com/recording/b754b1a78a2c4a0ca34e5a7cca558ee8
Diseño y Evaluación Social de Proyectos,A,2020-04-01,Clase 2 -  01abril,1:19:48,https://ca.bbcollab.com/recording/d036b5df617646eaa13611545a3b5409
Diseño y Evaluación Social de Proyectos,A,2020-04-06,clase 3 - 06 abril,1:34:45,https://ca.bbcollab.com/recording/6ca34d31baf948a9b07cf6bc29175063
Diseño y Evaluación Social de Proyectos,A,2020-04-08,clase 4 - 08 de abril,1:34:08,https://ca.bbcollab.com/recording/a0fe9d39492043a7be35a0d4de886ef6
Diseño y Evaluación Social de Proyectos,A,2020-04-10,PDs,1:11:16,https://ca.bbcollab.com/recording/3ef2348a03884eab843fc36a793fe9bd
Diseño y Evaluación Social de Proyectos,A,2020-04-13,clase 5 - 13 abril,1:24:09,https://ca.bbcollab.com/recording/a2a92ac0498449d5918cbb6540979b50
Diseño y Evaluación Social de Proyectos,A,2020-04-15,clase 6 - 15 de abril,1:23:27,https://ca.bbcollab.com/recording/0023f857c6f044bf8dc2805ee295b2e7
Diseño y Evaluación Social de Proyectos,A,2020-04-20,clase 7 - 20 de abril,1:31:11,https://ca.bbcollab.com/recording/0f1db0a8c8984d899fd153ea1b8b009e
Diseño y Evaluación Social de Proyectos,A,2020-04-22,clase 8 - 22 de abril,1:17:08,https://ca.bbcollab.com/recording/6bc772c86c5e49269b1bca7e299f1511
Diseño y Evaluación Social de Proyectos,A,2020-04-24,PDs,1:32:30,https://ca.bbcollab.com/recording/71b959102ae84c8183abd79c569801dc
Diseño y Evaluación Social de Proyectos,A,2020-04-27,clase 9 - 27 de abril,1:41:45,https://ca.bbcollab.com/recording/e59dc977b6d44f5fb9160d7a1029762e
Diseño y Evaluación Social de Proyectos,A,2020-04-29,sesión 10 - 29 de abril,1:28:40,https://ca.bbcollab.com/recording/49ce315e3ada4bdca34f3f8ffdac6b91
Diseño y Evaluación Social de Proyectos,A,2020-05-04,clase 11 - 4 de mayo,1:15:16,https://ca.bbcollab.com/recording/c98720a2965e4e31bd869c4ac895e924
Diseño y Evaluación Social de Proyectos,A,2020-05-06,clase 12 - 06 de mayo,1:25:38,https://ca.bbcollab.com/recording/6c20de3951664c739af56035788284d4
Diseño y Evaluación Social de Proyectos,A,2020-05-11,clase 13 - 11 de mayo,1:33:48,https://ca.bbcollab.com/recording/4da85e4fb1e0415bb4b5e08cff46f888
Diseño y Evaluación Social de Proyectos,A,2020-05-13,clase 14 - 13 de mayo,1:16:28,https://ca.bbcollab.com/recording/2d934d30a2044441a73ed43cc4b59a9c
Diseño y Evaluación Social de Proyectos,A,2020-05-15,PD3,1:26:15,https://ca.bbcollab.com/recording/bfb6973611b245d1b8f237c4fe655993
Diseño y Evaluación Social de Proyectos,A,2020-06-01,Clase 01 de junio,1:37:28,https://ca.bbcollab.com/recording/04d4e1b2edf24a36a27672261f3b860b
Diseño y Evaluación Social de Proyectos,A,2020-06-03,clase 03 de junio,1:38:46,https://ca.bbcollab.com/recording/99cf6d62ac5b460aa67277a45ff6cb42
Diseño y Evaluación Social de Proyectos,A,2020-06-05,PDs,1:39:11,https://ca.bbcollab.com/recording/b8a7a419a4194531b57b166cc7a02fb3
Diseño y Evaluación Social de Proyectos,A,2020-06-08,clase 08 de junio,1:46:32,https://ca.bbcollab.com/recording/d9a444f9b79445da838414b75eba3a76
Diseño y Evaluación Social de Proyectos,A,2020-06-10,clase 10 de junio,1:43:20,https://ca.bbcollab.com/recording/d92ab15b7dea4d8d82ccc0f8840083f0
Diseño y Evaluación Social de Proyectos,A,2020-06-12,PDs,1:46:46,https://ca.bbcollab.com/recording/34c1798828254afd9adee19154202e83
Diseño y Evaluación Social de Proyectos,A,2020-06-15,clase 15 de junio,1:19:41,https://ca.bbcollab.com/recording/a1900d8e597b475f8a620304495e459b
Diseño y Evaluación Social de Proyectos,A,2020-06-17,clase 17 de junio,1:41:16,https://ca.bbcollab.com/recording/84f6955b93814b84a95513bed5d9395f
Diseño y Evaluación Social de Proyectos,A,2020-06-19,PDs,1:47:06,https://ca.bbcollab.com/recording/39caf143586c40d08c65ef4d8723fc8d
Diseño y Evaluación Social de Proyectos,A,2020-06-22,Clase 22 de junio,1:35:31,https://ca.bbcollab.com/recording/0ade27337c66487e9ad24a47e68d9ea7
Diseño y Evaluación Social de Proyectos,A,2020-06-24,clase 24 de junio,1:03:29,https://ca.bbcollab.com/recording/207e1fb512594d41ab783682dd88db75
Diseño y Evaluación Social de Proyectos,A,2020-06-26,Grupo PIP Salud,0:39:24,https://ca.bbcollab.com/recording/98b5e853d342410b8323f8268bcc1ba0
Diseño y Evaluación Social de Proyectos,A,2020-07-01,clase 01 de julio,1:03:28,https://ca.bbcollab.com/recording/371ac952c14b4ff98a13f0e412b0c3bf
Diseño y Evaluación Social de Proyectos,A,2020-07-03,PDs,1:52:39,https://ca.bbcollab.com/recording/96eaa7ab09bb4de695c663b62b6c468d
Diseño y Evaluación Social de Proyectos,A,2020-07-06,Clase del 06 de julio,1:23:50,https://ca.bbcollab.com/recording/cf0984cc840d4f45a4eb3557c76f43fa
Diseño y Evaluación Social de Proyectos,A,2020-07-08,Clase 08 de julio,0:48:19,https://ca.bbcollab.com/recording/4820525fdeb046e0aef84a7f2652409b
Diseño y Evaluación Social de Proyectos,A,2020-07-08,Clase 08 de julio,0:48:19,https://ca.bbcollab.com/recording/4820525fdeb046e0aef84a7f2652409b
