Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
E-Business Strategy for Global Markets,A,2020-03-31,Videoconference- Session 1,1:46:44,https://ca.bbcollab.com/recording/170f9e3d8ef64df38a108177c3a614dc
E-Business Strategy for Global Markets,A,2020-04-07,Videoconference- Sessión 2,1:40:38,https://ca.bbcollab.com/recording/38abc9ad7d264bcea4c6f68e3ade92fd
E-Business Strategy for Global Markets,A,2020-04-14,Videoconference- Session 3,2:16:36,https://ca.bbcollab.com/recording/d2ba1c7fbe464abe97d95db7d81abab3
E-Business Strategy for Global Markets,A,2020-04-21,Videoconference- Session 4,2:38:36,https://ca.bbcollab.com/recording/6fca33e1a65e485f8743a1d40cc33908
E-Business Strategy for Global Markets,A,2020-04-28,Videoconference- Session 5,1:56:19,https://ca.bbcollab.com/recording/e0d1229f55244284a8e1c0bc04d18293
E-Business Strategy for Global Markets,A,2020-05-05,Videoconference- Session6,2:10:43,https://ca.bbcollab.com/recording/5a8ecd19a3924fe5ba54a4edb0734f3c
E-Business Strategy for Global Markets,A,2020-05-12,Videoconference- Session 7,3:41:15,https://ca.bbcollab.com/recording/32d63195f5df46c0b8376af6f6291102
E-Business Strategy for Global Markets,A,2020-05-26,Videoconference- Sessión 9,1:40:13,https://ca.bbcollab.com/recording/0ac9017c0b7841ab93b53fe0bed9f2e0
E-Business Strategy for Global Markets,A,2020-06-02,Videoconference Session 10,2:18:36,https://ca.bbcollab.com/recording/ad67260f1f4a4029bc50dab0783334bf
E-Business Strategy for Global Markets,A,2020-06-09,Videoconferencia Session 11,1:28:08,https://ca.bbcollab.com/recording/02868a9d0d504348998c2aebfb234bdf
E-Business Strategy for Global Markets,A,2020-06-09,Videoconference- Session6,0:05:47,https://ca.bbcollab.com/recording/e734bc7b19ea4fc9839c41957edf4521
E-Business Strategy for Global Markets,A,2020-06-16,Videoconference Session 12,2:44:02,https://ca.bbcollab.com/recording/b6bdf502bbec49568a28002ca465e608
E-Business Strategy for Global Markets,A,2020-06-23,Videoconference Session 13,2:52:03,https://ca.bbcollab.com/recording/02e92741faaf452cb89b3df95f162478
E-Business Strategy for Global Markets,A,2020-06-30,Videoconference Session 14,1:24:52,https://ca.bbcollab.com/recording/76c5a40ef160459b8eea41c24d408bdd
E-Business Strategy for Global Markets,A,2020-07-07,Videoconference Session 15,3:10:08,https://ca.bbcollab.com/recording/ce09ef53cca94568baee6c99f58f6d4d
