Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Econometría I,D,2020-03-30,Econometria I - Barron,1:41:28,https://ca.bbcollab.com/recording/750df11fc1f4487a961d04132e4f65a4
Econometría I,D,2020-04-01,Econometria I - Barron,1:51:13,https://ca.bbcollab.com/recording/e98724e486e34899a4e494f2a102e0cb
Econometría I,D,2020-04-04,Econometría I - PD 1 (Sección D),1:41:24,https://ca.bbcollab.com/recording/947f2745359b414e8138020e1e84820d
Econometría I,D,2020-04-06,Econometria I - Barron,1:33:55,https://ca.bbcollab.com/recording/ef067d7483894ed882d79d870da54ad3
Econometría I,D,2020-04-08,Econometria I - Barron,1:31:40,https://ca.bbcollab.com/recording/96bd0310dbdd4888a0a148a53e1f76e2
Econometría I,D,2020-04-13,Econometria I - Barron,1:49:40,https://ca.bbcollab.com/recording/69ce7af1b8424b719ec001154b65e7be
Econometría I,D,2020-04-15,Econometria I - Barron,1:52:28,https://ca.bbcollab.com/recording/b82fc6f81ede4fec9752e9a61cc4bbeb
Econometría I,D,2020-04-18,PD 3,1:52:12,https://ca.bbcollab.com/recording/b321f663083642e7b7e57626fce465b6
Econometría I,D,2020-04-20,Econometria I - Barron,1:35:44,https://ca.bbcollab.com/recording/ed0f0b9442554f97b409571e783e1a9c
Econometría I,D,2020-04-22,Econometria I - Barron,1:30:18,https://ca.bbcollab.com/recording/c008e81208454a0faf2c0a44b5b38905
Econometría I,D,2020-04-27,Econometria I - Barron,1:39:31,https://ca.bbcollab.com/recording/4ec07cdb518a45fbaba05aae9f44eb12
Econometría I,D,2020-04-29,Econometria I - Barron,1:55:15,https://ca.bbcollab.com/recording/f62fd27d4f2542d9920e3ef4eec9a3c5
Econometría I,D,2020-05-02,PD 4,2:12:51,https://ca.bbcollab.com/recording/3a1f1e19a04e45faa37a46cc8afbc0ca
Econometría I,D,2020-05-04,Econometria I - Barron,1:47:21,https://ca.bbcollab.com/recording/3c80f3e34be84a02841cbed59cb63bb7
Econometría I,D,2020-05-06,Econometria I - Barron,1:50:14,https://ca.bbcollab.com/recording/2df5ea6a59744f5f86e9753e6ff98d61
Econometría I,D,2020-05-11,Econometria I - Barron,1:39:27,https://ca.bbcollab.com/recording/897509ee93f943d9ba2cd6e0e7b33820
Econometría I,D,2020-05-13,Econometria I - Barron,1:41:35,https://ca.bbcollab.com/recording/055a9ee879de456b81b8c00c6b4ddcfb
Econometría I,D,2020-05-16,PD 5 - (9:30 - 11:30),1:44:00,https://ca.bbcollab.com/recording/7e24c26539b444d19f038b122a891380
Econometría I,D,2020-05-25,Econometria I - Barron,1:55:17,https://ca.bbcollab.com/recording/6126e841b4d54713a6bb2dd3d6fa1de2
Econometría I,D,2020-05-27,Econometria I - Barron,1:35:11,https://ca.bbcollab.com/recording/b1d54ed8ee8b409e8cc482700e3b7332
Econometría I,D,2020-05-30,PD6,1:25:22,https://ca.bbcollab.com/recording/f1cea3e7da724d6a9f6215f532e2fedb
Econometría I,D,2020-06-01,Econometria I - Barron,1:43:58,https://ca.bbcollab.com/recording/d7fb96c8c07f44c59bbe895a2aab0a36
Econometría I,D,2020-06-03,Econometria I - Barron,1:38:58,https://ca.bbcollab.com/recording/bc6d095e0a8840f8a42e256d2721507e
Econometría I,D,2020-06-06,PD7,1:41:36,https://ca.bbcollab.com/recording/b525d676f8b746db885e5d1a00734444
Econometría I,D,2020-06-08,Econometria I - Barron,1:54:23,https://ca.bbcollab.com/recording/1292ee51d05446bca9e083125bca8890
Econometría I,D,2020-06-10,Econometria I - Barron,1:53:45,https://ca.bbcollab.com/recording/421d8ed4f4874ef380f09c83bb32bba9
Econometría I,D,2020-06-15,Econometria I - Barron,1:42:21,https://ca.bbcollab.com/recording/725a35f3f5ba45359baf0ee208220d82
Econometría I,D,2020-06-17,Econometria I - Barron,1:44:20,https://ca.bbcollab.com/recording/133dfd2ab88d425cab9beac888886427
Econometría I,D,2020-06-20,PD 8,1:26:28,https://ca.bbcollab.com/recording/e8239388401948178cc02e42d14cde20
Econometría I,D,2020-06-22,Econometria I - Barron,1:55:34,https://ca.bbcollab.com/recording/dd966e4d562642bfbaa75a733d96ce73
Econometría I,D,2020-06-27,PD9,1:30:54,https://ca.bbcollab.com/recording/537bd7537166402b9f5de4b8ec5d0275
Econometría I,D,2020-06-29,Econometria I - Barron,1:26:34,https://ca.bbcollab.com/recording/eddddc1e58f6409190bb8505e65162a8
Econometría I,D,2020-07-01,Econometria I - Barron,1:26:20,https://ca.bbcollab.com/recording/c5a5abbafaf641e6b84d2e45b9049c45
Econometría I,D,2020-07-06,Econometria I - Barron,1:55:14,https://ca.bbcollab.com/recording/6e2c962d079f411eb1bb09065aa52c97
Econometría I,D,2020-07-08,Econometria I - Barron,1:58:31,https://ca.bbcollab.com/recording/9a95f522996c41bd8b72f40dd18c1a20
Econometría I,D,2020-07-08,Econometria I - Barron,1:58:31,https://ca.bbcollab.com/recording/9a95f522996c41bd8b72f40dd18c1a20
Econometría I,D,2020-07-11,Pre-final,1:44:50,https://ca.bbcollab.com/recording/375aa9a544f1425fb1bd914365a14828
Econometría I,D,2020-07-11,Pre-final,1:44:50,https://ca.bbcollab.com/recording/375aa9a544f1425fb1bd914365a14828
