Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Econometría I,E,2020-03-30,Lunes 30 Marzo,1:30:26,https://ca.bbcollab.com/recording/3e3ba703a9e14320832409f8d75ee592
Econometría I,E,2020-04-01,Clase 1 Abril,1:34:47,https://ca.bbcollab.com/recording/e813dd38c71c4f92b1fbdfdda4da9509
Econometría I,E,2020-04-04,Práctica Dirigida #1,1:44:38,https://ca.bbcollab.com/recording/a4109d155ca24ea48a14cca2ca1a4b2d
Econometría I,E,2020-04-06,Sesion Lunes 6 Abril,1:39:59,https://ca.bbcollab.com/recording/0da73ba4766c435e89a632c4cd4127a7
Econometría I,E,2020-04-08,Sesion 8 Abril,1:35:46,https://ca.bbcollab.com/recording/b5cdca3f469e4bb5a8580b959fa678b6
Econometría I,E,2020-04-11,Práctica Dirigida #2,1:30:30,https://ca.bbcollab.com/recording/fddd2b278de14519a2529cea63a572a9
Econometría I,E,2020-04-13,Sesion 13 Abril,1:33:11,https://ca.bbcollab.com/recording/61f8ef4beaa847a98e487323e08ef4ad
Econometría I,E,2020-04-15,Sesion 15 Abril,1:33:59,https://ca.bbcollab.com/recording/f84f8ef20a5c40df8560379e60783f1e
Econometría I,E,2020-04-18,Práctica Dirigida #3,1:46:09,https://ca.bbcollab.com/recording/d8c6fd835a084356a6dc473501378dfd
Econometría I,E,2020-04-20,Sesion 20 Abril,1:20:14,https://ca.bbcollab.com/recording/9dabad510cfc4e6a973c6251cd0f0a4b
Econometría I,E,2020-04-27,Sesion 27 Abril,1:20:51,https://ca.bbcollab.com/recording/e9013f75777e4db692edcb75d8918643
Econometría I,E,2020-04-29,Sesion 29 Abril,1:16:15,https://ca.bbcollab.com/recording/3b29da261bc34aaa8b7b4755d2481822
Econometría I,E,2020-05-02,Práctica Dirigida #4,1:42:09,https://ca.bbcollab.com/recording/7fbb368161144a00878d50d0704d1ee3
Econometría I,E,2020-05-04,Sesión 4 Mayo,1:30:47,https://ca.bbcollab.com/recording/07b6246eb49a4cf39630cedee19d83b1
Econometría I,E,2020-05-06,Sesion 6 Mayo,1:24:00,https://ca.bbcollab.com/recording/92d9ec3d1ed44e2aac88fc6aad72d7cf
Econometría I,E,2020-05-09,Práctica Calificada #2,0:00:06,https://ca.bbcollab.com/recording/3b21c956888647f89ada225ec3688752
Econometría I,E,2020-05-11,Sesion 11 Mayo,1:32:17,https://ca.bbcollab.com/recording/27b253cfc6f3462f87e4f5c3969e9738
Econometría I,E,2020-05-13,Sesion 13 Mayo,1:28:53,https://ca.bbcollab.com/recording/3f65160ce6744f6f92f1e034e9264296
Econometría I,E,2020-05-16,Práctica Dirigida #5,1:52:50,https://ca.bbcollab.com/recording/18cd558c3e954583b96de25188319fd7
Econometría I,E,2020-05-25,Sesion 25 Mayo,1:23:43,https://ca.bbcollab.com/recording/9ceabf4974934a0181722bf4dfe5b584
Econometría I,E,2020-05-27,Sesion 27 Mayo,0:39:01,https://ca.bbcollab.com/recording/857dd18e07d04e069846856c228d6b67
Econometría I,E,2020-06-01,Sesion 1 Junio,1:39:52,https://ca.bbcollab.com/recording/d6ea2bd6a64b49acbdb1f1d22c5ccdef
Econometría I,E,2020-06-03,Sesion 3 Junio,1:28:23,https://ca.bbcollab.com/recording/a743c020bde24195a2b386cf15cc69a1
Econometría I,E,2020-06-06,Práctica Dirigida #7,1:44:01,https://ca.bbcollab.com/recording/e69bc703b9a84828a17dd368f9e05db4
Econometría I,E,2020-06-08,Sesion 8 Junio,1:32:58,https://ca.bbcollab.com/recording/c343c8cfcf56444e905cd61edba87e59
Econometría I,E,2020-06-10,Sesion 10 Junio,1:16:48,https://ca.bbcollab.com/recording/208dd53473b14d538a86afc1861d0657
Econometría I,E,2020-06-15,Sesion 15 Junio,1:29:14,https://ca.bbcollab.com/recording/0269a0632ef940b9aefb09596ae3d628
Econometría I,E,2020-06-17,Sesion 17 Junio,1:29:06,https://ca.bbcollab.com/recording/9544661f56724b258d388b12f72d5d48
Econometría I,E,2020-06-20,Dirigida 20-06,1:36:09,https://ca.bbcollab.com/recording/23b871e0b1a2454399b8fd4b889fef34
Econometría I,E,2020-06-22,Sesion 22 Junio,1:12:50,https://ca.bbcollab.com/recording/dbe381b7b3c142c5b23f224410c590ba
Econometría I,E,2020-06-24,Sesion 24 Junio,1:13:33,https://ca.bbcollab.com/recording/3691c15899514478b97cb2fa2f144800
Econometría I,E,2020-06-24,Sesion 24 Junio,0:00:06,https://ca.bbcollab.com/recording/525633b13def44bc9d72890c1c54f357
Econometría I,E,2020-06-27,Práctica Dirigida #9,1:32:25,https://ca.bbcollab.com/recording/8b8d3e8b87cc407a8d04f99167cdf7c8
