Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Econometría II,B,2020-03-31,31.03.2020,1:44:59,https://ca.bbcollab.com/recording/123ae777bf8d44269fd56bf8b5a6b452
Econometría II,B,2020-04-02,02.04.2020,1:45:21,https://ca.bbcollab.com/recording/8d869155a9cc407e9c988e6aae316db7
Econometría II,B,2020-04-04,PD1,1:56:35,https://ca.bbcollab.com/recording/b69db57bf75d4cb292090cccdf0d1725
Econometría II,B,2020-04-07,Clase - Econometría II,1:46:01,https://ca.bbcollab.com/recording/86f3784e4d5140c4bfa21cacdd9d1197
Econometría II,B,2020-04-11,Prácticas Dirigidas,1:40:11,https://ca.bbcollab.com/recording/db44f55635bc4059b934a7335240398e
Econometría II,B,2020-04-14,Clase - Econometría II,1:48:28,https://ca.bbcollab.com/recording/9e419605be7c4e37a7a7e089a1a1935d
Econometría II,B,2020-04-16,Clase - Econometría II,1:46:20,https://ca.bbcollab.com/recording/f02d91853fe04c9586a99ac1a97c1494
Econometría II,B,2020-04-18,Prácticas Dirigidas,1:58:37,https://ca.bbcollab.com/recording/49f27f15495f416cacd5ab787709b295
Econometría II,B,2020-04-21,Clase - Econometría II,1:35:54,https://ca.bbcollab.com/recording/686573b8b4a944c2bb334fefc86a15e3
Econometría II,B,2020-04-23,Clase - Econometría II,1:40:11,https://ca.bbcollab.com/recording/bcbdae1404e941ec945eab635ee902b4
Econometría II,B,2020-04-25,Prácticas Dirigidas,1:56:34,https://ca.bbcollab.com/recording/8e6e6d10912541c3b16797476a5f1744
Econometría II,B,2020-04-28,Clase - Econometría II,0:05:44,https://ca.bbcollab.com/recording/21be3f1066a244e190bdd58da7068c64
Econometría II,B,2020-04-28,Clase - Econometría II,1:26:38,https://ca.bbcollab.com/recording/f67a70ec1b4244728e59976f08d4ff0b
Econometría II,B,2020-04-30,Clase - Econometría II,1:48:54,https://ca.bbcollab.com/recording/f7c9b3e234e54710b7a9b05b090d5d97
Econometría II,B,2020-05-05,Clase - Econometría II,1:27:14,https://ca.bbcollab.com/recording/bc265ffaeb14431ab92ffd89dba18f38
Econometría II,B,2020-05-07,Clase - Econometría II,1:47:02,https://ca.bbcollab.com/recording/aa8917905c324fcd97e68b48c48236ea
Econometría II,B,2020-05-09,Prácticas Dirigidas,1:53:45,https://ca.bbcollab.com/recording/f9fc00d073e54b09b30ab285941d6172
Econometría II,B,2020-05-12,Clases,1:43:28,https://ca.bbcollab.com/recording/fd8434ffc3ef4232af6ca16ec091ca8a
Econometría II,B,2020-05-16,Prácticas Dirigidas,3:17:12,https://ca.bbcollab.com/recording/0a88fa24378c416d8bdd2d160faa93f2
Econometría II,B,2020-05-26,Clases,1:32:03,https://ca.bbcollab.com/recording/b7e265cf5c4448cf94214ae81f55795b
Econometría II,B,2020-05-28,Clases,1:44:54,https://ca.bbcollab.com/recording/8cfd0e944a39483a83c7598c220ff4cf
Econometría II,B,2020-05-30,Prácticas Dirigidas,1:58:25,https://ca.bbcollab.com/recording/9385162b374047cb83d54d5fb4e3f50a
Econometría II,B,2020-06-02,Clases,1:35:21,https://ca.bbcollab.com/recording/e7e495bb88bb4e85a4d3c4682c98cfdf
Econometría II,B,2020-06-04,Clases,1:41:56,https://ca.bbcollab.com/recording/f225b292b8f848f59c32ac84cff059c6
Econometría II,B,2020-06-09,Clases,1:34:42,https://ca.bbcollab.com/recording/84cf39e4dba84bcdbf0060c19ddaed8a
Econometría II,B,2020-06-11,Clases,1:45:03,https://ca.bbcollab.com/recording/9053206586dd4ff5918d0c8458878107
Econometría II,B,2020-06-13,Prácticas Dirigidas,2:01:48,https://ca.bbcollab.com/recording/d75091cf2d114f36ab0f25c8d8f14e2e
Econometría II,B,2020-06-16,Clases,1:43:38,https://ca.bbcollab.com/recording/1fbad4c0903947d19ad3698a49ab1ea2
Econometría II,B,2020-06-18,Clases,0:00:19,https://ca.bbcollab.com/recording/1fcfbab127764b378b76bf6f2792383c
Econometría II,B,2020-06-18,Clases,1:21:18,https://ca.bbcollab.com/recording/21fcd5039ae449e6af6441f5d04a4297
Econometría II,B,2020-06-18,Clases,0:18:33,https://ca.bbcollab.com/recording/335d788e6c9643adb4b3593d0ebca3d8
Econometría II,B,2020-06-20,PD9,2:05:29,https://ca.bbcollab.com/recording/0ba5c0b9ef0544d3ae82cc6634584e5a
Econometría II,B,2020-06-23,Clases,1:19:47,https://ca.bbcollab.com/recording/589581a1c2b6476d8db4bdca627d8fe2
Econometría II,B,2020-06-23,Clases,0:07:54,https://ca.bbcollab.com/recording/fbd77ed3f1a545e793f2f4276aa48c35
Econometría II,B,2020-06-25,Clases,1:28:37,https://ca.bbcollab.com/recording/47de6c37a89842f099bd044fd28fdb6d
Econometría II,B,2020-06-30,Clases,1:32:18,https://ca.bbcollab.com/recording/4ee779f9257a46578fe6eed95cb00109
Econometría II,B,2020-07-02,Clases,1:39:09,https://ca.bbcollab.com/recording/4364d228246c4234a0cfc38533367658
Econometría II,B,2020-07-04,PD10,1:54:48,https://ca.bbcollab.com/recording/b85dfc8702ca45b1b4c55e51be5281e2
Econometría II,B,2020-07-07,Clases,1:34:20,https://ca.bbcollab.com/recording/88d5fc24dcc344d8982bd05c9593a84c
Econometría II,B,2020-07-09,Clases,1:29:07,https://ca.bbcollab.com/recording/ad9b7b3803d34d909dbb6323aeaf8fc4
Econometría II,B,2020-07-09,Clases,1:29:07,https://ca.bbcollab.com/recording/ad9b7b3803d34d909dbb6323aeaf8fc4
Econometría II,B,2020-07-11,PD- VDL Continua,1:40:19,https://ca.bbcollab.com/recording/5db00716c29f492091c8f0e4872b6857
Econometría II,B,2020-07-11,PD- VDL Continua,1:40:19,https://ca.bbcollab.com/recording/5db00716c29f492091c8f0e4872b6857
