Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economic Valuation of Environmental and,A,2020-03-31,Class 1,2:52:17,https://ca.bbcollab.com/recording/4f44fa22e2e64540837a6c90cfc13b57
Economic Valuation of Environmental and,A,2020-04-14,Clase 3 14/04/2020,4:06:22,https://ca.bbcollab.com/recording/a332c95053574cf09c8670ba41bbc155
Economic Valuation of Environmental and,A,2020-04-28,Class 5 28/04/2020,3:08:50,https://ca.bbcollab.com/recording/024d192e94ad492c97ee412c6a13a4af
Economic Valuation of Environmental and,A,2020-05-05,Class 6 Economic Valuation 05/05/2020,1:45:02,https://ca.bbcollab.com/recording/60c5a6ea25a44737944bea693e13cf79
Economic Valuation of Environmental and,A,2020-05-12,Class 7 Economic Valuation 12/05/2020,3:07:06,https://ca.bbcollab.com/recording/e88c9868ae574a039f24e4ed4e5765dc
Economic Valuation of Environmental and,A,2020-05-26,Class 8 26/05/2020,1:16:29,https://ca.bbcollab.com/recording/9bb2ec716cdf4a008deb1fb9f4aa4659
Economic Valuation of Environmental and,A,2020-06-02,Class 9 02/06/2020,2:55:32,https://ca.bbcollab.com/recording/69ba7d2e02744df5a5ce1ac6cf721eee
Economic Valuation of Environmental and,A,2020-06-09,Class 10 Economic Valuation  09/06/2020,2:46:52,https://ca.bbcollab.com/recording/3feb0a688df44b0b82e8d5aabaeaab86
Economic Valuation of Environmental and,A,2020-06-16,Class 11 EV 16/06/2020,1:10:07,https://ca.bbcollab.com/recording/3a581ae295c54212b6b246b1baf3b90b
Economic Valuation of Environmental and,A,2020-06-23,Class 12 EV 23/06/2020,2:40:40,https://ca.bbcollab.com/recording/3f36aff5db7544bc85ae0d99e1248ae8
Economic Valuation of Environmental and,A,2020-06-30,Class 13 EV 30/06/2020,1:49:28,https://ca.bbcollab.com/recording/c6ab22b182894d9eb78567a06a0613f0
Economic Valuation of Environmental and,A,2020-07-07,Class 14 EV 07/07/2020,2:24:08,https://ca.bbcollab.com/recording/b87ee94bc4c6444b8e00fbdc026de874
