Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía Financiera II,B,2020-03-31,Clase 1: 31 de marzo,2:00:21,https://ca.bbcollab.com/recording/074609ea62ee41b692559266098b1edf
Economía Financiera II,B,2020-04-01,Sesion PD1,1:41:10,https://ca.bbcollab.com/recording/b64adf081bb74eff8050cf78150294e1
Economía Financiera II,B,2020-04-07,Clase 2: 07 de abril,2:39:38,https://ca.bbcollab.com/recording/0b22f4956404460d996b583811167803
Economía Financiera II,B,2020-04-08,PD2,1:31:11,https://ca.bbcollab.com/recording/aad0174dfe1846a98da467741a46bdff
Economía Financiera II,B,2020-04-14,Clase 3: 14 de abril,2:38:40,https://ca.bbcollab.com/recording/97a8c139af404afe87af7b8c3d363ccc
Economía Financiera II,B,2020-04-15,PD3,1:42:29,https://ca.bbcollab.com/recording/862bb739ea334dcf9741d22b619a6949
Economía Financiera II,B,2020-04-21,Clase 4: 21 de abril,2:41:33,https://ca.bbcollab.com/recording/6bb13ce61d46419fbe7c72da2c67624f
Economía Financiera II,B,2020-04-22,PD4,1:55:18,https://ca.bbcollab.com/recording/2b58be7130fa4648b2d705795da3ead2
Economía Financiera II,B,2020-04-22,PD4,0:00:03,https://ca.bbcollab.com/recording/a7250876480249a1b990a9f791d4fed3
Economía Financiera II,B,2020-04-28,Clase 5: 28 de abril,2:36:51,https://ca.bbcollab.com/recording/fa0f20956b7742cbbf308323c3fbba23
Economía Financiera II,B,2020-04-28,Prueba,2:16:52,https://ca.bbcollab.com/recording/fd28f61bee944b398fab2ce47326a0e8
Economía Financiera II,B,2020-05-05,Clase 6: 05 de abril,2:24:24,https://ca.bbcollab.com/recording/b06ced0570174a70a7a52646baf3d746
Economía Financiera II,B,2020-05-06,PD5,2:11:02,https://ca.bbcollab.com/recording/5359742a9417488c846c836f6800b3fd
Economía Financiera II,B,2020-05-12,Clase 7: 12 de mayo,2:51:35,https://ca.bbcollab.com/recording/9e7b809d36724504990b06498c832aef
Economía Financiera II,B,2020-05-13,Exposiciones,3:21:31,https://ca.bbcollab.com/recording/0f3a230efbad46019563a59948c6ffbd
Economía Financiera II,B,2020-05-26,Examen Parcial 6.30-8.30 y Expo Invitados 8.30-9.30,1:09:35,https://ca.bbcollab.com/recording/a6ea1c23d9214a8789951d083dc04a34
Economía Financiera II,B,2020-05-27,PD6,1:54:53,https://ca.bbcollab.com/recording/a4656fbf2b124ae3a3d361226e031e16
Economía Financiera II,B,2020-06-02,Clase 9: 02 de junio,2:40:12,https://ca.bbcollab.com/recording/d104c6109f5049e1937c0a5fc4a5cdeb
Economía Financiera II,B,2020-06-02,Material Adicional 2,0:41:33,https://ca.bbcollab.com/recording/708f45ef95c442a396bbc956dff00332
Economía Financiera II,B,2020-06-03,Clase 10: 03 de junio,1:37:28,https://ca.bbcollab.com/recording/083c9931826641f08ce077b1237b810a
Economía Financiera II,B,2020-06-09,Clase 11: 09 de junio,2:37:28,https://ca.bbcollab.com/recording/a9775e85ad284d4aae94ce2d8596b1ac
Economía Financiera II,B,2020-06-10,PD,1:50:19,https://ca.bbcollab.com/recording/586bdbb6dc1b49cea6b0f2206cf88a65
Economía Financiera II,B,2020-06-16,Clase 12: 16 de junio,2:44:58,https://ca.bbcollab.com/recording/6ba828e326a04a679ef99c3c351fa120
Economía Financiera II,B,2020-06-16,Consultas adicionales,0:41:26,https://ca.bbcollab.com/recording/d366c000154844bda7aeed771e23c534
Economía Financiera II,B,2020-06-17,PC2,1:50:30,https://ca.bbcollab.com/recording/05a4a055f7214e55bb3acd1ffe8e47a2
Economía Financiera II,B,2020-06-23,Clase 13: 23 de junio,2:56:55,https://ca.bbcollab.com/recording/aea0f29335ab438580e899c43b9e221e
Economía Financiera II,B,2020-06-24,PD8,2:09:45,https://ca.bbcollab.com/recording/ddbdebd264574bf5a2b2715e947938d7
Economía Financiera II,B,2020-06-30,Clase 14: 30 de junio,2:48:10,https://ca.bbcollab.com/recording/83a524915e8844a294dc52582fcb9342
Economía Financiera II,B,2020-07-01,PD 9,1:51:12,https://ca.bbcollab.com/recording/076602e9add544d0b41ab336db759f4a
Economía Financiera II,B,2020-07-01,PD 9,1:51:12,https://ca.bbcollab.com/recording/076602e9add544d0b41ab336db759f4a
Economía Financiera II,B,2020-07-07,Clase 15: 07 de julio,2:41:12,https://ca.bbcollab.com/recording/bff8e4e8cac544deb08099038f0eb07f
Economía Financiera II,B,2020-07-08,Exposiciones,3:32:33,https://ca.bbcollab.com/recording/fa5a9fd335bc406ea47cc399f80b10a3
Economía Financiera II,B,2020-07-08,Exposiciones,3:32:33,https://ca.bbcollab.com/recording/fa5a9fd335bc406ea47cc399f80b10a3
Economía Financiera II,B,2020-07-16,Examen Final,2:11:56,https://ca.bbcollab.com/recording/9d24e3b61b024acaa48cdd6c6fbb0d80
Economía Financiera II,B,2020-07-16,Examen Final,2:11:56,https://ca.bbcollab.com/recording/9d24e3b61b024acaa48cdd6c6fbb0d80
