Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,A,2020-03-30,Clase 1 marzo 30,1:38:54,https://ca.bbcollab.com/recording/72b69aefa35a40d9a6d491e689bbdcd6
Economía General I,A,2020-03-31,Clase 2 marzo 31,1:41:20,https://ca.bbcollab.com/recording/0a6d003212554b40afef8ae7dfedb597
Economía General I,A,2020-04-01,Clase 3 Abril 01,1:28:21,https://ca.bbcollab.com/recording/25e8d8399ffe4589967f48a78ca39b8f
Economía General I,A,2020-04-06,Clase 4,1:45:23,https://ca.bbcollab.com/recording/da7fde69a1ba46a5bcebd962dbf3d063
Economía General I,A,2020-04-07,PD1,2:03:05,https://ca.bbcollab.com/recording/6cc5aad22ee04ff0a46225a1b6465494
Economía General I,A,2020-04-08,Clase 5,1:50:14,https://ca.bbcollab.com/recording/4f15d095f91b4ca7a9afa093bbf46dce
Economía General I,A,2020-04-14,PD2,1:38:35,https://ca.bbcollab.com/recording/43c9b3915a9d49ea8655fac71c7da074
Economía General I,A,2020-04-15,Clase 7,1:27:07,https://ca.bbcollab.com/recording/0b8ac102e3c246208dd1784a8c199ca2
Economía General I,A,2020-04-17,Clase 8,0:00:05,https://ca.bbcollab.com/recording/01a6dea39fcb4495a63e171067ab9080
Economía General I,A,2020-04-17,Clase 8,1:14:47,https://ca.bbcollab.com/recording/1859577053e94da2a676190b759d9770
Economía General I,A,2020-04-20,Clase 9,1:40:22,https://ca.bbcollab.com/recording/c04622a933e347f0ba48af0bb88f407e
Economía General I,A,2020-04-21,Simulacro y PD3,1:25:19,https://ca.bbcollab.com/recording/3c7952a7194f4d678b5acb7c5259aae0
Economía General I,A,2020-04-22,Clase 10,1:51:15,https://ca.bbcollab.com/recording/c2c1a14a17504a42bbf7a60090e0c6d6
Economía General I,A,2020-04-27,clase 11,1:27:07,https://ca.bbcollab.com/recording/4de6e1e8774647a1bb8742060e0d7d3d
Economía General I,A,2020-04-29,Clase 12,1:54:50,https://ca.bbcollab.com/recording/495137aa5756482396b986e99da97272
